GMfas1			EXT		
t	x	y	t	x	y
5.360300619	28.68737574	8.954339487	5.360300619	20.05444985	29.88439598
5.41556145	28.74131851	8.953430176	5.41556145	20.05412684	29.88427318
5.470822281	28.80719243	8.951447513	5.470822281	20.05273749	29.88423828
5.526083112	28.84287694	8.943027751	5.526083112	20.05166417	29.88423004
5.581343943	28.87102322	8.939427311	5.581343943	20.05246751	29.88412484
5.636604775	28.93253322	8.944323659	5.636604775	20.05220708	29.88408453
5.691865606	29.05554781	8.94165644	5.691865606	20.05212172	29.88411153
5.747126437	29.09379125	8.93810578	5.747126437	20.05071655	29.88408347
5.802387268	29.14387727	8.943413349	5.802387268	20.05213534	29.88420245
5.857648099	29.23159999	8.942812923	5.857648099	20.0533416	29.88425548
5.91290893	29.28464639	8.949802831	5.91290893	20.0518837	29.88410188
5.968169761	29.30488937	8.949560557	5.968169761	20.05168946	29.88420186
6.023430592	29.34221188	8.943960389	6.023430592	20.05293577	29.88382961
6.078691424	29.41345056	8.94530836	6.078691424	20.05293225	29.8838407
6.133952255	29.46934026	8.950840814	6.133952255	20.05216217	29.88384459
6.189213086	29.52917577	8.950829673	6.189213086	20.0520397	29.88400526
6.244473917	29.55334731	8.95091494	6.244473917	20.05138986	29.88383161
6.299734748	29.61516133	8.956270715	6.299734748	20.05140769	29.88357131
6.354995579	29.62258772	8.951214346	6.354995579	20.05145975	29.88365182
6.41025641	29.63587184	8.945671928	6.41025641	20.05205195	29.88350705
6.465517241	29.65998806	8.941505947	6.465517241	20.05105485	29.8837015
6.520778073	29.69074476	8.94870483	6.520778073	20.05094622	29.88363038
6.576038904	29.73890592	8.946929243	6.576038904	20.05008763	29.88344159
6.631299735	29.78505379	8.942084265	6.631299735	20.04925911	29.88354922
6.686560566	29.82352061	8.944448021	6.686560566	20.05089906	29.88351749
6.741821397	29.85948284	8.940277836	6.741821397	20.04844403	29.88374834
6.797082228	29.92119845	8.940921018	6.797082228	20.05179512	29.88376224
6.852343059	29.96058167	8.936938221	6.852343059	20.05107397	29.88424898
6.90760389	30.00610353	8.935034616	6.90760389	20.05281496	29.88384865
6.962864721	29.99854034	8.935299604	6.962864721	20.05088015	29.88388364
7.018125553	30.06537001	8.938412784	7.018125553	20.05085382	29.88399172
7.073386384	30.10540892	8.937855805	7.073386384	20.05056996	29.88405757
