SOLendSAME			SOLext		
t	x	y	t	x	y
4.695503699	3.747267712	7.308245704	4.695503699000	26.594760780000	12.529916020000
4.719218365	3.758813054	7.31084539	4.719218365000	26.597186140000	12.529094470000
4.74293303	3.861691546	7.313204794	4.742933030000	26.607409980000	12.530961270000
4.766647695	3.93122334	7.313192327	4.766647695000	26.607425270000	12.533709850000
			4.790362360000	26.606627750000	12.540562640000
			4.814077025000	26.614140280000	12.545449640000
			4.837791690000	26.601152440000	12.567814800000
			4.861506356000	26.607263190000	12.586209530000
			4.885221021000	26.621001680000	12.609714340000
			4.908935686000	26.627419460000	12.612702770000
			4.932650351000	26.628737090000	12.674069660000
			4.956365016000	26.649647770000	12.706141640000
			4.980079681000	26.679231550000	12.734927440000
			5.003794346000	26.688057000000	12.767794430000
			5.027509012000	26.677704290000	12.867651730000
			5.051223677000	26.680199810000	12.879424100000
			5.074938342000	26.708317830000	12.918096740000
			5.098653007000	26.672078520000	12.983556310000
			5.122367672000	26.746341320000	12.998503900000
			5.146082337000	26.783163910000	13.004661100000
			5.169797002000	26.799455220000	13.067657200000
			5.193511668000	26.802083300000	13.072311220000
			5.217226333000	26.837412070000	13.061241760000
			5.240940998000	26.904796680000	13.051737230000
			5.264655663000	26.972186400000	13.067222860000
			5.288370328000	26.984965040000	13.069000200000
			5.312084993000	26.979744620000	13.049892920000
			5.335799659000	26.992222290000	13.050062000000
			5.359514324000	27.050139780000	13.044040670000
			5.383228989000	27.081174910000	13.040449670000
			5.406943654000	27.119637580000	13.040753240000
			5.430658319000	27.159793850000	13.042638910000
			5.454372984000	27.194219730000	13.053115620000
			5.478087649000	27.205627220000	13.052941000000
			5.501802315000	27.267706560000	13.060616970000
			5.525516980000	27.324389140000	13.056985020000
			5.549231645000	27.330108710000	13.045526470000
			5.572946310000	27.308908460000	13.028959210000
			5.596660975000	27.353452260000	13.018497920000
			5.620375640000	27.417917800000	13.009627260000
			5.644090305000	27.424451050000	13.005496220000
			5.667804971000	27.438921810000	12.999586330000
			5.691519636000	27.423976690000	12.998793590000
			5.715234301000	27.423144600000	12.988785810000
			5.738948966000	27.424019770000	12.982555290000
			5.762663631000	27.422793650000	12.978092910000
			5.786378296000	27.423397630000	12.972900590000
			5.810092961000	27.431626360000	12.973143020000
			5.833807627000	27.432260190000	12.972389280000
			5.857522292000	27.432354190000	12.972215600000
			5.881236957000	27.433655230000	12.976578120000
			5.904951622000	27.427539790000	12.975849980000
			5.928666287000	27.429636170000	12.973467630000
			5.952380952000	27.429026550000	12.977827500000
			5.976095618000	27.427624820000	12.980866010000
			5.999810283000	27.429882790000	12.980024200000
			6.023524948000	27.437428260000	12.983480270000
			6.047239613000	27.438746620000	12.983787190000
			6.070954278000	27.446954770000	12.985810760000
			6.094668943000	27.448701020000	12.988024220000
			6.118383608000	27.458059200000	12.993479850000
			6.142098274000	27.458537560000	12.993325000000
			6.165812939000	27.460539770000	12.992798160000
			6.189527604000	27.468419410000	12.997053950000
			6.213242269000	27.469344060000	12.998358850000
			6.236956934000	27.475967790000	12.997972910000
			6.260671599000	27.474763280000	13.000457250000
			6.284386264000	27.472839980000	13.001975390000
			6.308100930000	27.471615750000	12.997308260000
			6.331815595000	27.471371150000	12.998501180000
			6.355530260000	27.472315850000	12.997101710000
			6.379244925000	27.478911360000	12.992464040000
			6.402959590000	27.448462130000	13.006240480000
			6.426674255000	27.520132050000	12.940967330000
			6.450388921000	27.425010640000	12.950265130000
			6.474103586000	27.421073720000	12.976627680000
			6.497818251000	27.418810160000	12.989151990000
			6.521532916000	27.419579700000	12.990666650000
			6.545247581000	27.423314680000	12.997986370000
			6.568962246000	27.405801410000	13.002294450000
			6.592676911000	27.402162110000	12.990136000000
			6.616391577000	27.402656980000	13.005741210000
			6.640106242000	27.405142930000	13.018697940000
			6.663820907000	27.409664860000	13.020945590000
			6.687535572000	27.414766300000	13.022289440000
			6.711250237000	27.428411720000	13.031870520000
