SOLfas			SOLext		
t	x	y	t	x	y
3.2278771210	17.0879626300	10.2700581200	3.2278771210	40.5379815700	16.9714965600
3.2462173310	17.0610960700	10.2694334400	3.2462173310	40.5367318500	16.9723755200
3.2645575420	17.0341150500	10.2679705200	3.2645575420	40.5393512800	16.9721675200
3.2828977530	16.9657597700	10.2655886100	3.2828977530	40.5362658600	16.9711076800
3.3012379640	16.9356215600	10.2666635000	3.3012379640	40.5357105900	16.9708533400
3.3195781750	16.9004160700	10.2681632400	3.3195781750	40.5345226600	16.9722882000
3.3379183860	16.8383705400	10.2662394800	3.3379183860	40.5341272800	16.9721067400
3.3562585970	16.7369724900	10.2642347000	3.3562585970	40.5299449700	16.9716453600
3.3745988080	16.6591295700	10.2642958400	3.3745988080	40.5291847700	16.9715988000
3.3929390190	16.6286550100	10.2638407500	3.3929390190	40.5288917300	16.9713203100
3.4112792300	16.6066538100	10.2631086900	3.4112792300	40.5314899000	16.9708269600
3.4296194410	16.5651739700	10.2629316300	3.4296194410	40.5344867200	16.9704336400
3.4479596520	16.5669823000	10.2639823000	3.4479596520	40.5329017600	16.9695416200
3.4662998620	16.5970637700	10.2661287400	3.4662998620	40.5369594300	16.9690863900
3.4846400730	16.6022488100	10.2669876700	3.4846400730	40.5371631700	16.9683590600
3.5029802840	16.5663034700	10.2660388200	3.5029802840	40.5344730400	16.9691229300
3.5213204950	16.5540804600	10.2677000200	3.5213204950	40.5357921100	16.9693035500
3.5396607060	16.5662627800	10.2697716900	3.5396607060	40.5378609600	16.9689915300
3.5580009170	16.5321153500	10.2700485500	3.5580009170	40.5377184800	16.9697170400
3.5763411280	16.4959718800	10.2690733100	3.5763411280	40.5345268200	16.9692084100
3.5946813390	16.4161382100	10.2694443100	3.5946813390	40.5353614500	16.9691702200
3.6130215500	16.3782865600	10.2706572000	3.6130215500	40.5361574500	16.9680855900
3.6313617610	16.3124745700	10.2702627100	3.6313617610	40.5364626000	16.9678482700
3.6497019720	16.2743922800	10.2690522200	3.6497019720	40.5384241000	16.9676630600
3.6680421820	16.1947348500	10.2667983200	3.6680421820	40.5395001500	16.9672716800
3.6863823930	16.1419325700	10.2663494100	3.6863823930	40.5377712500	16.9685357500
3.7047226040	16.0831668700	10.2692243600	3.7047226040	40.5365618000	16.9674867300
3.7230628150	15.9748228600	10.2650583700	3.7230628150	40.5384993400	16.9663971900
3.7414030260	15.9166664500	10.2620868800	3.7414030260	40.5340412900	16.9669024800
3.7597432370	15.8986254600	10.2638094100	3.7597432370	40.5349656800	16.9658092000
3.7780834480	15.8636542000	10.2648469000	3.7780834480	40.5345250600	16.9666092900
3.7964236590	15.7721779300	10.2625541400	3.7964236590	40.5336063800	16.9658358700
3.8147638700	15.6834591200	10.2584877000	3.8147638700	40.5358958000	16.9663706200
3.8331040810	15.6446334800	10.2606970900	3.8331040810	40.5344430600	16.9662967000
3.8514442920	15.5144735900	10.2606138500	3.8514442920	40.5310397800	16.9680205000
3.8697845030	15.3918593200	10.2588571400	3.8697845030	40.5262527200	16.9706941600
3.8881247130	15.3222130800	10.2693277500	3.8881247130	40.5222918100	16.9698411300
3.9064649240	15.2326099800	10.2619241400	3.9064649240	40.5242047300	16.9717792300
3.9248051350	15.1989720600	10.2600657400	3.9248051350	40.5247452700	16.9715028400
3.9431453460	15.0982797700	10.2580366000	3.9431453460	40.5202449100	16.9737716500
3.9614855570	15.0599105700	10.2570570800	3.9614855570	40.5225085000	16.9732664600
3.9798257680	15.0125634600	10.2506364600	3.9798257680	40.5229960500	16.9737738800
3.9981659790	14.9723896900	10.2551324900	3.9981659790	40.5221368300	16.9732494500
4.0165061900	14.9259149000	10.2571376900	4.0165061900	40.5217036500	16.9754610100
4.0348464010	14.8567697900	10.2583506700	4.0348464010	40.5225206400	16.9743891600
