CALbump			CALext2		
t	x	y	t	x	y
3.755588674	17.63803708	7.922300507	3.755588674	0.2451165271	15.05714712
3.815201192	17.63181689	7.923131465	3.815201192	0.246746804	15.05689328
3.874813711	17.62145121	7.925229476	3.874813711	0.2495145333	15.05666812
3.93442623	17.60558354	7.929793927	3.93442623	0.2507844491	15.05673185
3.994038748	17.59354719	7.926009865	3.994038748	0.2479179779	15.05687091
4.053651267	17.58771281	7.926678462	4.053651267	0.2506283845	15.05678472
4.113263785	17.59009273	7.92680676	4.113263785	0.2512698307	15.05662678
4.172876304	17.57184392	7.925224726	4.172876304	0.249783963	15.05665706
4.232488823	17.56883731	7.926009795	4.232488823	0.2506072477	15.05673784
4.292101341	17.56661289	7.925896744	4.292101341	0.2482367996	15.05653289
4.35171386	17.55750377	7.927817199	4.35171386	0.2499659782	15.05661879
4.411326379	17.56037217	7.930297214	4.411326379	0.2479425265	15.05640484
4.470938897	17.56169816	7.930060554	4.470938897	0.2501049619	15.05642663
4.530551416	17.55663311	7.929021569	4.530551416	0.2506049623	15.0563819
4.590163934	17.56666974	7.92580504	4.590163934	0.2489626739	15.05631769
4.649776453	17.56657695	7.926815957	4.649776453	0.2508478782	15.05634596
4.709388972	17.57548046	7.925819755	4.709388972	0.2512780752	15.05635297
4.76900149	17.57901873	7.924269285	4.76900149	0.247845642	15.05618363
4.828614009	17.58279684	7.922140894	4.828614009	0.2498447566	15.05634332
4.888226528	17.58732875	7.921377712	4.888226528	0.251349158	15.0560521
4.947839046	17.58598166	7.921939796	4.947839046	0.2505578936	15.0559685
5.007451565	17.58108182	7.92144221	5.007451565	0.2524514762	15.05605269
5.067064083	17.57729855	7.923286818	5.067064083	0.2499919814	15.05597414
5.126676602	17.5725064	7.92973932	5.126676602	0.2511486884	15.0556942
5.186289121	17.5767969	7.927903277	5.186289121	0.2523575664	15.05587655
5.245901639	17.5774159	7.924689548	5.245901639	0.2526267471	15.05575486
5.305514158	17.57384832	7.925416418	5.305514158	0.2514785585	15.05574467
5.365126677	17.57730918	7.926289728	5.365126677	0.2525434808	15.0556958
5.424739195	17.58599114	7.920912576	5.424739195	0.254388753	15.05561912
5.484351714	17.59768758	7.917949039	5.484351714	0.2525104585	15.05566131
5.543964232	17.57218266	7.919914885	5.543964232	0.2536430582	15.05563762
5.603576751	17.56520525	7.923229196	5.603576751	0.2527170773	15.05555494
5.66318927	17.56384089	7.924986067	5.66318927	0.2530875118	15.05548351
5.722801788	17.56069559	7.92647922	5.722801788	0.2549234464	15.05539581
5.782414307	17.55865456	7.929375375	5.782414307	0.2536359811	15.05560947
5.842026826	17.56086816	7.926966158	5.842026826	0.2542681627	15.05544767
5.901639344	17.56394399	7.926615036	5.901639344	0.2527672868	15.05566885
5.961251863	17.56432818	7.927091698	5.961251863	0.2530184674	15.05547976
6.020864382	17.56414382	7.927763411	6.020864382	0.2512127044	15.05567902
6.0804769	17.56607877	7.925661309	6.0804769	0.25408859	15.05543362
6.140089419	17.56852947	7.923245531	6.140089419	0.2543458089	15.05560495
6.199701937	17.56794065	7.925685335	6.199701937	0.2517490407	15.05533538
6.259314456	17.56834665	7.926992494	6.259314456	0.2545994273	15.05546559
6.318926975	17.57752964	7.925593042	6.318926975	0.2533565793	15.05556669
6.378539493	17.58550499	7.923312427	6.378539493	0.2528046774	15.05533694
6.438152012	17.58536548	7.923638369	6.438152012	0.251363865	15.05547341
6.497764531	17.58945152	7.924641989	6.497764531	0.2546610243	15.0555667
6.557377049	17.5775592	7.919868624	6.557377049	0.254719257	15.05542118
6.616989568	17.5777331	7.919934558	6.616989568	0.2533626233	15.05553592
6.676602086	17.57632504	7.919506116	6.676602086	0.2536101545	15.05573642
6.736214605	17.58145223	7.918707015	6.736214605	0.2528328916	15.05559877
