SOLfas			SOLext		
t	x	y	t	x	y
2.5002281230	12.2473006700	10.9305686500	2.5002281230	38.9912278400	16.9884933600
2.5184779630	12.1961684600	10.9285640000	2.5184779630	38.9725932200	16.9867800100
2.5367278040	12.1494352000	10.9313536100	2.5367278040	38.9708983500	16.9854570000
2.5549776440	12.0888384800	10.9294134900	2.5549776440	38.9560716400	16.9865432500
2.5732274840	12.0283487500	10.9276681100	2.5732274840	38.9518133700	16.9858530800
2.5914773250	11.9999425500	10.9298333900	2.5914773250	38.9450427300	16.9859323000
2.6097271650	11.9488907000	10.9295661800	2.6097271650	38.9399530700	16.9847354100
2.6279770050	11.9035375800	10.9307799500	2.6279770050	38.9298154800	16.9858105200
2.6462268460	11.8789033600	10.9278285000	2.6462268460	38.9262514000	16.9851172800
2.6644766860	11.8717881900	10.9275313900	2.6644766860	38.9199473200	16.9857643800
2.6827265260	11.8732180800	10.9282908700	2.6827265260	38.9284049100	16.9867270300
2.7009763660	11.8434567400	10.9299755900	2.7009763660	38.9224485300	16.9876308700
2.7192262070	11.8090675600	10.9284964900	2.7192262070	38.9238628600	16.9884076000
2.7374760470	11.7693376600	10.9305911400	2.7374760470	38.9228128900	16.9883105000
2.7557258870	11.7649369700	10.9305620200	2.7557258870	38.9275545900	16.9887379900
2.7739757280	11.7511858000	10.9315144500	2.7739757280	38.9283816700	16.9879968300
2.7922255680	11.7371336100	10.9314880500	2.7922255680	38.9221592700	16.9885286800
2.8104754080	11.7010510200	10.9318686900	2.8104754080	38.9264584000	16.9880126600
2.8287252490	11.6880267800	10.9331028200	2.8287252490	38.9247603000	16.9892178300
2.8469750890	11.6840311800	10.9315363200	2.8469750890	38.9232475400	16.9898755700
2.8652249290	11.6676865500	10.9293425400	2.8652249290	38.9262341100	16.9904071900
2.8834747700	11.6348270100	10.9301446500	2.8834747700	38.9267054300	16.9903925600
2.9017246100	11.6106896400	10.9307614500	2.9017246100	38.9287124800	16.9904920800
2.9199744500	11.6016697300	10.9299381100	2.9199744500	38.9272956500	16.9905866100
2.9382242910	11.5680703400	10.9285448500	2.9382242910	38.9258009100	16.9910364000
2.9564741310	11.5299736500	10.9293157100	2.9564741310	38.9298408300	16.9907298500
2.9747239710	11.5066527000	10.9289391000	2.9747239710	38.9245568300	16.9914715300
2.9929738110	11.4734551300	10.9293620600	2.9929738110	38.9176796400	16.9911562500
3.0112236520	11.4638741400	10.9293249800	3.0112236520	38.9196608300	16.9910840400
