GMfasc			GMext		
t	x	y	t	x	y
9.776453055	5.371056608	0.507119692	9.776453055	-6.741418749	11.27290728
9.836065574	5.392239149	0.50589949	9.836065574	-6.737928061	11.27223335
9.895678092	5.465262838	0.501165116	9.895678092	-6.742128384	11.27307152
9.955290611	5.55262283	0.493199149	9.955290611	-6.735897447	11.27473906
10.01490313	5.604106863	0.489431466	10.01490313	-6.742784434	11.27186727
10.07451565	5.609115947	0.490685984	10.07451565	-6.740730301	11.27221306
10.13412817	5.659656603	0.488236873	10.13412817	-6.741935513	11.27270778
10.19374069	5.709369607	0.482508114	10.19374069	-6.742027214	11.2728774
10.2533532	5.758254586	0.477207552	10.2533532	-6.740553132	11.27311195
10.31296572	5.850794116	0.470159035	10.31296572	-6.736174587	11.27227174
10.37257824	5.907026027	0.469795217	10.37257824	-6.732318336	11.27212395
10.43219076	5.915071455	0.468671872	10.43219076	-6.725757237	11.27402287
10.49180328	6.040468374	0.461002574	10.49180328	-6.724533562	11.27150603
10.5514158	6.127505042	0.453920792	10.5514158	-6.694696106	11.26804962
10.61102832	6.165249263	0.449680853	10.61102832	-6.687118887	11.26881205
10.67064083	6.22359195	0.448174221	10.67064083	-6.682270447	11.26837472
10.73025335	6.222198572	0.447210893	10.73025335	-6.681137261	11.26834917
10.78986587	6.273101747	0.442756405	10.78986587	-6.680334907	11.26785747
10.84947839	6.313252426	0.440820655	10.84947839	-6.672139733	11.26845995
10.90909091	6.340669923	0.439239832	10.90909091	-6.676924601	11.26743983
10.96870343	6.461247666	0.435512571	10.96870343	-6.680570877	11.26725774
11.02831595	6.535426538	0.43270375	11.02831595	-6.678301419	11.26865472
11.08792846	6.54610738	0.428038239	11.08792846	-6.676174619	11.2675272
11.14754098	6.605688125	0.421556514	11.14754098	-6.679672656	11.2675747
11.2071535	6.651562726	0.41897584	11.2071535	-6.674048124	11.26669426
11.26676602	6.666613629	0.417392327	11.26676602	-6.674074824	11.26729654
11.32637854	6.703327697	0.413683291	11.32637854	-6.676478849	11.26993449
11.38599106	6.798020967	0.406951257	11.38599106	-6.673733426	11.26891247
11.44560358	6.829895702	0.403786013	11.44560358	-6.675287983	11.26780047
11.5052161	6.874724831	0.401961139	11.5052161	-6.67166752	11.26786463
11.56482861	6.908785857	0.397659971	11.56482861	-6.671182604	11.26878999
11.62444113	6.960812994	0.392026856	11.62444113	-6.669654611	11.26815869
11.68405365	6.960829019	0.393929479	11.68405365	-6.671461482	11.26921208
11.74366617	7.004632662	0.390553658	11.74366617	-6.670149408	11.26885966
11.80327869	7.076911307	0.383463181	11.80327869	-6.670107968	11.26927341
11.86289121	7.104606324	0.382511692	11.86289121	-6.665349507	11.26697859
11.92250373	7.168339288	0.378224849	11.92250373	-6.660984349	11.26715613
11.98211624	7.203767305	0.372422724	11.98211624	-6.645801983	11.26638046
12.04172876	7.277765638	0.363337444	12.04172876	-6.635302	11.26705493
12.10134128	7.323655217	0.360657501	12.10134128	-6.6085009	11.26328507
12.1609538	7.389670396	0.358736499	12.1609538	-6.597570776	11.26260002
12.22056632	7.49105867	0.349571773	12.22056632	-6.571326064	11.25966073
12.28017884	7.541888866	0.347819691	12.28017884	-6.567768729	11.26152824
12.33979136	7.53655217	0.347077216	12.33979136	-6.554390262	11.25926053
12.39940387	7.628035137	0.340570625	12.39940387	-6.534399711	11.25834482
12.45901639	7.678333429	0.340078686	12.45901639	-6.531461206	11.25909856
12.51862891	7.680502057	0.341978069	12.51862891	-6.527455902	11.25848509
12.57824143	7.703044132	0.342092847	12.57824143	-6.532261623	11.25836626
12.63785395	7.759628324	0.337134887	12.63785395	-6.524431607	11.25972834
12.69746647	7.82700193	0.333809227	12.69746647	-6.518275184	11.25782064
12.75707899	7.818737843	0.334480287	12.75707899	-6.519778888	11.25872549
12.81669151	7.844950925	0.33281941	12.81669151	-6.513107623	11.25836898
12.87630402	7.907718055	0.327969081	12.87630402	-6.513562	11.2583637
12.93591654	7.959359858	0.324634528	12.93591654	-6.515007941	11.25749413
12.99552906	7.997262966	0.323494456	12.99552906	-6.505845421	11.25794144
13.05514158	8.002258927	0.323759955	13.05514158	-6.511821262	11.25856027
13.1147541	8.007325143	0.323533477	13.1147541	-6.513727754	11.25916438
13.17436662	8.008556214	0.323878693	13.17436662	-6.514949846	11.25834397
13.23397914	8.023591316	0.32215538	13.23397914	-6.517807126	11.25923052
13.29359165	8.098468969	0.318515394	13.29359165	-6.518400785	11.2592247
13.35320417	8.090824226	0.320627044	13.35320417	-6.519909545	11.25908087
13.41281669	8.129805859	0.316899003	13.41281669	-6.51991426	11.25963178
13.47242921	8.194242332	0.311392567	13.47242921	-6.519949106	11.25863495
13.53204173	8.176506881	0.313895283	13.53204173	-6.519424256	11.25927225
13.59165425	8.236345187	0.306452418	13.59165425	-6.520362245	11.25943767
13.65126677	8.248369933	0.307433951	13.65126677	-6.519939103	11.25920704
13.71087928	8.222240823	0.307035597	13.71087928	-6.516324826	11.25976461
13.7704918	8.233959136	0.306630394	13.7704918	-6.517928287	11.25978281
13.83010432	8.284420626	0.303954728	13.83010432	-6.518032364	11.25944028
13.88971684	8.291245001	0.304797616	13.88971684	-6.517763355	11.26007861
13.94932936	8.288710531	0.308375578	13.94932936	-6.521400502	11.26037442
14.00894188	8.332426377	0.306713067	14.00894188	-6.523537167	11.25991006
14.0685544	8.380369082	0.301076275	14.0685544	-6.52468926	11.25984997
14.12816692	8.372191898	0.304165855	14.12816692	-6.524155109	11.2608743
14.18777943	8.418727063	0.297756607	14.18777943	-6.522625598	11.25969589
14.24739195	8.43120737	0.295928665	14.24739195	-6.521715638	11.25972431
14.30700447	8.44800618	0.293694178	14.30700447	-6.521066691	11.25933598
14.36661699	8.501822314	0.283052847	14.36661699	-6.520914157	11.26128373
14.42622951	8.552443331	0.278646019	14.42622951	-6.519163126	11.25964962
14.48584203	8.582900935	0.280083115	14.48584203	-6.520680762	11.25983439
14.54545455	8.575136493	0.285905982	14.54545455	-6.523241028	11.26001488
14.60506706	8.607438633	0.282329466	14.60506706	-6.521032675	11.26014525
14.66467958	8.633728887	0.269050289	14.66467958	-6.520572043	11.26002114
14.7242921	8.694510441	0.262674044	14.7242921	-6.521325949	11.25973241
14.78390462	8.726551815	0.269133063	14.78390462	-6.52248626	11.25907076
14.84351714	8.776073231	0.263507036	14.84351714	-6.521069688	11.2600019
14.90312966	8.81183402	0.263813128	14.90312966	-6.51978181	11.25830522
14.96274218	8.857417322	0.256028224	14.96274218	-6.520482942	11.25774279
15.02235469	8.882751302	0.248138705	15.02235469	-6.520286372	11.25823302
15.08196721	8.952212169	0.236251784	15.08196721	-6.521514692	11.25815471
15.14157973	9.021352188	0.21092889	15.14157973	-6.515041884	11.25726493
15.20119225	9.044234158	0.199402786	15.20119225	-6.519199511	11.25894606
15.26080477	9.122197713	0.193033584	15.26080477	-6.512994036	11.25576903
15.32041729	9.153312996	0.185560327	15.32041729	-6.515565136	11.25709031
15.38002981	9.200535207	0.187458712	15.38002981	-6.517532413	11.25702306
15.43964232	9.201538916	0.180699822	15.43964232	-6.518612816	11.2569542
15.49925484	9.25306381	0.17659642	15.49925484	-6.521645585	11.25775374
15.55886736	9.312165611	0.166800346	15.55886736	-6.520727598	11.25760114
15.61847988	9.30023203	0.166731656	15.61847988	-6.527134793	11.25732502
15.6780924	9.301915104	0.163121957	15.6780924	-6.521991221	11.25787602
15.73770492	9.311789901	0.165174861	15.73770492	-6.527396178	11.25820823
15.79731744	9.359737515	0.165125723	15.79731744	-6.524036169	11.25962753
15.85692996	9.431872994	0.164518986	15.85692996	-6.527957953	11.25786906
15.91654247	9.478504143	0.158912514	15.91654247	-6.528325036	11.25812398
15.97615499	9.584404921	0.147667796	15.97615499	-6.527255884	11.25839638
16.03576751	9.566417255	0.144543355	16.03576751	-6.520340235	11.25778333
16.09538003	9.534457023	0.144648933	16.09538003	-6.520440926	11.25819018
16.15499255	9.57221193	0.139298334	16.15499255	-6.52421808	11.25911184
16.21460507	9.60590264	0.13633366	16.21460507	-6.525542664	11.25987325
16.27421759	9.630350939	0.131801186	16.27421759	-6.525594435	11.25919269
16.3338301	9.636594142	0.133848883	16.3338301	-6.522893728	11.25897458
16.39344262	9.709921992	0.123948081	16.39344262	-6.524575435	11.25890015
16.45305514	9.687071487	0.122954543	16.45305514	-6.520026328	11.25886561
16.51266766	9.699739605	0.130766105	16.51266766	-6.518055487	11.25823145
16.57228018	9.698406017	0.132819383	16.57228018	-6.52105381	11.25901661
16.6318927	9.702346835	0.132730319	16.6318927	-6.519484315	11.25793935
16.69150522	9.717537284	0.130049869	16.69150522	-6.519528124	11.25907284
16.75111773	9.776753212	0.119689102	16.75111773	-6.525853729	11.25946038
16.81073025	9.785971046	0.120178513	16.81073025	-6.525859448	11.26002954
16.87034277	9.787116117	0.119507549	16.87034277	-6.527492994	11.25933771
