GMfasBEST			GMext		
t	x	y	t	x	y
4.837048921	12.49312674	1.8228275	4.837048921	48.27837234	9.979512525
4.860994708	12.52597249	1.827411936	4.860994708	48.28232231	9.977503895
4.884940495	12.44373904	1.833102615	4.884940495	48.28722441	9.993469229
4.908886281	12.29639844	1.856515112	4.908886281	48.2760114	10.01646856
4.932832068	12.22891207	1.868575207	4.932832068	48.26634306	10.02264167
4.956777855	12.12684036	1.875127875	4.956777855	48.25392472	10.03293789
4.980723642	12.088951	1.877548273	4.980723642	48.24634259	10.03891987
5.004669428	12.00387275	1.892727232	5.004669428	48.2365444	10.04828373
5.028615215	11.96241104	1.901406745	5.028615215	48.23059337	10.05051103
5.052561002	11.9147798	1.911573261	5.052561002	48.24311177	10.04615812
5.076506789	11.77344277	1.928958474	5.076506789	48.2503696	10.04538226
5.100452575	11.7416533	1.938545166	5.100452575	48.25483151	10.04233607
5.124398362	11.66709853	1.959464242	5.124398362	48.26023741	10.03309337
5.148344149	11.6132805	1.958415675	5.148344149	48.26204424	10.03318411
5.172289936	11.5781649	1.960822301	5.172289936	48.25547177	10.03727848
5.196235722	11.44623633	1.971882184	5.196235722	48.25075522	10.04381719
5.220181509	11.45347413	1.953597382	5.220181509	48.24769013	10.04425513
5.244127296	11.41750407	1.963785817	5.244127296	48.24645607	10.05228152
5.268073083	11.35870026	1.955120168	5.268073083	48.24170454	10.05515746
5.292018869	11.38536067	1.953032963	5.292018869	48.24168709	10.05393515
5.315964656	11.39694814	1.939129661	5.315964656	48.24557835	10.04646452
5.339910443	11.40173559	1.937821268	5.339910443	48.24523284	10.04664568
5.363856229	11.3218992	1.956200318	5.363856229	48.24352943	10.05158579
5.387802016	11.36109871	1.950280517	5.387802016	48.24394298	10.04981881
5.411747803	11.33819231	1.946553023	5.411747803	48.24732483	10.04500729
5.43569359	11.27233339	1.958122699	5.43569359	48.24505598	10.04791431
5.459639376	11.1866166	1.965573829	5.459639376	48.24963221	10.04610149
5.483585163	11.13903305	1.966050374	5.483585163	48.24553465	10.0464749
5.50753095	11.04838632	1.976939913	5.50753095	48.24582531	10.0496728
5.531476737	10.95492727	1.978447129	5.531476737	48.24138298	10.05490878
5.555422523	10.89321931	1.976424395	5.555422523	48.22113031	10.06204704
5.57936831	10.87826424	1.961845203	5.57936831	48.23276145	10.0516656
5.603314097	10.84831373	1.955841299	5.603314097	48.23436527	10.0514446
5.627259884	10.79607658	1.958572082	5.627259884	48.22749837	10.06029351
5.65120567	10.73917225	1.956242668	5.65120567	48.22483846	10.06532955
5.675151457	10.69275752	1.957430607	5.675151457	48.22253525	10.05985196
5.699097244	10.65061411	1.963671957	5.699097244	48.21255532	10.05618524
5.723043031	10.60643614	1.95271315	5.723043031	48.2208176	10.04800261
5.746988817	10.59954959	1.930628804	5.746988817	48.21054644	10.05041974
5.770934604	10.65353595	1.930105445	5.770934604	48.21581336	10.04298123
5.794880391	10.68521168	1.930513978	5.794880391	48.21624676	10.03815416
5.818826178	10.69016948	1.920933769	5.818826178	48.22261816	10.03810193
5.842771964	10.62972154	1.907374698	5.842771964	48.2189483	10.04156857
5.866717751	10.6515458	1.908229914	5.866717751	48.20011721	10.04338118
5.890663538	10.73806287	1.900004311	5.890663538	48.2189368	10.03816769
5.914609324	10.68178626	1.900208855	5.914609324	48.21671586	10.04144099
5.938555111	10.70283318	1.895391892	5.938555111	48.20561917	10.04211193
5.962500898	10.83316358	1.886137863	5.962500898	48.18518865	10.04390457
5.986446685	10.8557636	1.882790833	5.986446685	48.19479571	10.04087788
6.010392471	10.88167765	1.872403816	6.010392471	48.19648844	10.03823395
6.034338258	10.90818518	1.868264616	6.034338258	48.19968781	10.03665781
6.058284045	11.13735964	1.838173412	6.058284045	48.19581423	10.0329328
6.082229832	11.18343423	1.828163523	6.082229832	48.19512271	10.02962447
6.106175618	11.17683847	1.822816412	6.106175618	48.19337794	10.03053181
6.130121405	11.12504611	1.813497315	6.130121405	48.1586936	10.04448792
6.154067192	11.15407943	1.8105813	6.154067192	48.13838733	10.0446115
6.178012979	11.16675629	1.809482859	6.178012979	48.14079061	10.04066099
6.201958765	11.26593072	1.796278077	6.201958765	48.17175561	10.02818327
6.225904552	11.45154818	1.752445983	6.225904552	48.13238375	10.02341141
6.249850339	11.57919839	1.729037096	6.249850339	48.08602911	10.00769917
6.273796126	11.72362967	1.710808693	6.273796126	48.09869696	9.985533746
6.297741912	11.76970731	1.691997904	6.297741912	48.08711368	9.987204249
6.321687699	11.90934424	1.670255837	6.321687699	48.08666507	9.985727939
6.345633486	11.9816472	1.674106541	6.345633486	48.08023996	9.982230563
6.369579273	12.02703453	1.670981936	6.369579273	48.07985282	9.980921612
6.393525059	12.08263571	1.656517283	6.393525059	48.05611254	9.98225408
6.417470846	12.11909939	1.65239277	6.417470846	48.05453713	9.976211618
6.441416633	12.10961373	1.653976009	6.441416633	48.06474298	9.965363344
6.465362419	12.08516429	1.661469502	6.465362419	48.05138765	9.980143898
6.489308206	12.091702	1.661113923	6.489308206	48.03946598	9.988232609
6.513253993	12.10999424	1.650714184	6.513253993	48.04072913	9.981623217
6.53719978	12.20993301	1.649831425	6.53719978	48.03350207	9.975357957
6.561145566	12.20657535	1.665832764	6.561145566	48.03740688	9.973301327
6.585091353	12.16950466	1.662472707	6.585091353	48.03121813	9.986597547
6.60903714	12.28851545	1.625815077	6.60903714	48.02524592	9.983533395
6.632982927	12.61132795	1.572156193	6.632982927	48.00207084	9.938303778
6.656928713	13.86606376	1.445047722	6.656928713	48.03487116	9.836775769
6.6808745	17.63783982	1.439768744	6.6808745	48.11408011	9.619512673
6.704820287	13.63292972	3.274541439	6.704820287	48.18562212	9.436330426
6.728766074	6.089772886	13.4163658	6.728766074	48.24554745	9.285942736
			6.75271186	48.37503844	9.170558749
			6.776657647	48.36228927	9.204363764
			6.800603434	48.37739167	9.211719618
			6.824549221	48.39948256	9.242675759
			6.848495007	48.39452196	9.250175625
			6.872440794	48.39123837	9.261297709
			6.896386581	48.38984844	9.255259667
			6.920332368	48.3924765	9.26236974
			6.944278154	48.39396293	9.259173644
			6.968223941	48.39050174	9.257127217
			6.992169728	48.38868718	9.259407397
