SOLfasSLIDES			SOLext		
t	x	y	t	x	y
0.557496469	13.67334564	5.860585849	0.557496469	27.26554794	13.38688625
0.576079685	13.67227615	5.861046739	0.576079685	27.2654721	13.38709412
0.594662901	13.67037592	5.860991582	0.594662901	27.2655731	13.38698652
0.613246116	13.6726993	5.860601413	0.613246116	27.26552405	13.38688743
0.631829332	13.66947483	5.861467485	0.631829332	27.26518963	13.38710007
0.650412547	13.6692626	5.861195204	0.650412547	27.26482685	13.38712512
0.668995763	13.67080395	5.862544487	0.668995763	27.26360536	13.38766034
0.687578979	13.66743166	5.863130751	0.687578979	27.26337714	13.38776793
0.706162194	13.66927127	5.8641583	0.706162194	27.26346266	13.38793164
0.72474541	13.66679877	5.864891479	0.72474541	27.26296651	13.3883526
0.743328626	13.66780454	5.865853307	0.743328626	27.2623713	13.38865322
0.761911841	13.65926962	5.869288656	0.761911841	27.26144775	13.38975584
0.780495057	13.65302396	5.870749206	0.780495057	27.25891183	13.3900875
0.799078273	13.62531698	5.872659298	0.799078273	27.24916121	13.39335091
0.817661488	13.57235834	5.876644958	0.817661488	27.24517421	13.39470624
0.836244704	13.46772453	5.867769833	0.836244704	27.21813158	13.39882499
0.854827919	13.3048664	5.876859887	0.854827919	27.17648003	13.4024518
0.873411135	13.16301669	5.884249932	0.873411135	27.15299641	13.40799375
0.891994351	13.1110796	5.90751848	0.891994351	27.13956753	13.41241044
0.910577566	13.02925574	5.908657876	0.910577566	27.13721652	13.41830424
0.929160782	12.83727575	5.917066396	0.929160782	27.14775911	13.43126396
0.947743998	12.75532936	5.925828807	0.947743998	27.1298879	13.44466892
0.966327213	12.60914417	5.92915217	0.966327213	27.11916158	13.45332799
0.984910429	12.52685096	5.934096142	0.984910429	27.10759662	13.45901311
1.003493645	12.38390157	5.953542846	1.003493645	27.09716956	13.46346221
1.02207686	12.22854328	5.955036765	1.02207686	27.08399002	13.4684072
1.040660076	12.11338246	5.966703212	1.040660076	27.08598197	13.46686457
1.059243291	11.96881687	5.967346623	1.059243291	27.08369219	13.46886268
1.077826507	11.9194122	5.971538841	1.077826507	27.08104763	13.4661423
1.096409723	11.80420875	5.968516871	1.096409723	27.07810796	13.47004886
1.114992938	11.66825629	5.962911706	1.114992938	27.07216505	13.47870669
1.133576154	11.59765943	5.976929366	1.133576154	27.05084158	13.48684056
1.15215937	11.55027693	5.969437563	1.15215937	27.04517577	13.49000566
1.170742585	11.47517594	5.964641044	1.170742585	27.0429876	13.49179502
1.189325801	11.39442839	5.965797969	1.189325801	27.03802205	13.49291025
1.207909017	11.36184153	5.956303321	1.207909017	27.0383811	13.48745628
1.226492232	11.32685046	5.954119711	1.226492232	27.0353739	13.48816209
1.245075448	11.32295074	5.95211972	1.245075448	27.03802716	13.48432298
1.263658663	11.2762597	5.952452205	1.263658663	27.03122599	13.48634425
1.282241879	11.20081345	5.953999489	1.282241879	27.03252089	13.48776677
1.300825095	11.15793265	5.957455196	1.300825095	27.03542962	13.48437285
1.31940831	11.13437194	5.954121066	1.31940831	27.02277793	13.48001541
1.337991526	11.11231547	5.952685111	1.337991526	27.01838754	13.47734881
1.356574742	11.16268206	5.949308116	1.356574742	27.01653284	13.47475206
