GMfas			GMext		
t	x	y	t	x	y
2.1671469740	8.4495459940	0.9931753831	2.1671469740	45.4094216200	11.6701375600
2.1902017290	8.4253441020	1.0076345840	2.1902017290	45.4092388700	11.6712103600
2.2132564840	8.3602049190	1.0279658230	2.2132564840	45.4087592600	11.6696947400
2.2363112390	8.2851549150	1.0526636130	2.2363112390	45.4088508000	11.6693879200
2.2593659940	8.2465186260	1.0567310320	2.2593659940	45.4078718100	11.6699503900
2.2824207490	8.2146919850	1.0515231500	2.2824207490	45.4084107500	11.6695512500
2.3054755040	8.1509172150	1.0540637280	2.3054755040	45.4080029300	11.6692803900
2.3285302590	8.0754787340	1.0521629370	2.3285302590	45.4075600200	11.6688781800
2.3515850140	8.0326543870	1.0775239370	2.3515850140	45.4082699100	11.6694761600
2.3746397690	7.9886955580	1.0932798860	2.3746397690	45.4065797300	11.6694785200
2.3976945240	7.9213214500	1.1021433700	2.3976945240	45.4060814900	11.6684474100
2.4207492800	7.8852044000	1.1081412760	2.4207492800	45.4064317100	11.6676721700
2.4438040350	7.8545267890	1.1280478100	2.4438040350	45.4066407000	11.6683676400
2.4668587900	7.8297856610	1.1562624270	2.4668587900	45.4069190500	11.6682909700
2.4899135450	7.7851400730	1.1562885800	2.4899135450	45.4066191800	11.6687077800
2.5129683000	7.7937979410	1.1474007990	2.5129683000	45.4065016000	11.6690052200
2.5360230550	7.7984640080	1.1412774420	2.5360230550	45.4063461700	11.6686756900
2.5590778100	7.7708361740	1.1386374890	2.5590778100	45.4071403600	11.6689316500
2.5821325650	7.6388820390	1.1789890430	2.5821325650	45.4049976200	11.6692363800
2.6051873200	7.6160614420	1.2080092630	2.6051873200	45.4074791800	11.6693962500
2.6282420750	7.5965851350	1.2156755370	2.6282420750	45.4053343500	11.6692633700
2.6512968300	7.5433179240	1.2250556910	2.6512968300	45.4053841400	11.6698583800
2.6743515850	7.4895353060	1.2254095550	2.6743515850	45.4069874100	11.6701931800
2.6974063400	7.4548028490	1.2239356340	2.6974063400	45.4055879500	11.6702654200
2.7204610950	7.4341404730	1.2203517750	2.7204610950	45.4065445700	11.6696581100
2.7435158500	7.3999678360	1.2219088980	2.7435158500	45.4073737100	11.6703279900
2.7665706050	7.3576836490	1.2303273010	2.7665706050	45.4049433800	11.6696005700
2.7896253600	7.2466838180	1.2454607930	2.7896253600	45.4061400600	11.6706848800
2.8126801150	7.0132015360	1.2767606170	2.8126801150	45.4044164600	11.6701313600
2.8357348700	6.9469844120	1.2845832620	2.8357348700	45.4063253800	11.6711962900
2.8587896250	6.9176765190	1.2892221050	2.8587896250	45.4054481900	11.6696591500
2.8818443800	6.8928554430	1.2978023720	2.8818443800	45.4043169000	11.6698719300
2.9048991350	6.8552659730	1.2979982290	2.9048991350	45.4046156400	11.6708437500
2.9279538900	6.7341139860	1.3147316350	2.9279538900	45.4047188300	11.6708656400
2.9510086460	6.5627759460	1.3403267380	2.9510086460	45.4053279800	11.6691749800
2.9740634010	6.4199604400	1.4062342990	2.9740634010	45.4055507500	11.6687455200
2.9971181560	6.3582114710	1.4382004270	2.9971181560	45.4047089600	11.6692792600
3.0201729110	6.3130440120	1.4488960610	3.0201729110	45.4060445200	11.6688490400
3.0432276660	6.1997943080	1.4877057710	3.0432276660	45.4060209100	11.6694730400
3.0662824210	6.1965810260	1.5150746270	3.0662824210	45.4059634900	11.6691865300
3.0893371760	6.1868303350	1.5161650090	3.0893371760	45.4058342900	11.6700973300
3.1123919310	6.1750005520	1.5152977800	3.1123919310	45.4054992100	11.6698552000
3.1354466860	6.1775170670	1.5155229900	3.1354466860	45.4048028100	11.6700556800
3.1585014410	6.1670457690	1.5301918070	3.1585014410	45.4048002500	11.6697399500
3.1815561960	6.1816318410	1.5389918730	3.1815561960	45.4056815700	11.6704026100
3.2046109510	6.2001674220	1.5450316820	3.2046109510	45.4047102000	11.6711396400
3.2276657060	6.1901121840	1.5370966030	3.2276657060	45.4061353500	11.6701660700
3.2507204610	6.1410867920	1.5341766570	3.2507204610	45.4048552300	11.6698951500
3.2737752160	6.0502975290	1.5502461550	3.2737752160	45.4051758100	11.6705710000
3.2968299710	5.9202380710	1.5774576610	3.2968299710	45.4067599100	11.6702355900
3.3198847260	5.7621027580	1.6138077810	3.3198847260	45.4041996000	11.6701042400
3.3429394810	5.7390484000	1.6120421640	3.3429394810	45.4056232100	11.6695156200
3.3659942360	5.7384572690	1.6264730130	3.3659942360	45.4052993300	11.6704339200
3.3890489910	5.6846903270	1.6410589650	3.3890489910	45.4019717300	11.6705693700
3.4121037460	5.5722595530	1.6632481100	3.4121037460	45.4051305200	11.6697415600
3.4351585010	5.4918257470	1.6755196950	3.4351585010	45.4038330100	11.6703435100
3.4582132560	5.4336347800	1.6730035830	3.4582132560	45.4043291400	11.6706696300
3.4812680120	5.4200205470	1.6779804950	3.4812680120	45.4029073500	11.6705271100
3.5043227670	5.4197375390	1.6974979900	3.5043227670	45.4041545000	11.6694658900
3.5273775220	5.3130111110	1.7508757540	3.5273775220	45.4027943900	11.6700698900
3.5504322770	5.2448285030	1.7718109580	3.5504322770	45.4013223600	11.6719974400
3.5734870320	5.1635675990	1.7830582860	3.5734870320	45.4034184900	11.6716319100
3.5965417870	5.1435090100	1.7719136750	3.5965417870	45.4017180000	11.6717740400
3.6195965420	5.2728229180	1.7608048150	3.6195965420	45.4020542200	11.6709873400
3.6426512970	5.2536347650	1.7690310960	3.6426512970	45.4032708800	11.6705000900
3.6657060520	5.1980889700	1.7879218400	3.6657060520	45.4027105600	11.6720680000
3.6887608070	5.1390804380	1.8069982520	3.6887608070	45.4032153200	11.6719934400
3.7118155620	5.0962336890	1.8468017670	3.7118155620	45.4030153100	11.6719963400
3.7348703170	5.1374200280	1.8336941660	3.7348703170	45.4031002600	11.6720203500
3.7579250720	5.0951995760	1.8103088570	3.7579250720	45.4020032400	11.6710918100
3.7809798270	5.0134116890	1.8073995300	3.7809798270	45.4040563800	11.6708759800
3.8040345820	4.9374605790	1.8123571250	3.8040345820	45.4043831800	11.6704547800
3.8270893370	4.9130445760	1.8132975230	3.8270893370	45.4034350900	11.6696812000
3.8501440920	4.9148142120	1.8174331360	3.8501440920	45.4051772800	11.6699515400
3.8731988470	4.6852857300	1.9085649680	3.8731988470	45.4026451000	11.6710553300
3.8962536020	4.6161076280	1.9412765460	3.8962536020	45.4012338400	11.6721180700
3.9193083570	4.5018386930	1.9772380550	3.9193083570	45.4035288500	11.6715350900
3.9423631120	4.3464199190	2.0681789360	3.9423631120	45.4008788800	11.6760799700
3.9654178670	4.4059287290	2.0822782290	3.9654178670	45.4001497800	11.6774037800
3.9884726220	4.3907176450	2.0912391600	3.9884726220	45.4040248900	11.6785731100
4.0115273780	4.3658329450	2.1056282860	4.0115273780	45.4046310500	11.6793373500
4.0345821330	4.3561572590	2.1079775750	4.0345821330	45.4025754700	11.6814919900
4.0576368880	4.2769104780	2.1151660950	4.0576368880	45.4035453900	11.6830868700
4.0806916430	4.2428334540	2.1144289740	4.0806916430	45.4023089400	11.6806284100
4.1037463980	4.1296280410	2.1068311680	4.1037463980	45.4033365100	11.6798970500
4.1268011530	4.1110868510	2.1135611100	4.1268011530	45.4052026500	11.6810742800
4.1498559080	3.9626696100	2.1259247510	4.1498559080	45.4022106000	11.6880448100
4.1729106630	3.8212438260	2.1431623260	4.1729106630	45.4016327500	11.6843350500
4.1959654180	3.6754640200	2.1560536190	4.1959654180	45.4036107300	11.6798250000
4.2190201730	3.5980562280	2.1585130600	4.2190201730	45.4033574700	11.6804906400
4.2420749280	3.5761340630	2.1614740160	4.2420749280	45.4035044500	11.6784215600
4.2651296830	3.4790866420	2.1696129050	4.2651296830	45.4042340200	11.6793353000
4.2881844380	3.4323978120	2.1779967750	4.2881844380	45.4043187100	11.6780227400
4.3112391930	3.4067200200	2.1781263060	4.3112391930	45.4020229300	11.6773874200
4.3342939480	3.4252209100	2.1871816210	4.3342939480	45.4033656900	11.6781721700
4.3573487030	3.4077903230	2.1868972840	4.3573487030	45.4015548400	11.6799548200
4.3804034580	3.2279666090	2.2029655830	4.3804034580	45.4031512800	11.6766909100
4.4034582130	3.2069906820	2.2085506040	4.4034582130	45.4038953100	11.6761249000
4.4265129680	3.1956132630	2.2119629530	4.4265129680	45.4042282500	11.6767487700
4.4495677230	3.1213525370	2.2248641940	4.4495677230	45.4035426600	11.6775679800
4.4726224780	3.0508933210	2.2287471010	4.4726224780	45.4054368400	11.6763434400
4.4956772330	2.9685068760	2.2317430430	4.4956772330	45.4039436900	11.6767884300
4.5187319880	2.9380190010	2.2403450410	4.5187319880	45.4030659700	11.6750063100
4.5417867440	2.8448642790	2.2556341440	4.5417867440	45.4051487100	11.6748316500
4.5648414990	2.7391505470	2.2578543850	4.5648414990	45.4046719900	11.6770071400
4.5878962540	2.6710278500	2.2639381170	4.5878962540	45.4052256300	11.6749616100
4.6109510090	2.6932999110	2.2692648710	4.6109510090	45.4071536800	11.6738603500
4.6340057640	2.5782854160	2.2874780740	4.6340057640	45.4057196000	11.6739600200
4.6570605190	2.5203494880	2.2964057360	4.6570605190	45.4064371800	11.6746648600
4.6801152740	2.4259907680	2.3054511590	4.6801152740	45.4074099100	11.6729857700
4.7031700290	2.4225695510	2.2992367780	4.7031700290	45.4066379800	11.6709057700
4.7262247840	2.4730912770	2.2994531240	4.7262247840	45.4065622200	11.6717413800
4.7492795390	2.3590699890	2.2982645100	4.7492795390	45.4070704700	11.6720357700
4.7723342940	2.3910127120	2.2974700450	4.7723342940	45.4070196300	11.6707840000
4.7953890490	2.3983119660	2.3002101830	4.7953890490	45.4072995600	11.6706680800
4.8184438040	2.3411400130	2.3098246460	4.8184438040	45.4085398900	11.6701378000
4.8414985590	2.2388308200	2.3181884600	4.8414985590	45.4091106100	11.6707771900
4.8645533140	2.1445080480	2.3275264660	4.8645533140	45.4071425200	11.6700071000
4.8876080690	2.1285864240	2.3326486710	4.8876080690	45.4089792000	11.6691353000
4.9106628240	2.0644748130	2.3398085200	4.9106628240	45.4080801700	11.6705439200
4.9337175790	1.9281937800	2.3518062490	4.9337175790	45.4077193200	11.6699987400
4.9567723340	1.9155949020	2.3496053630	4.9567723340	45.4096564000	11.6691793800
4.9798270890	1.8955941100	2.3510618100	4.9798270890	45.4078296500	11.6688317200
5.0028818440	1.8123684930	2.3577240930	5.0028818440	45.4091320100	11.6693745500
5.0259365990	1.7723672330	2.3619907830	5.0259365990	45.4093729300	11.6688253900
5.0489913540	1.5676995550	2.3861216270	5.0489913540	45.4090532800	11.6691961400
5.0720461100	1.5504985560	2.3854710880	5.0720461100	45.4096051700	11.6678607900
