cm_A			CALext		
3.5260137290	11.1738108800	8.2280655460	3.5260137290	-2.0376845050	14.8663310700
3.5447691210	11.1603802800	8.2274338150	3.5447691210	-2.0473284670	14.8670934900
3.5635245130	11.1222613300	8.2218593240	3.5635245130	-2.0546768630	14.8679503800
3.5822799050	11.1199501300	8.2210808840	3.5822799050	-2.0494565280	14.8685092400
3.6010352980	11.1118450500	8.2218751130	3.6010352980	-2.0526802640	14.8692203000
3.6197906900	11.0805386600	8.2232660350	3.6197906900	-2.0579458790	14.8698599900
3.6385460820	11.0303065900	8.2208841430	3.6385460820	-2.0657339290	14.8707246800
3.6573014740	11.0228523900	8.2189837430	3.6573014740	-2.0679692890	14.8708370900
3.6760568660	11.0429851600	8.2171945610	3.6760568660	-2.0603643530	14.8709490500
3.6948122590	11.0484730400	8.2176411520	3.6948122590	-2.0584497400	14.8710624700
3.7135676510	11.0341908000	8.2186590040	3.7135676510	-2.0620158490	14.8712481500
3.7323230430	11.0447380700	8.2164176160	3.7323230430	-2.0606853970	14.8713989800
3.7510784350	11.0936585100	8.2155761160	3.7510784350	-2.0544758080	14.8705093000
3.7698338270	11.1050326200	8.2156683390	3.7698338270	-2.0560503870	14.8706020400
3.7885892190	11.0885772900	8.2152216520	3.7885892190	-2.0544912460	14.8700261000
3.8073446120	11.0910314800	8.2105220170	3.8073446120	-2.0487045090	14.8688393200
3.8261000040	11.1071435600	8.2027159240	3.8261000040	-2.0438907630	14.8670701400
3.8448553960	11.1138218000	8.1995081730	3.8448553960	-2.0394419360	14.8668763400
3.8636107880	11.1206160400	8.2017851470	3.8636107880	-2.0349768330	14.8674692200
3.8823661800	11.1252459600	8.2018708370	3.8823661800	-2.0307057990	14.8672675900
3.9011215720	11.1238029800	8.1914203210	3.9011215720	-2.0226644800	14.8672494100
3.9198769650	11.1343418700	8.1770143750	3.9198769650	-1.9754868210	14.8659450500
3.9386323570	11.1329822800	8.1746482960	3.9386323570	-1.9688539980	14.8656029400
3.9573877490	11.1198560200	8.1760398520	3.9573877490	-1.9878490080	14.8666969100
3.9761431410	11.1235593100	8.1765833930	3.9761431410	-1.9966279380	14.8673790900
3.9948985330	11.1346096100	8.1724743360	3.9948985330	-1.9940252020	14.8666608800
4.0136539260	11.1505614200	8.1711438880	4.0136539260	-1.9924678140	14.8662210300
4.0324093180	11.1554169900	8.1712184540	4.0324093180	-1.9920987530	14.8661069300
4.0511647100	11.1538778300	8.1747180120	4.0511647100	-1.9952709600	14.8664676200
4.0699201020	11.1336953100	8.1779994100	4.0699201020	-1.9999249980	14.8676844800
4.0886754940	11.1297115000	8.1750940680	4.0886754940	-1.9983813490	14.8678769400
4.1074308860	11.1313745100	8.1745676300	4.1074308860	-1.9912489140	14.8680878200
4.1261862790	11.1503882400	8.1734270190	4.1261862790	-1.9848919140	14.8675594300
4.1449416710	11.1540360000	8.1757289940	4.1449416710	-1.9793795470	14.8678775100
4.1636970630	11.1343833400	8.1800171130	4.1636970630	-1.9834948730	14.8687351500
4.1824524550	11.1338962500	8.1802563800	4.1824524550	-1.9794351460	14.8684682500
4.2012078470	11.1604840300	8.1782070940	4.2012078470	-1.9717750840	14.8679242400
4.2199632390	11.1767929000	8.1804995440	4.2199632390	-1.9697740760	14.8682238400
4.2387186320	11.1823664500	8.1810799760	4.2387186320	-1.9719551660	14.8681837700
4.2574740240	11.1497573300	8.1793641140	4.2574740240	-1.9777986470	14.8689438500
4.2762294160	11.1503127500	8.1801447230	4.2762294160	-1.9809277110	14.8694267200
4.2949848080	11.1596279400	8.1804771040	4.2949848080	-1.9804593680	14.8699994200
4.3137402000	11.1803890700	8.1830534030	4.3137402000	-1.9796676420	14.8704446400
4.3324955920	11.1711222500	8.1806620610	4.3324955920	-1.9789838640	14.8699147300
4.3512509850	11.1532470700	8.1795317490	4.3512509850	-1.9825209910	14.8706891500
4.3700063770	11.1406301900	8.1825001060	4.3700063770	-1.9855125770	14.8711930000
4.3887617690	11.1380380900	8.1826066110	4.3887617690	-1.9865469370	14.8714353900
4.4075171610	11.1311254100	8.1807086370	4.4075171610	-1.9852724720	14.8710257800
4.4262725530	11.0826795200	8.1769810360	4.4262725530	-1.9893130530	14.8709413500
4.4450279460	11.0296583900	8.1773876290	4.4450279460	-1.9938331420	14.8711790300
4.4637833380	11.0102111200	8.1747314670	4.4637833380	-1.9948090210	14.8709268400
4.4825387300	11.0094483300	8.1733741980	4.4825387300	-1.9925790670	14.8706077900
4.5012941220	11.0129908700	8.1734484870	4.5012941220	-1.9900935480	14.8704605600
4.5200495140	11.0105591400	8.1738874240	4.5200495140	-1.9904534990	14.8707201200
4.5388049060	10.9960794400	8.1743099670	4.5388049060	-1.9915229480	14.8704697400
4.5575602990	10.9995565000	8.1726932040	4.5575602990	-1.9914104480	14.8702592300
4.5763156910	11.0024458300	8.1738712120	4.5763156910	-1.9895482240	14.8705193000
4.5950710830	11.0038863300	8.1772385580	4.5950710830	-1.9951623450	14.8712636200
4.6138264750	10.9928579400	8.1796530700	4.6138264750	-2.0011139760	14.8714605000
4.6325818670	10.9943591900	8.1809189520	4.6325818670	-1.9999064030	14.8716289100
4.6513372590	11.0023352100	8.1805467300	4.6513372590	-1.9976866810	14.8718889100
4.6700926520	11.0140141000	8.1827276350	4.6700926520	-2.0002576420	14.8723115500
4.6888480440	11.0070701100	8.1878925670	4.6888480440	-2.0116581980	14.8727456500
4.7076034360	10.9909956300	8.1974592760	4.7076034360	-2.0224591700	14.8732313700
4.7263588280	10.9912070800	8.2009559480	4.7263588280	-2.0200324150	14.8732104000
4.7451142200	11.0358931900	8.2177320050	4.7451142200	-2.0200887520	14.8741538700
4.7638696130	11.1704152600	8.2653022000	4.7638696130	-2.0494516490	14.8760894900
4.7826250050	11.3353118000	8.3272445780	4.7826250050	-2.0439101110	14.8778122800
4.8013803970	11.7667327900	8.4327086010	4.8013803970	-2.1013312470	14.8828794600
4.8201357890	11.8975793600	8.4828876560	4.8201357890	-2.0579901740	14.8869141600
4.8388911810	12.0248459900	8.5645453070	4.8388911810	-2.1260244470	14.8927706600
4.8576465730	12.0402912200	8.6296319710	4.8576465730	-2.1812728690	14.9024676800
4.8764019660	12.5627392400	8.6921359700	4.8764019660	-2.0069735060	14.9071967800
4.8951573580	13.0296135800	8.7228280550	4.8951573580	-1.8923672280	14.9061266000
4.9139127500	13.4302725800	8.7382178430	4.9139127500	-1.7652457660	14.9207477100
4.9326681420	13.3341484200	8.7834249300	4.9326681420	-1.8111778900	14.9223050600
4.9514235340	13.3400337400	8.8283103660	4.9514235340	-1.8499921730	14.9215518400
4.9701789260	13.6756003300	8.8886914100	4.9701789260	-1.8149781220	14.9187306400
4.9889343190	13.9224991500	8.9328574680	4.9889343190	-1.8512806310	14.9189642400
5.0076897110	14.0260082600	8.9621454210	5.0076897110	-1.8461346930	14.9162992500
5.0264451030	14.1422279700	9.0036264650	5.0264451030	-1.8264585580	14.9155898200
5.0452004950	14.2511357200	9.0359185220	5.0452004950	-1.8240820010	14.9127650700
5.0639558870	14.2584401600	9.0494121540	5.0639558870	-1.8317852280	14.9086186500
5.0827112790	14.2424465900	9.0617699120	5.0827112790	-1.8249805450	14.9061209900
5.1014666720	14.2392384500	9.0939651330	5.1014666720	-1.8322961980	14.9055322100
5.1202220640	14.2397458600	9.1085217850	5.1202220640	-1.8402520440	14.9038141800
5.1389774560	14.2179449600	9.1214458060	5.1389774560	-1.8543530970	14.9031627300
5.1577328480	14.2155453900	9.1260900380	5.1577328480	-1.8557584390	14.9023266300
5.1764882400	14.2131927000	9.1347082570	5.1764882400	-1.8571822730	14.9020162100
5.1952436330	14.2252061500	9.1425300620	5.1952436330	-1.8764071950	14.9016805800
5.2139990250	14.2062554900	9.1548320790	5.2139990250	-1.9154202090	14.9012381200
5.2327544170	14.2092914300	9.1600932900	5.2327544170	-1.9159435720	14.9014547000
5.2515098090	14.2187656700	9.1603915700	5.2515098090	-1.9087836890	14.9008060600
5.2702652010	14.2347446800	9.1624708760	5.2702652010	-1.9088188880	14.8998864200
5.2890205930	14.2393801000	9.1641118830	5.2890205930	-1.9053464730	14.8990848600
5.3077759860	14.2396087800	9.1639898750	5.3077759860	-1.9069827710	14.8989506500
5.3265313780	14.2351458100	9.1662191170	5.3265313780	-1.9094500110	14.8980459500
5.3452867700	14.2342213700	9.1659282850	5.3452867700	-1.9137480170	14.8974842500
5.3640421620	14.2406253200	9.1648521280	5.3640421620	-1.9146271480	14.8963614300
5.3827975540	14.2518788400	9.1630990110	5.3827975540	-1.9151226170	14.8959694600
5.4015529460	14.2472942600	9.1632888530	5.4015529460	-1.9114455770	14.8956206000
5.4203083390	14.2421306000	9.1637016590	5.4203083390	-1.9132675970	14.8950691300
5.4390637310	14.2360876900	9.1629930080	5.4390637310	-1.9154766830	14.8945024400
5.4578191230	14.2322838100	9.1630926270	5.4578191230	-1.9210883440	14.8941569100
5.4765745150	14.2329921100	9.1628156660	5.4765745150	-1.9218110690	14.8940587400
5.4953299070	14.2276638500	9.1619156000	5.4953299070	-1.9199073200	14.8940123200
5.5140853000	14.2190931500	9.1609500480	5.5140853000	-1.9174951300	14.8936336200
5.5328406920	14.2197082900	9.1586681810	5.5328406920	-1.9163759760	14.8936550500
5.5515960840	14.2230687400	9.1552227760	5.5515960840	-1.9159907610	14.8934109500
5.5703514760	14.2178781500	9.1536572910	5.5703514760	-1.9133361620	14.8933257900
5.5891068680	14.2162021500	9.1527778200	5.5891068680	-1.9110674080	14.8930779200
5.6078622600	14.2144766900	9.1494265530	5.6078622600	-1.9148270720	14.8926546400
5.6266176530	14.2132241100	9.1445121590	5.6266176530	-1.9163335600	14.8927493500
5.6453730450	14.2183820200	9.1411986260	5.6453730450	-1.9190638940	14.8926827300
5.6641284370	14.2234324400	9.1389614610	5.6641284370	-1.9189103220	14.8930857200
5.6828838290	14.2260533000	9.1386449490	5.6828838290	-1.9143397760	14.8932124800
5.7016392210	14.2295254600	9.1335000390	5.7016392210	-1.9110189840	14.8930872500
5.7203946130	14.2315867400	9.1311773040	5.7203946130	-1.9114001940	14.8933690500
5.7391500060	14.2346744800	9.1324051590	5.7391500060	-1.9067509960	14.8930733200
5.7579053980	14.2355786300	9.1360144950	5.7579053980	-1.9038658940	14.8930857400
5.7766607900	14.2361843100	9.1343539030	5.7766607900	-1.9036866000	14.8930552200
5.7954161820	14.2162951300	9.1304943670	5.7954161820	-1.9017669470	14.8926682900
5.8141715740	14.2168130400	9.1219992210	5.8141715740	-1.9032469070	14.8925743000
5.8329269670	14.2192129900	9.1188654470	5.8329269670	-1.9001912930	14.8926475900
5.8516823590	14.2269546100	9.1159510670	5.8516823590	-1.8990579300	14.8925166100
5.8704377510	14.2296663600	9.1152768460	5.8704377510	-1.8999996270	14.8923711400
5.8891931430	14.2336991100	9.1124802470	5.8891931430	-1.8975415290	14.8922048000
5.9079485350	14.2341651000	9.1122171020	5.9079485350	-1.8988739110	14.8922669800
5.9267039270	14.2376881200	9.1109066430	5.9267039270	-1.8974299610	14.8922145100
5.9454593200	14.2427813100	9.1093395070	5.9454593200	-1.8951242110	14.8921292000
5.9642147120	14.2437470100	9.1103036330	5.9642147120	-1.8938023020	14.8922181800
5.9829701040	14.2427050600	9.1075003310	5.9829701040	-1.8960380080	14.8920600900
6.0017254960	14.2433972100	9.1056477630	6.0017254960	-1.8941928520	14.8921285800
6.0204808880	14.2523560100	9.0997471770	6.0204808880	-1.8916053760	14.8919294000
6.0392362800	14.2477164000	9.1020685900	6.0392362800	-1.8908378020	14.8917899600
6.0579916730	14.2424758400	9.1048673550	6.0579916730	-1.8923967650	14.8920323500
