GMfasMMM1			GMextMMM		
t	x	y	t	x	y
3.87481371100	13.89186016000	0.64034636710	3.87481371100	4.44829770800	13.62231278000
3.93442623000	13.95883663000	0.63152756980	3.93442623000	4.44896746400	13.62275964000
3.99403874800	14.05920172000	0.62327167200	3.99403874800	4.44904575200	13.62272473000
4.05365126700	14.07599632000	0.61913959960	4.05365126700	4.44357580100	13.62306744000
4.11326378500	14.14686168000	0.61081383490	4.11326378500	4.43498174900	13.62383993000
4.17287630400	14.20384573000	0.60493979450	4.17287630400	4.44038364500	13.62311997000
4.23248882300	14.24657568000	0.60702142100	4.23248882300	4.43757460900	13.62321551000
4.29210134100	14.30216136000	0.59808600360	4.29210134100	4.43720374000	13.62322124000
4.35171386000	14.35371565000	0.59435478450	4.35171386000	4.43770291600	13.62315189000
4.41132637900	14.44121295000	0.58731049810	4.41132637900	4.44616962100	13.62205622000
