CALbumpMM			CALext		
t	x	y	t	x	y
0.872035080700	9.915798017000	8.080960666000	0.872035080700	-16.513532720000	14.820899740000
0.896950368700	9.916794168000	8.080968547000	0.896950368700	-16.512512940000	14.820619320000
0.921865656800	9.918342345000	8.081450393000	0.921865656800	-16.514102270000	14.821256260000
0.946780944800	9.917980686000	8.081449875000	0.946780944800	-16.512667360000	14.821271460000
0.971696232800	9.919005398000	8.081564171000	0.971696232800	-16.514209020000	14.821253660000
0.996611520800	9.921784736000	8.081893830000	0.996611520800	-16.510820060000	14.820648650000
1.021526809000	9.922128725000	8.081382337000	1.021526809000	-16.515099790000	14.821743330000
1.046442097000	9.919786170000	8.082013767000	1.046442097000	-16.514801480000	14.820057930000
1.071357385000	9.917164553000	8.082588916000	1.071357385000	-16.513214520000	14.820388850000
1.096272673000	9.919723331000	8.081068246000	1.096272673000	-16.514389780000	14.821056150000
1.121187961000	9.920064523000	8.081592424000	1.121187961000	-16.512119640000	14.821241990000
1.146103249000	9.919093448000	8.081416902000	1.146103249000	-16.513894960000	14.820665660000
1.171018537000	9.917852538000	8.080508066000	1.171018537000	-16.510783040000	14.821676880000
1.195933825000	9.922328115000	8.079231666000	1.195933825000	-16.513944600000	14.821137710000
1.220849113000	9.920984085000	8.078837508000	1.220849113000	-16.511993890000	14.821094300000
1.245764401000	9.924912573000	8.077715533000	1.245764401000	-16.512897950000	14.819708360000
1.270679689000	9.924582436000	8.078394281000	1.270679689000	-16.513971500000	14.820693420000
1.295594977000	9.923259455000	8.078825222000	1.295594977000	-16.512844370000	14.820313330000
1.320510265000	9.922858396000	8.078580082000	1.320510265000	-16.515053270000	14.821478270000
1.345425553000	9.922389250000	8.078628509000	1.345425553000	-16.512672660000	14.820889430000
1.370340841000	9.923174749000	8.078822372000	1.370340841000	-16.512973830000	14.820586660000
1.395256129000	9.922854196000	8.078799083000	1.395256129000	-16.513594290000	14.821296410000
1.420171417000	9.923506901000	8.078359260000	1.420171417000	-16.511473200000	14.821140100000
1.445086705000	9.924099466000	8.077805654000	1.445086705000	-16.513961410000	14.821192810000
1.470001993000	9.925241613000	8.077868656000	1.470001993000	-16.513971160000	14.821480660000
1.494917281000	9.924245705000	8.077682387000	1.494917281000	-16.514979750000	14.820410020000
1.519832569000	9.922727285000	8.077306600000	1.519832569000	-16.512614240000	14.820482130000
1.544747857000	9.923688376000	8.076948284000	1.544747857000	-16.513681460000	14.820674460000
1.569663145000	9.921468069000	8.077102953000	1.569663145000	-16.513433820000	14.820146350000
1.594578433000	9.917032245000	8.077112094000	1.594578433000	-16.512871920000	14.820162310000
1.619493721000	9.920252311000	8.072861060000	1.619493721000	-16.513875780000	14.820708550000
1.644409009000	9.922514690000	8.071981269000	1.644409009000	-16.513791310000	14.820318780000
1.669324297000	9.918948939000	8.068419117000	1.669324297000	-16.513570220000	14.819421780000
1.694239585000	9.906390022000	8.062050792000	1.694239585000	-16.512220020000	14.820302840000
1.719154873000	9.905286677000	8.052792754000	1.719154873000	-16.512459370000	14.820248090000
1.744070161000	9.897549900000	8.044424970000	1.744070161000	-16.511469930000	14.820326880000
1.768985449000	9.765132011000	8.007564773000	1.768985449000	-16.511951210000	14.820853770000
1.793900737000	9.761418806000	8.002287848000	1.793900737000	-16.511054380000	14.820632140000
1.818816026000	9.754143170000	7.997759696000	1.818816026000	-16.509604350000	14.821291200000
1.843731314000	9.734778674000	7.994342568000	1.843731314000	-16.509750070000	14.821127630000
1.868646602000	9.659544528000	7.988425202000	1.868646602000	-16.510519870000	14.820998630000
1.893561890000	9.636289021000	7.981490210000	1.893561890000	-16.510465660000	14.822227870000
1.918477178000	9.620726914000	7.981120566000	1.918477178000	-16.510574260000	14.822125480000
1.943392466000	9.566772565000	7.978859294000	1.943392466000	-16.510603560000	14.823016560000
1.968307754000	9.546861645000	7.979836227000	1.968307754000	-16.509183700000	14.823865420000
1.993223042000	9.527232416000	7.981051341000	1.993223042000	-16.508869180000	14.821970220000
2.018138330000	9.521006891000	7.982464413000	2.018138330000	-16.506199130000	14.822819560000
2.043053618000	9.510821635000	7.979560299000	2.043053618000	-16.510289630000	14.822744190000
2.067968906000	9.510555156000	7.982241916000	2.067968906000	-16.510022670000	14.822784280000
2.092884194000	9.461706027000	7.975097269000	2.092884194000	-16.510315990000	14.822716310000
2.117799482000	9.449535027000	7.977226119000	2.117799482000	-16.508975040000	14.822168420000
2.142714770000	9.408964622000	7.974597907000	2.142714770000	-16.511703980000	14.822165370000
2.167630058000	9.373914532000	7.980036900000	2.167630058000	-16.514386230000	14.822658250000
