GF_namemissing			GFext		
t	x	y	t	x	y
11.3299931700	-4.5918188600	7.0499884270	11.3299931700	24.3910184900	29.4061801700
11.3869278100	-4.5988939060	7.0492822710	11.3869278100	24.3958735600	29.4066191900
11.4438624500	-4.6099433490	7.0469632120	11.4438624500	24.4036507400	29.4053869200
11.5007970800	-4.5967731390	7.0357427290	11.5007970800	24.4127498600	29.4068946200
11.5577317200	-4.6126258800	7.0185794140	11.5577317200	24.4150916200	29.4065973800
11.6146663600	-4.6597438590	6.9822860180	11.6146663600	24.4192406300	29.4063489600
11.6716010000	-4.7174761550	6.9728346070	11.6716010000	24.4256756400	29.4073579200
11.7285356400	-4.7237515510	6.9464460020	11.7285356400	24.4281371300	29.4058455100
11.7854702800	-4.7806655190	6.9387469840	11.7854702800	24.4307866600	29.4050051900
11.8424049200	-4.8370128120	6.9384092960	11.8424049200	24.4408124300	29.4047797300
11.8993395600	-4.7972543540	6.9258034700	11.8993395600	24.4351317300	29.4054696200
11.9562742000	-4.8225724340	6.9295642330	11.9562742000	24.4503108000	29.4053131400
12.0132088400	-4.7880082430	6.9299650750	12.0132088400	24.4641523600	29.4063730900
12.0701434800	-4.7200681380	6.9289765420	12.0701434800	24.4778309000	29.3993571200
12.1270781100	-4.7771395230	6.9235613970	12.1270781100	24.5235592800	29.4004295000
12.1840127500	-4.7785083270	6.8730355210	12.1840127500	24.5371910800	29.4011188500
12.2409473900	-4.8099558860	6.8350402120	12.2409473900	24.5653380500	29.4005912000
12.2978820300	-4.8343142430	6.8184306020	12.2978820300	24.5930600100	29.3993780500
12.3548166700	-4.8791611560	6.8118123150	12.3548166700	24.6109594400	29.3947064900
12.4117513100	-4.9267730250	6.8141931160	12.4117513100	24.6419062100	29.3957647800
12.4686859500	-4.9893627430	6.8065991320	12.4686859500	24.6392274800	29.3973535500
12.5256205900	-5.0247309270	6.8167226100	12.5256205900	24.6506849200	29.3990056800
12.5825552300	-5.0408000240	6.8044556010	12.5825552300	24.6522260500	29.4003254500
12.6394898700	-5.0580996390	6.8018385770	12.6394898700	24.6679364900	29.4008063900
12.6964245000	-5.0600570140	6.7935419880	12.6964245000	24.6701184200	29.4017302200
12.7533591400	-5.0680577450	6.7892573710	12.7533591400	24.6795541400	29.4019164800
12.8102937800	-5.0866104120	6.7832172410	12.8102937800	24.6790360600	29.4023870900
12.8672284200	-5.1052109720	6.7808316100	12.8672284200	24.6764177200	29.4032006800
12.9241630600	-5.1037035350	6.7540158330	12.9241630600	24.6880827500	29.4038027500
12.9810977000	-5.1097125140	6.7679283210	12.9810977000	24.6895524700	29.4041624000
13.0380323400	-5.1083222050	6.7508492740	13.0380323400	24.6913677000	29.4029372500
13.0949669800	-5.1635956500	6.7087080980	13.0949669800	24.6926092500	29.4026402800
13.1519016200	-5.1596715810	6.6963788980	13.1519016200	24.7077980400	29.4043252400
13.2088362600	-5.1530906070	6.6841227110	13.2088362600	24.6999819700	29.4032350900
13.2657709000	-5.1474337670	6.6721864750	13.2657709000	24.7045883400	29.4019685500
13.3227055300	-5.1404036940	6.6694596100	13.3227055300	24.7059490800	29.4024148900
13.3796401700	-5.1145972450	6.6380088180	13.3796401700	24.7059390900	29.4023835100
13.4365748100	-5.1000796420	6.6049287320	13.4365748100	24.6958224100	29.4014298300
13.4935094500	-5.1098663540	6.5683411870	13.4935094500	24.7175407600	29.4021837900
13.5504440900	-5.1065384960	6.5503412750	13.5504440900	24.7182358000	29.4017377700
13.6073787300	-5.1853711380	6.5415478080	13.6073787300	24.7183884100	29.4025715700
13.6643133700	-5.2269178680	6.5471579520	13.6643133700	24.7125739800	29.3997799600
13.7212480100	-5.2652649540	6.5433697320	13.7212480100	24.7091252100	29.3999803900
13.7781826500	-5.2803260900	6.5300402000	13.7781826500	24.7091944900	29.3989086900
13.8351172900	-5.2900393370	6.5009460400	13.8351172900	24.7190467900	29.3978578700
13.8920519200	-5.2567245780	6.4725557050	13.8920519200	24.7124070500	29.3980408100
13.9489865600	-5.3537333670	6.4434014450	13.9489865600	24.7247002100	29.3953635900
14.0059212000	-5.3917716790	6.4155040850	14.0059212000	24.7189910000	29.3989964700
14.0628558400	-5.4367821440	6.4108168960	14.0628558400	24.7206243300	29.3959924000
14.1197904800	-5.4350851590	6.4049088530	14.1197904800	24.7156689200	29.4002107000
14.1767251200	-5.4274523920	6.3974573500	14.1767251200	24.7132909200	29.3996557500
14.2336597600	-5.4166959740	6.3883653000	14.2336597600	24.7175254200	29.3993860200
14.2905944000	-5.3853651280	6.3657006300	14.2905944000	24.7156258500	29.3994529800
14.3475290400	-5.3986918660	6.3693310370	14.3475290400	24.7264309200	29.4017156300
14.4044636800	-5.3613209310	6.3440686400	14.4044636800	24.7391166200	29.4013006600
14.4613983100	-5.3989109960	6.3643056910	14.4613983100	24.7415702400	29.4015548300
14.5183329500	-5.3793371130	6.3491491040	14.5183329500	24.7495699400	29.3962936200
14.5752675900	-5.4210118660	6.3253724430	14.5752675900	24.7757078600	29.3977510800
14.6322022300	-5.3941269740	6.2946828310	14.6322022300	24.8185397300	29.3932495100
14.6891368700	-5.3968863610	6.2766049140	14.6891368700	24.8247485700	29.3963361000
14.7460715100	-5.4002427740	6.2756278880	14.7460715100	24.8242740400	29.3959370200
14.8030061500	-5.4140695350	6.2759605660	14.8030061500	24.8375042700	29.3962577300
14.8599407900	-5.4074096730	6.2642452300	14.8599407900	24.8375346500	29.3965292700
14.9168754300	-5.4364715690	6.2740892680	14.9168754300	24.8293792800	29.4014695000
