SOLfas2MM			SOLextMM		
t	x	y	t	x	y
3.622826304	-8.614604836	8.112857201	3.622826304	24.63103007	14.16822769
3.647811313	-8.661091139	8.111500031	3.647811313	24.62835355	14.16707038
3.672796322	-8.742210883	8.104578221	3.672796322	24.62890839	14.14705748
3.697781331	-8.801666422	8.104372815	3.697781331	24.60158798	14.13423749
3.72276634	-8.918684656	8.104040574	3.72276634	24.55459242	14.11251226
3.747751349	-8.957963749	8.094740629	3.747751349	24.53477464	14.10198165
3.772736358	-9.058275806	8.097504252	3.772736358	24.50534094	14.10276826
3.797721367	-9.143172922	8.09823201	3.797721367	24.47961458	14.10782228
3.822706376	-9.227498246	8.100605942	3.822706376	24.46442682	14.11290542
3.847691385	-9.269558629	8.101200145	3.847691385	24.4581492	14.08915582
3.872676394	-9.386830402	8.102038884	3.872676394	24.4132986	14.06496909
3.897661403	-9.427740005	8.11081783	3.897661403	24.35955098	14.07087281
3.922646412	-9.465245565	8.116363133	3.922646412	24.31735997	14.04293068
3.947631421	-9.527374249	8.116651629	3.947631421	24.30450523	14.03202214
3.97261643	-9.581113672	8.11574003	3.97261643	24.28468399	14.03473848
3.997601439	-9.688638419	8.117538423	3.997601439	24.260908	14.01865408
4.022586448	-9.787585905	8.115384001	4.022586448	24.25314528	13.99608037
4.047571457	-9.973325493	8.124486498	4.047571457	24.14925459	13.98453486
4.072556466	-10.01709862	8.130369019	4.072556466	24.12518044	13.97915736
4.097541475	-10.16870702	8.12217221	4.097541475	24.10558034	13.9622041
4.122526484	-10.24006578	8.128653188	4.122526484	24.06231964	13.97149259
4.147511493	-10.25919651	8.118811502	4.147511493	24.03469453	13.97698104
4.172496502	-10.27329877	8.115545548	4.172496502	24.04305899	13.96541641
4.197481511	-10.36570776	8.117994289	4.197481511	23.99123501	13.94899256
4.22246652	-10.37635808	8.118551126	4.22246652	23.97336155	13.95286383
4.247451529	-10.41401802	8.118050266	4.247451529	23.94611385	13.95920007
4.272436538	-10.53374544	8.114180496	4.272436538	23.89651408	13.93693322
4.297421547	-10.56106453	8.107594951	4.297421547	23.87956342	13.92692075
4.322406556	-10.61517268	8.113993318	4.322406556	23.84191724	13.93152031
4.347391565	-10.73608792	8.111739651	4.347391565	23.77181642	13.89336961
4.372376574	-10.75892083	8.114643482	4.372376574	23.74325558	13.88609691
4.397361583	-10.78788442	8.116323619	4.397361583	23.72685235	13.90179305
4.422346592	-10.85261509	8.121933518	4.422346592	23.6727321	13.88914209
4.447331601	-10.85543295	8.122767862	4.447331601	23.65662335	13.88065357
4.47231661	-10.88535176	8.117867891	4.47231661	23.6525645	13.89029899
4.497301619	-10.92768623	8.122706595	4.497301619	23.64751695	13.8928052
4.522286628	-10.94722308	8.118572186	4.522286628	23.63765493	13.87997675
4.547271637	-11.00441597	8.124064634	4.547271637	23.59664648	13.89319584
4.572256646	-11.00520579	8.12431545	4.572256646	23.58873573	13.88672944
4.597241655	-11.0155211	8.122622564	4.597241655	23.56329249	13.88399836
4.622226664	-11.02553443	8.119687177	4.622226664	23.55423974	13.88749768
4.647211673	-11.03061654	8.120745323	4.647211673	23.54006722	13.88531369
4.672196682	-11.03840845	8.117352699	4.672196682	23.52403605	13.87848649
4.697181691	-11.07646701	8.117419059	4.697181691	23.50454309	13.83097528
4.7221667	-11.16471981	8.111391412	4.7221667	23.45461632	13.8326771
4.747151709	-11.17347319	8.112831009	4.747151709	23.46057032	13.84433537
4.772136718	-11.19771719	8.115732758	4.772136718	23.44266655	13.82345168
4.797121727	-11.22459209	8.117366873	4.797121727	23.40443965	13.81535106
4.822106736	-11.20281703	8.118175827	4.822106736	23.41501413	13.82487904
4.847091745	-11.20063436	8.122738626	4.847091745	23.42854788	13.83092823
