SOLfas2BEST			SOLext					
t	x	y	t	x	y			
2.543929901	5.116782546	10.2809104	2.543929901	27.00307579	13.991995			
2.567484807	5.11157348	10.28282428	2.567484807	27.00066688	13.99102553			
2.591039714	5.05355677	10.2890767	2.591039714	26.99932287	13.99326942			
2.61459462	5.00157622	10.29110517	2.61459462	26.99904391	13.99356122			
2.638149527	4.964726566	10.29460509	2.638149527	27.00324137	13.99367094			
2.661704433	4.921140182	10.29569664	2.661704433	27.00025198	13.99718629			
2.68525934	4.875703091	10.30007648	2.68525934	26.9947958	13.99576201			
2.708814246	4.84432391	10.29613151	2.708814246	26.99428375	13.99267995			
2.732369152	4.755676569	10.30110004	2.732369152	27.00443138	13.9914714			
2.755924059	4.621164376	10.30737348	2.755924059	26.99991976	13.99072077			
2.779478965	4.596224375	10.3044363	2.779478965	27.0000962	13.98969807			
2.803033872	4.576227626	10.30755915	2.803033872	27.00405742	13.98586224			
2.826588778	4.563387944	10.30781391	2.826588778	26.99804761	13.98331857			
2.850143685	4.525747723	10.30915681	2.850143685	27.00131303	13.98485597			
2.873698591	4.461618712	10.31747866	2.873698591	26.99926014	13.98466151			
2.897253498	4.447011753	10.31669513	2.897253498	26.99751715	13.9847661			
2.920808404	4.449961721	10.31730558	2.920808404	26.9968206	13.98479798			
2.944363311	4.478083046	10.31200973	2.944363311	26.99303959	13.98486499			
2.967918217	4.505679086	10.30720287	2.967918217	26.99439515	13.98363496			
2.991473124	4.515982416	10.30547795	2.991473124	26.99449368	13.98537105			
3.01502803	4.45580791	10.30779074	3.01502803	26.99090536	13.98481403			
3.038582937	4.435443575	10.30900325	3.038582937	26.99214872	13.98385921			
3.062137843	4.397938594	10.30692553	3.062137843	26.98639914	13.9855275			
3.08569275	4.337644342	10.30836148	3.08569275	26.98528236	13.98458271			
3.109247656	4.294738013	10.31381058	3.109247656	26.98381856	13.98714771			
3.132802563	4.264218563	10.3170996	3.132802563	26.98381011	13.98520452			
3.156357469	4.236777688	10.31783856	3.156357469	26.98386254	13.9840321			
3.179912376	4.121225931	10.34680579	3.179912376	26.97812444	13.98574413			
3.203467282	4.077268342	10.3538895	3.203467282	26.97425576	13.98709364			
3.227022189	3.984914208	10.36845041	3.227022189	26.9764826	13.98495277			
3.250577095	3.918113255	10.37662901	3.250577095	26.97024035	13.985095			
