GMfasBetter			GMext		
t	x	y	t	x	y
1.3971190440	8.3373112150	2.2376166540	1.3971190440	26.3298456700	15.9869868300
1.4212073040	8.1799137570	2.2633898270	1.4212073040	26.3308859800	15.9872963900
1.4452955630	8.0244593050	2.2847693770	1.4452955630	26.3327692200	15.9868646300
1.4693838220	7.7845904120	2.3072129990	1.4693838220	26.3307977500	15.9859426700
1.4934720820	7.4289359360	2.3531226890	1.4934720820	26.3331051600	15.9852508700
1.5175603410	7.2544341740	2.3627227020	1.5175603410	26.3339923800	15.9855771600
1.5416486000	7.1736664940	2.3661600020	1.5416486000	26.3317304000	15.9863242500
1.5657368600	6.8385120720	2.4004472610	1.5657368600	26.3349332800	15.9841409200
1.5898251190	6.6883317720	2.4143459300	1.5898251190	26.3338891700	15.9843131200
1.6139133790	6.6088065100	2.4206375160	1.6139133790	26.3340592500	15.9851674800
1.6380016380	6.4366430390	2.4325203740	1.6380016380	26.3330769400	15.9854569000
1.6620898970	6.1251960230	2.4563935190	1.6620898970	26.3343259500	15.9835441800
1.6861781570	5.9877515850	2.4807303300	1.6861781570	26.3345395500	15.9845504900
1.7102664160	5.9065654280	2.4923593980	1.7102664160	26.3331329500	15.9856688600
1.7343546760	5.5774462800	2.5294858580	1.7343546760	26.3328220500	15.9846034400
1.7584429350	5.4018378680	2.5363765650	1.7584429350	26.3317876600	15.9856619900
1.7825311940	5.2354294390	2.5425305540	1.7825311940	26.3326819900	15.9853494700
1.8066194540	5.1485162400	2.5510647660	1.8066194540	26.3317431600	15.9861826400
1.8307077130	5.0037382580	2.5728321620	1.8307077130	26.3326593000	15.9861349200
1.8547959720	4.6704723930	2.6125537920	1.8547959720	26.3349972600	15.9844432900
1.8788842320	4.4970714560	2.6183260780	1.8788842320	26.3352369000	15.9852440800
1.9029724910	4.2905097870	2.6347879280	1.9029724910	26.3380821000	15.9849567000
1.9270607510	4.1425379780	2.6539377160	1.9270607510	26.3370499600	15.9850121000
1.9511490100	3.9447601070	2.6540315160	1.9511490100	26.3397527200	15.9833654200
1.9752372690	3.8364948710	2.6454006820	1.9752372690	26.3398848200	15.9836757800
1.9993255290	3.7151802580	2.6398494750	1.9993255290	26.3361646600	15.9841793600
2.0234137880	3.5952010210	2.6517313380	2.0234137880	26.3364898000	15.9853603200
2.0475020480	3.4252722560	2.6655075890	2.0475020480	26.3360767800	15.9846074100
2.0715903070	3.3078710620	2.6736856000	2.0715903070	26.3350735300	15.9849820900
2.0956785660	3.0408405770	2.7034123690	2.0956785660	26.3361175000	15.9847805200
2.1197668260	2.9890305140	2.7088279530	2.1197668260	26.3350849400	15.9861101100
2.1438550850	2.7529723700	2.7385966310	2.1438550850	26.3365368900	15.9859609800
2.1679433440	2.6551215050	2.7504819720	2.1679433440	26.3352123700	15.9872926000
2.1920316040	2.4906389680	2.7653573880	2.1920316040	26.3363151400	15.9875352700
2.2161198630	2.3654203050	2.7628365230	2.2161198630	26.3355398800	15.9875754000
2.2402081230	2.2467074640	2.7569114090	2.2402081230	26.3356597100	15.9868216900
2.2642963820	2.1422198820	2.7419887950	2.2642963820	26.3354835900	15.9866509400
2.2883846410	2.0090694610	2.7358596830	2.2883846410	26.3352158900	15.9858684200
2.3124729010	1.9516230440	2.7351468850	2.3124729010	26.3344669500	15.9867839700
2.3365611600	1.7033001320	2.7439423150	2.3365611600	26.3366153700	15.9855169900
2.3606494190	1.5641214950	2.7648869470	2.3606494190	26.3368202000	15.9857257100
2.3847376790	1.3872367140	2.7804770790	2.3847376790	26.3370486800	15.9838667600
2.4088259380	1.2549896130	2.7944442040	2.4088259380	26.3380116000	15.9835089200
2.4329141980	1.1657839210	2.8081175940	2.4329141980	26.3388762900	15.9833430800
2.4570024570	1.0870480020	2.8177812090	2.4570024570	26.3382615600	15.9837736500
2.4810907160	0.9780265241	2.8376099930	2.4810907160	26.3368240700	15.9839927100
2.5051789760	0.9254784408	2.8448893390	2.5051789760	26.3349347900	15.9855795300
2.5292672350	0.8847458520	2.8462751270	2.5292672350	26.3336768100	15.9862330700
2.5533554950	0.8623306295	2.8494862290	2.5533554950	26.3327371500	15.9870495000
2.5774437540	0.8352973862	2.8524029490	2.5774437540	26.3318681200	15.9875475700
2.6015320130	0.7078121794	2.8720303090	2.6015320130	26.3340378000	15.9872845100
2.6256202730	0.6432710400	2.8829948470	2.6256202730	26.3341157200	15.9867863500
2.6497085320	0.6011101935	2.8829657760	2.6497085320	26.3320112000	15.9879898800
2.6737967910	0.5187283381	2.8860277110	2.6737967910	26.3321615800	15.9877122400
2.6978850510	0.4247047746	2.8954446480	2.6978850510	26.3343140300	15.9879241000
2.7219733100	0.2227025302	2.9172138990	2.7219733100	26.3345252400	15.9871635400
2.7460615700	0.1880677834	2.9212000360	2.7460615700	26.3334602200	15.9874043900
2.7701498290	0.0763041431	2.9427870720	2.7701498290	26.3365579200	15.9874306500
2.7942380880	-0.0898160611	2.9799966300	2.7942380880	26.3388774000	15.9872034100
2.8183263480	-0.1818704903	2.9672874970	2.8183263480	26.3395961900	15.9870727700
2.8424146070	-0.2192825460	2.9623686490	2.8424146070	26.3365856500	15.9876991200
2.8665028670	-0.2766713240	2.9605645240	2.8665028670	26.3336802000	15.9883011800
2.8905911260	-0.3248323337	2.9592543930	2.8905911260	26.3347505700	15.9877613300
