GMfasMMM			GMext		
t	x	y	t	x	y
4.2807413680	1.8888670360	2.1838085940	4.2807413680	43.9118444000	7.4434864920
4.3042619250	1.7519152160	2.1985021530	4.3042619250	43.9107665300	7.4492712390
4.3277824820	1.5036904160	2.2464576620	4.3277824820	43.9028323900	7.4664099410
4.3513030390	1.4394521460	2.2621890470	4.3513030390	43.9024509300	7.4663009940
4.3748235960	1.2957556140	2.2809649130	4.3748235960	43.9056314300	7.4780067220
4.3983441530	1.1621157450	2.3047374130	4.3983441530	43.9051293300	7.4912715590
4.4218647100	1.0845004940	2.3179062020	4.4218647100	43.9063492800	7.4973899230
4.4453852670	0.9464411446	2.3327397890	4.4453852670	43.9038947500	7.5032798090
4.4689058240	0.8592254328	2.3402143960	4.4689058240	43.8964686200	7.5104114750
4.4924263810	0.7610300190	2.3510813060	4.4924263810	43.9030293300	7.5160941870
4.5159469380	0.7454553294	2.3514528560	4.5159469380	43.8978022500	7.5187257600
4.5394674950	0.7517097102	2.3451370170	4.5394674950	43.8990022400	7.5218692730
4.5629880520	0.7634774941	2.3514819930	4.5629880520	43.8841700400	7.5282091520
4.5865086090	0.7798344122	2.3567913110	4.5865086090	43.8761367200	7.5295940240
4.6100291650	0.7888057795	2.3520727180	4.6100291650	43.8726309300	7.5309072360
4.6335497220	0.7574906755	2.3515769120	4.6335497220	43.8639122000	7.5385434270
4.6570702790	0.7650198786	2.3514707180	4.6570702790	43.8640943000	7.5398822270
4.6805908360	0.8879959894	2.3381263750	4.6805908360	43.8491544700	7.5462610780
4.7041113930	0.8655816186	2.3432565180	4.7041113930	43.8513015500	7.5459515810
4.7276319500	0.7842343116	2.3512754990	4.7276319500	43.8597818000	7.5526192280
4.7511525070	0.7628069207	2.3518269960	4.7511525070	43.8543925700	7.5633167410
4.7746730640	0.7777402165	2.3482487740	4.7746730640	43.8535938500	7.5704275710
4.7981936210	0.7544258532	2.3485685600	4.7981936210	43.8474200800	7.5763458450
4.8217141780	0.7364621400	2.3489462890	4.8217141780	43.8472235300	7.5785978510
4.8452347350	0.6349383933	2.3607762950	4.8452347350	43.8477989300	7.5809377040
4.8687552920	0.5171681216	2.3745445000	4.8687552920	43.8464207500	7.5858346230
4.8922758490	0.4458075439	2.3842735900	4.8922758490	43.8422550800	7.5893426100
4.9157964060	0.3404749749	2.3934475660	4.9157964060	43.8333696500	7.5961910660
4.9393169630	0.3088406049	2.3967956010	4.9393169630	43.8345884900	7.5967310690
4.9628375200	0.2234827407	2.4084567020	4.9628375200	43.8352525700	7.5988021180
4.9863580770	0.0680555005	2.4234434130	4.9863580770	43.8375829500	7.6055149140
5.0098786340	0.0578636034	2.4211940870	5.0098786340	43.8395226200	7.6048567800
5.0333991910	0.0485020951	2.4064926900	5.0333991910	43.8271494600	7.6173164250
5.0569197480	0.0178041105	2.4107611970	5.0569197480	43.8267595100	7.6252025920
5.0804403050	-0.0246343611	2.4059610310	5.0804403050	43.8281667100	7.6357263520
5.1039608620	0.0047660204	2.4054177850	5.1039608620	43.8339543800	7.6434850090
5.1274814190	0.0134432665	2.4062321010	5.1274814190	43.8306397900	7.6537592330
5.1510019760	0.0064625260	2.4063004860	5.1510019760	43.8279237600	7.6547903320
5.1745225330	-0.0111364170	2.4083334840	5.1745225330	43.8156087700	7.6595660220
5.1980430900	-0.0217143157	2.4118964810	5.1980430900	43.8145594300	7.6632814470
5.2215636470	-0.0068604426	2.4122478020	5.2215636470	43.8073259700	7.6657300050
5.2450842040	0.0197615844	2.4142055540	5.2450842040	43.8046829800	7.6677299160
5.2686047610	0.0251097979	2.4115275540	5.2686047610	43.7999563000	7.6713390110
5.2921253180	0.0114073937	2.4122152710	5.2921253180	43.7961633100	7.6734690940
5.3156458740	0.0096184138	2.4091541860	5.3156458740	43.7911691800	7.6775889260
5.3391664310	0.0199975923	2.4098791060	5.3391664310	43.7913241100	7.6780736930
5.3626869880	0.0417196361	2.4075769900	5.3626869880	43.7836882500	7.6810939800
5.3862075450	0.0088989287	2.4134542330	5.3862075450	43.7768746500	7.6841099350
5.4097281020	-0.0214370352	2.4128264670	5.4097281020	43.7805473900	7.6841502270
5.4332486590	-0.0283237363	2.4149294280	5.4332486590	43.7791194700	7.6874217780
5.4567692160	-0.0110401027	2.4147305460	5.4567692160	43.7794982400	7.6865001070
5.4802897730	0.0214229073	2.4140396590	5.4802897730	43.7709740900	7.6896986880
5.5038103300	0.0101698007	2.4126437770	5.5038103300	43.7706000300	7.6907860790
5.5273308870	0.0159904139	2.4151337150	5.5273308870	43.7685281100	7.6919089620
5.5508514440	0.1335225197	2.3795731480	5.5508514440	43.7627310500	7.6922986270
5.5743720010	0.2563804207	2.3557162760	5.5743720010	43.7494919400	7.6935522750
5.5978925580	0.2900338619	2.3370940350	5.5978925580	43.7280102000	7.6968564260
5.6214131150	0.2900647436	2.3339348960	5.6214131150	43.7243885400	7.6997629330
5.6449336720	0.3184924710	2.3283289550	5.6449336720	43.7182354900	7.7020710790
5.6684542290	0.3425385782	2.3220618490	5.6684542290	43.7143156800	7.7020453870
5.6919747860	0.3681526833	2.3173890220	5.6919747860	43.7076138900	7.7050008110
5.7154953430	0.3844546629	2.3168998860	5.7154953430	43.7084450400	7.7035486360
5.7390159000	0.3820218474	2.3200548270	5.7390159000	43.7033770800	7.7073902850
5.7625364570	0.3466236703	2.3294610890	5.7625364570	43.7025903000	7.7075782230
5.7860570140	0.3176475325	2.3400829960	5.7860570140	43.7091115100	7.7056356250
5.8095775710	0.2942665140	2.3432223450	5.8095775710	43.7087174800	7.7062960440
5.8330981280	0.2933117383	2.3381197900	5.8330981280	43.7106085400	7.7096223330
5.8566186850	0.2937892200	2.3340783610	5.8566186850	43.7092291600	7.7077400060
5.8801392420	0.2966515886	2.3304303420	5.8801392420	43.7069079400	7.7082227900
5.9036597990	0.2942230871	2.3290354500	5.9036597990	43.7068618800	7.7080615520
5.9271803560	0.3268452361	2.3229782590	5.9271803560	43.7072110400	7.7103655050
5.9507009130	0.3520551357	2.3173314870	5.9507009130	43.7077784200	7.7084412940
5.9742214700	0.4670570834	2.3041936280	5.9742214700	43.7034643600	7.7110093990
5.9977420270	0.4785513936	2.3046127340	5.9977420270	43.7069450500	7.7090658190
6.0212625830	0.4777051795	2.3059063940	6.0212625830	43.7065765000	7.7096047210
6.0447831400	0.5503924875	2.2976045610	6.0447831400	43.7086619400	7.7145451770
6.0683036970	0.6026434183	2.2896532080	6.0683036970	43.7059098500	7.7149219150
6.0918242540	0.6320231154	2.2861933780	6.0918242540	43.7041707600	7.7139332090
6.1153448110	0.6283419290	2.2885321250	6.1153448110	43.7030887300	7.7146683980
6.1388653680	0.6211606689	2.2897694090	6.1388653680	43.7018719300	7.7136746300
6.1623859250	0.6346763983	2.2930650500	6.1623859250	43.7005073400	7.7132712630
6.1859064820	0.6814851785	2.2896168690	6.1859064820	43.6995238000	7.7138026540
6.2094270390	0.7115392333	2.2812983070	6.2094270390	43.6996899000	7.7165762310
6.2329475960	0.7406912136	2.2794788390	6.2329475960	43.7029411000	7.7210775570
6.2564681530	0.7516215494	2.2805531190	6.2564681530	43.7016947800	7.7256043220
6.2799887100	0.7443889820	2.2877477430	6.2799887100	43.7015486500	7.7284212400
6.3035092670	0.7508043508	2.2883725150	6.3035092670	43.7000405500	7.7344525850
6.3270298240	0.7583419643	2.2871604700	6.3270298240	43.7037000600	7.7386182450
6.3505503810	0.7507661073	2.2871093920	6.3505503810	43.7015349200	7.7411074560
6.3740709380	0.7658080260	2.2838256860	6.3740709380	43.7025272200	7.7436622820
6.3975914950	0.7635315371	2.2800555560	6.3975914950	43.7006036500	7.7461726140
6.4211120520	0.7731338933	2.2770912420	6.4211120520	43.7031384200	7.7467963710
6.4446326090	0.7936499453	2.2736830980	6.4446326090	43.7045464800	7.7479697530
6.4681531660	0.8703954447	2.2685788610	6.4681531660	43.7024121200	7.7491972080
6.4916737230	0.9170555148	2.2601483890	6.4916737230	43.6978305600	7.7509289320
6.5151942800	0.9069862697	2.2620460620	6.5151942800	43.6965748900	7.7511882910
6.5387148370	0.9013484711	2.2643586620	6.5387148370	43.6946745600	7.7530548110
6.5622353940	0.9236638185	2.2583354730	6.5622353940	43.6954803500	7.7540236140
6.5857559510	0.9908143212	2.2469741240	6.5857559510	43.6882214900	7.7559262090
6.6092765080	1.0304428500	2.2385726580	6.6092765080	43.6742136200	7.7577540090
6.6327970650	1.0344920990	2.2400761140	6.6327970650	43.6640942600	7.7596132930
6.6563176220	1.0354082990	2.2400244730	6.6563176220	43.6546955700	7.7609962710
6.6798381790	1.0483696890	2.2381074530	6.6798381790	43.6562007900	7.7615532670
6.7033587360	1.0813312550	2.2360755020	6.7033587360	43.6511122900	7.7615307490
6.7268792930	1.1345731210	2.2299096210	6.7268792930	43.6431403300	7.7629225190
6.7503998490	1.1702663110	2.2254700420	6.7503998490	43.6350958600	7.7640442710
6.7739204060	1.2485275070	2.2226264470	6.7739204060	43.6333110500	7.7648978190
6.7974409630	1.3379422420	2.2165573810	6.7974409630	43.6286565500	7.7655335030
6.8209615200	1.4632137450	2.2040501130	6.8209615200	43.6228797800	7.7652730220
6.8444820770	1.5713587690	2.1990201830	6.8444820770	43.6304468400	7.7641333850
6.8680026340	1.5991387400	2.1964327390	6.8680026340	43.6316783200	7.7634780870
6.8915231910	1.6114995870	2.2027199180	6.8915231910	43.6334232100	7.7625979410
6.9150437480	1.9134020970	2.1719259700	6.9150437480	43.6245827600	7.7628440870
6.9385643050	2.2494147300	2.1348864810	6.9385643050	43.6263961500	7.7616379460
			6.9620848620	43.6273509200	7.7584386030
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
