GFsupBEST?			GFext		
t	x	y	t	x	y
5.857648099	21.80327727	21.01564051	5.857648099	2.887669347	24.50525639
5.91290893	21.80369795	21.01670414	5.91290893	2.864402431	24.50984084
5.968169761	21.79051712	21.01350677	5.968169761	2.86339179	24.50883232
6.023430592	21.8036407	21.01266735	6.023430592	2.85306019	24.51080322
6.078691424	21.79799304	21.01359201	6.078691424	2.858616707	24.50988718
6.133952255	21.79671824	21.01139348	6.133952255	2.851441694	24.51826586
6.189213086	21.80393821	21.00984439	6.189213086	2.860282261	24.51363046
6.244473917	21.79742027	21.01638497	6.244473917	2.85297463	24.51115694
6.299734748	21.79844798	21.00760138	6.299734748	2.875108519	24.51450726
6.354995579	21.81343991	21.01163121	6.354995579	2.87912669	24.51016965
6.41025641	21.81914073	21.00430893	6.41025641	2.884826463	24.50986523
6.465517241	21.82537325	21.00583139	6.465517241	2.898062409	24.51184034
6.520778073	21.81247767	21.01101275	6.520778073	2.89604865	24.51538173
6.576038904	21.81542954	21.01308511	6.576038904	2.890542558	24.51622597
6.631299735	21.80844481	21.01532314	6.631299735	2.88456037	24.51600414
6.686560566	21.80312279	21.02030785	6.686560566	2.875982958	24.5202878
6.741821397	21.80330827	21.02191161	6.741821397	2.881384306	24.52553484
6.797082228	21.80457283	21.03157696	6.797082228	2.88072955	24.52805401
6.852343059	21.81379393	21.02813218	6.852343059	2.884893526	24.52795283
6.90760389	21.8094129	21.02257496	6.90760389	2.889741871	24.52849965
6.962864721	21.81130875	21.02138421	6.962864721	2.878868513	24.52801624
7.018125553	21.8112104	21.01951518	7.018125553	2.880061194	24.52893066
7.073386384	21.81530397	21.02179211	7.073386384	2.881863318	24.5337131
7.128647215	21.81537653	21.01895161	7.128647215	2.882016702	24.53005319
7.183908046	21.81371507	21.01652573	7.183908046	2.878589618	24.5303166
7.239168877	21.81202723	21.00774092	7.239168877	2.87555981	24.5253234
7.294429708	21.81747294	21.00734284	7.294429708	2.88791252	24.52315561
7.349690539	21.81055242	21.00277788	7.349690539	2.889122315	24.52658185
7.40495137	21.81275179	21.00771502	7.40495137	2.882655583	24.52558388
7.460212202	21.81002701	21.01036097	7.460212202	2.878569767	24.52716677
7.515473033	21.80010906	21.01512129	7.515473033	2.881110095	24.52882297
7.570733864	21.81094309	21.01868825	7.570733864	2.895992962	24.52461462
7.625994695	21.8253142	21.0290823	7.625994695	2.888699083	24.52160618
7.681255526	21.8061021	21.03095195	7.681255526	2.895682587	24.52084525
7.736516357	21.81513962	21.03266444	7.736516357	2.900906274	24.5183634
7.791777188	21.80571958	21.03212706	7.791777188	2.913544086	24.51289536
7.847038019	21.81931182	21.03485846	7.847038019	2.930165486	24.51420493
7.902298851	21.8307981	21.02967166	7.902298851	2.969125031	24.51663941
7.957559682	21.81433698	21.03243843	7.957559682	2.957961804	24.5198754
8.012820513	21.80507743	21.03012489	8.012820513	2.952829154	24.51885013
8.068081344	21.82109987	21.0296319	8.068081344	2.977198904	24.5218323
8.123342175	21.82157422	21.03637318	8.123342175	3.000904534	24.51876424
8.178603006	21.83802889	21.03659332	8.178603006	2.992346099	24.52504447
8.233863837	21.88096666	21.03925993	8.233863837	3.003847742	24.52555711
8.289124668	21.95613536	21.03770763	8.289124668	3.036452708	24.52319122
8.3443855	21.96426218	21.03437191	8.3443855	3.064213485	24.52638759
8.399646331	21.95944691	21.03248884	8.399646331	3.081965124	24.52644266
8.454907162	21.9770539	21.03099444	8.454907162	3.081781933	24.52928107
8.510167993	21.99809163	21.0235499	8.510167993	3.094362893	24.53029277
8.565428824	21.97703634	21.02763422	8.565428824	3.12115132	24.52970801
8.620689655	21.99351993	21.0231305	8.620689655	3.124133101	24.53063533
8.675950486	22.03375498	21.01580103	8.675950486	3.111128307	24.53081734
8.731211317	22.01158738	21.01088205	8.731211317	3.141015595	24.5254567
8.786472149	21.99579528	21.01321069	8.786472149	3.219768068	24.52432534
8.84173298	22.05680013	21.01488459	8.84173298	3.21083362	24.52281853
8.896993811	22.00884991	21.01328043	8.896993811	3.218164532	24.5253901
