GMfas1MMM			GMextMMM		
t	x	y	t	x	y
2.7682321500	12.7547365700	3.2864272620	2.7682321500	46.1306337500	8.7652181220
2.7920962200	12.7238666700	3.2960103140	2.7920962200	46.1299466000	8.7644500190
2.8159602900	12.6743495100	3.3104436990	2.8159602900	46.1294205700	8.7654781850
2.8398243600	12.6685139900	3.3175654130	2.8398243600	46.1332496000	8.7638220120
2.8636884310	12.6866251000	3.3201786990	2.8636884310	46.1337671700	8.7651228560
2.8875525010	12.5740487400	3.3530228120	2.8875525010	46.1317833400	8.7662452560
2.9114165710	12.5336505800	3.3529087160	2.9114165710	46.1294114300	8.7681285960
2.9352806410	12.4355671800	3.3688991870	2.9352806410	46.1238649900	8.7728744220
2.9591447120	12.3066671700	3.3936462910	2.9591447120	46.1082954400	8.7879228910
2.9830087820	12.2575748400	3.4009179100	2.9830087820	46.0979512900	8.7774551100
3.0068728520	12.1480379700	3.4195992210	3.0068728520	46.0821934600	8.7819445220
3.0307369220	11.9273138600	3.4630783230	3.0307369220	46.0799409500	8.7836101630
3.0546009930	11.8006679700	3.4848331860	3.0546009930	46.0644348100	8.7907362740
3.0784650630	11.7503573200	3.4923002420	3.0784650630	46.0587840800	8.7937226560
3.1023291330	11.5689564400	3.5290304770	3.1023291330	46.0593619100	8.7976258320
3.1261932040	11.4464624400	3.5508672570	3.1261932040	46.1521407300	8.8180497940
3.1500572740	11.4110813500	3.5524826810	3.1500572740	46.1517488600	8.8213385310
3.1739213440	11.3254718300	3.5642303880	3.1739213440	46.1531275200	8.8241157450
3.1977854140	11.2284661600	3.5800956230	3.1977854140	46.1468807900	8.8302323480
3.2216494850	10.9326073700	3.6249179410	3.2216494850	46.1472511500	8.8330967470
3.2455135550	10.8658942000	3.6481679120	3.2455135550	46.1393252300	8.8386959770
3.2693776250	10.7270700400	3.6963047720	3.2693776250	46.1291016500	8.8467399180
3.2932416950	10.5797652000	3.7069634420	3.2932416950	46.1228093200	8.8500043410
3.3171057660	10.5249178200	3.7071065060	3.3171057660	46.1268857400	8.8484947110
3.3409698360	10.3944564000	3.7212644800	3.3409698360	46.1249463200	8.8500879890
3.3648339060	10.2715109800	3.7381749410	3.3648339060	46.1047037100	8.8461821200
3.3886979760	10.2130001800	3.7380043280	3.3886979760	46.0971960000	8.8500225230
3.4125620470	10.0889343400	3.7754254870	3.4125620470	46.0981545700	8.8498643150
3.4364261170	9.9696565000	3.8037198790	3.4364261170	46.0914251300	8.8523660460
3.4602901870	9.7415050700	3.8206784530	3.4602901870	46.0906718600	8.8521606850
3.4841542570	9.7809948460	3.7926785100	3.4841542570	46.0934084300	8.8506700360
3.5080183280	9.5328019910	3.8150684380	3.5080183280	46.0864418600	8.8568109510
3.5318823980	9.4020410220	3.8387407820	3.5318823980	46.0777400500	8.8649712650
3.5557464680	9.3203484880	3.8677855410	3.5557464680	46.0853340700	8.8592874840
3.5796105380	9.2364574690	3.8980525780	3.5796105380	46.0830024900	8.8631946610
3.6034746090	9.1202837410	3.9478652810	3.6034746090	46.0801198900	8.8665283370
3.6273386790	9.1163388890	3.9581630190	3.6273386790	46.0825613800	8.8648815310
3.6512027490	9.0084008820	3.9712808310	3.6512027490	46.0765672300	8.8723293910
3.6750668190	8.9283711750	3.9824493040	3.6750668190	46.0758117400	8.8728341830
3.6989308900	8.8586048000	4.0120249130	3.6989308900	46.0764211200	8.8747789470
3.7227949600	8.8098065450	4.0324320240	3.7227949600	46.0761365700	8.8767988920
3.7466590300	8.7533590370	4.0327800240	3.7466590300	46.0769757400	8.8767281480
3.7705231000	8.7439585030	4.0330487880	3.7705231000	46.0764433700	8.8777346910
3.7943871710	8.7330194620	4.0414621010	3.7943871710	46.0800073100	8.8780674700
3.8182512410	8.6629810790	4.0481288290	3.8182512410	46.0800838700	8.8807649580
3.8421153110	8.5998437960	4.0552319840	3.8421153110	46.0790941700	8.8814038360
3.8659793810	8.5231314060	4.0725367150	3.8659793810	46.0790041500	8.8834948680
