GMfasMMM			GMext		
t	x	y	t	x	y
1.0861761080	26.2734512800	0.5884665930	1.0861761080	46.9798394300	13.2347464200
1.1045858720	26.3088173700	0.5886309073	1.1045858720	46.9793438400	13.2344427500
1.1229956370	26.3354996500	0.5897142419	1.1229956370	46.9791104300	13.2338776200
1.1414054010	26.3539934900	0.5878738893	1.1414054010	46.9782869100	13.2333371600
1.1598151660	26.3813586200	0.5899845545	1.1598151660	46.9798238300	13.2332940400
1.1782249310	26.3973096900	0.5945873348	1.1782249310	46.9789384600	13.2334296600
1.1966346950	26.4191546400	0.5944552014	1.1966346950	46.9791902700	13.2332217700
1.2150444600	26.4545123600	0.5938141524	1.2150444600	46.9782893000	13.2325927700
1.2334542240	26.4592710800	0.5903305283	1.2334542240	46.9796825700	13.2343010000
1.2518639890	26.4706650900	0.5901397380	1.2518639890	46.9790251100	13.2329768500
1.2702737530	26.4743153900	0.5878222323	1.2702737530	46.9791803500	13.2332986500
1.2886835180	26.4739233000	0.5866362569	1.2886835180	46.9798260600	13.2328880900
1.3070932820	26.4759255200	0.5828404852	1.3070932820	46.9774656800	13.2311628400
1.3255030470	26.4736540300	0.5799548520	1.3255030470	46.9791257900	13.2323221500
1.3439128110	26.4620596500	0.5741173239	1.3439128110	46.9774792100	13.2319296700
1.3623225760	26.3277950300	0.5842778738	1.3623225760	46.9774110000	13.2330994800
1.3807323400	25.9926163200	0.6224954220	1.3807323400	46.9772045900	13.2356926000
1.3991421050	25.5369423100	0.6652535635	1.3991421050	46.9776809600	13.2382999800
1.4175518700	25.2553274200	0.6864695335	1.4175518700	46.9772621600	13.2395703700
1.4359616340	24.8128028400	0.7323081286	1.4359616340	46.9782908700	13.2409903200
1.4543713990	24.4332929300	0.7522702039	1.4543713990	46.9795615300	13.2424672300
1.4727811630	24.0967417300	0.7523457332	1.4727811630	46.9793707200	13.2432817000
1.4911909280	23.9059490800	0.7628651786	1.4911909280	46.9795864800	13.2444437600
1.5096006920	23.6238130400	0.7694807232	1.5096006920	46.9794199700	13.2446284500
1.5280104570	23.1445593500	0.7891968610	1.5280104570	46.9782199200	13.2448926300
1.5464202210	22.7008350200	0.8229977159	1.5464202210	46.9778373200	13.2456020600
