 CALbump 			 CALext 		
 t 	 x 	 y 	 t 	 x 	 y 
 2.82798015 	 13.91895498 	 10.55432411 	 2.82798015 	 -15.32617005 	 13.54332801 
 2.84670849 	 13.92035862 	 10.55447826 	 2.84670849 	 -15.32454715 	 13.54493413 
 2.86543684 	 13.93730802 	 10.55236593 	 2.86543684 	 -15.32014594 	 13.54443125 
 2.88416518 	 13.94708879 	 10.55248214 	 2.88416518 	 -15.32084561 	 13.54237151 
 2.90289353 	 13.94237021 	 10.55319732 	 2.90289353 	 -15.32337329 	 13.54241763 
 2.92162188 	 13.94446373 	 10.55334036 	 2.92162188 	 -15.32355380 	 13.54361280 
 2.94035022 	 13.94818950 	 10.55266635 	 2.94035022 	 -15.32087562 	 13.54239396 
 2.95907857 	 13.94787763 	 10.55260891 	 2.95907857 	 -15.31420649 	 13.54211126 
 2.97780691 	 13.94521030 	 10.55244354 	 2.97780691 	 -15.32529806 	 13.53805776 
 2.99653526 	 13.95306393 	 10.55201790 	 2.99653526 	 -15.31789152 	 13.53818537 
 3.01526360 	 13.96651427 	 10.55029031 	 3.01526360 	 -15.31430508 	 13.53979070 
 3.03399195 	 13.97170994 	 10.55031122 	 3.03399195 	 -15.31015689 	 13.54125645 
 3.05272029 	 13.94942566 	 10.55146969 	 3.05272029 	 -15.31574539 	 13.54348522 
 3.07144864 	 13.94745652 	 10.55180508 	 3.07144864 	 -15.32031509 	 13.54543077 
 3.09017698 	 13.94906195 	 10.55165912 	 3.09017698 	 -15.31564216 	 13.55305387 
 3.10890533 	 13.95452124 	 10.55104546 	 3.10890533 	 -15.30397426 	 13.56127738 
 3.12763367 	 13.95433034 	 10.55150372 	 3.12763367 	 -15.29051547 	 13.55610340 
 3.14636202 	 13.95466649 	 10.55159203 	 3.14636202 	 -15.28199210 	 13.55611246 
 3.16509036 	 13.95500036 	 10.55193028 	 3.16509036 	 -15.27414455 	 13.55931431 
 3.18381871 	 13.95372883 	 10.55179329 	 3.18381871 	 -15.27459265 	 13.56433633 
 3.20254706 	 13.94718842 	 10.55235643 	 3.20254706 	 -15.27228445 	 13.57113545 
 3.22127540 	 13.94632473 	 10.55253340 	 3.22127540 	 -15.27339179 	 13.56841710 
 3.24000375 	 13.93832090 	 10.55258983 	 3.24000375 	 -15.28697803 	 13.56981319 
 3.25873209 	 13.93521772 	 10.55477988 	 3.25873209 	 -15.28139898 	 13.56501695 
 3.27746044 	 13.93721336 	 10.55212782 	 3.27746044 	 -15.26917212 	 13.56017289 
 3.29618878 	 13.94194583 	 10.55279587 	 3.29618878 	 -15.27034542 	 13.55868119 
 3.31491713 	 13.94683597 	 10.55334333 	 3.31491713 	 -15.26731081 	 13.55911305 
 3.33364547 	 13.95277264 	 10.55206404 	 3.33364547 	 -15.26663915 	 13.56213882 
 3.35237382 	 13.94664957 	 10.55263427 	 3.35237382 	 -15.27429704 	 13.56446690 
 3.37110216 	 13.93173377 	 10.55459427 	 3.37110216 	 -15.27128233 	 13.55861216 
 3.38983051 	 13.93748793 	 10.55255539 	 3.38983051 	 -15.26868892 	 13.55142069 
 3.40855885 	 13.94562830 	 10.55364523 	 3.40855885 	 -15.26103010 	 13.54649961 
 3.42728720 	 13.95638331 	 10.55312811 	 3.42728720 	 -15.25296070 	 13.54472881 
 3.44601555 	 13.96298209 	 10.55249926 	 3.44601555 	 -15.24793475 	 13.54213812 
 3.46474389 	 13.95778299 	 10.55263397 	 3.46474389 	 -15.24844568 	 13.54183292 
 3.48347224 	 13.94447318 	 10.55385377 	 3.48347224 	 -15.25662242 	 13.54108757 
 3.50220058 	 13.93645694 	 10.55333241 	 3.50220058 	 -15.25661026 	 13.54185204 
 3.52092893 	 13.91415446 	 10.55268438 	 3.52092893 	 -15.25572155 	 13.53902055 
 3.53965727 	 13.82934532 	 10.54956540 	 3.53965727 	 -15.25904074 	 13.53601334 
 3.55838562 	 13.80336996 	 10.55142022 	 3.55838562 	 -15.25232596 	 13.53752919 
 3.57711396 	 13.81347340 	 10.54905047 	 3.57711396 	 -15.24342130 	 13.53808588 
 3.59584231 	 13.81416431 	 10.54865702 	 3.59584231 	 -15.24372444 	 13.54017764 
 3.61457065 	 13.80123969 	 10.54942432 	 3.61457065 	 -15.23948251 	 13.54548819 
 3.63329900 	 13.77570814 	 10.55165629 	 3.63329900 	 -15.24230281 	 13.54536233 
 3.65202734 	 13.78915082 	 10.55250264 	 3.65202734 	 -15.22618690 	 13.55248427 
 3.67075569 	 13.80800539 	 10.55197808 	 3.67075569 	 -15.20764669 	 13.56269134 
 3.68948403 	 13.80876732 	 10.55197414 	 3.68948403 	 -15.19289020 	 13.55580587 
 3.70821238 	 13.79156964 	 10.55375624 	 3.70821238 	 -15.19158965 	 13.54550136 
 3.72694073 	 13.73979589 	 10.55271567 	 3.72694073 	 -15.18987687 	 13.53717422 
 3.74566907 	 13.77524217 	 10.55508534 	 3.74566907 	 -15.17259007 	 13.56286912 
 3.76439742 	 13.79176595 	 10.55456046 	 3.76439742 	 -15.16108770 	 13.57841936 
 3.78312576 	 13.79074659 	 10.55396169 	 3.78312576 	 -15.15426674 	 13.58781643 
 3.80185411 	 13.70142755 	 10.55266470 	 3.80185411 	 -15.17687397 	 13.55765772 
 3.82058245 	 13.66903414 	 10.55156092 	 3.82058245 	 -15.17659716 	 13.55030281 
 3.83931080 	 13.65600805 	 10.55333529 	 3.83931080 	 -15.18160102 	 13.55512937 
 3.85803914 	 13.64856000 	 10.55399763 	 3.85803914 	 -15.18416240 	 13.55000048 
 3.87676749 	 13.64734189 	 10.55371438 	 3.87676749 	 -15.17684164 	 13.54809430 
 3.89549583 	 13.64387633 	 10.55394390 	 3.89549583 	 -15.18341223 	 13.54960697 
 3.91422418 	 13.63531544 	 10.55550308 	 3.91422418 	 -15.18094956 	 13.54831483 
 3.93295252 	 13.65513327 	 10.55205519 	 3.93295252 	 -15.15904880 	 13.55450679 
 3.95168087 	 13.65730877 	 10.55165201 	 3.95168087 	 -15.16430864 	 13.55944879 
 3.97040921 	 13.65241442 	 10.55248624 	 3.97040921 	 -15.16371497 	 13.55536600 
 3.98913756 	 13.65157591 	 10.55177463 	 3.98913756 	 -15.14627871 	 13.56061899 
 4.00786591 	 13.65672866 	 10.55079165 	 4.00786591 	 -15.14002479 	 13.56504265 
 4.02659425 	 13.64988934 	 10.55137614 	 4.02659425 	 -15.12694305 	 13.56199001 
 4.04532260 	 13.64892814 	 10.55159708 	 4.04532260 	 -15.12685622 	 13.56159619 
 4.06405094 	 13.65057717 	 10.55129043 	 4.06405094 	 -15.12237089 	 13.56000221 
 4.08277929 	 13.66741624 	 10.54738024 	 4.08277929 	 -15.11821938 	 13.57083377 
 4.10150763 	 13.66237869 	 10.54864930 	 4.10150763 	 -15.09929699 	 13.57749335 
 4.12023598 	 13.65056199 	 10.55010893 	 4.12023598 	 -15.11043808 	 13.57985148 
 4.13896432 	 13.65043138 	 10.55007100 	 4.13896432 	 -15.10831342 	 13.57839297 
 4.15769267 	 13.65175814 	 10.55069818 	 4.15769267 	 -15.10635414 	 13.58055921 
 4.17642101 	 13.64801484 	 10.55197264 	 4.17642101 	 -15.11229800 	 13.58592794 
 4.19514936 	 13.64636516 	 10.55229358 	 4.19514936 	 -15.12113044 	 13.56874752 
 4.21387770 	 13.65071229 	 10.54973479 	 4.21387770 	 -15.12012823 	 13.56400308 
 4.23260605 	 13.63221597 	 10.55124622 	 4.23260605 	 -15.11423344 	 13.55814908 
 4.25133440 	 13.63169198 	 10.55192574 	 4.25133440 	 -15.11182223 	 13.55720293 
 4.27006274 	 13.65074838 	 10.55176864 	 4.27006274 	 -15.11180954 	 13.56486129 
 4.28879109 	 13.65937207 	 10.55190970 	 4.28879109 	 -15.10645376 	 13.56146556 
 4.30751943 	 13.65693024 	 10.55263205 	 4.30751943 	 -15.10890671 	 13.55931148 
 4.32624778 	 13.65078680 	 10.55290725 	 4.32624778 	 -15.11249621 	 13.56028433 
 4.34497612 	 13.64649924 	 10.55305694 	 4.34497612 	 -15.11103587 	 13.55608418 
 4.36370447 	 13.64719897 	 10.55288999 	 4.36370447 	 -15.10450813 	 13.56190128 
 4.38243281 	 13.64740756 	 10.55300418 	 4.38243281 	 -15.09890115 	 13.55671841 
 4.40116116 	 13.64845319 	 10.55309148 	 4.40116116 	 -15.10372354 	 13.55480732 
 4.41988950 	 13.64783876 	 10.55198309 	 4.41988950 	 -15.10614193 	 13.55558982 
 4.43861785 	 13.63464202 	 10.55201679 	 4.43861785 	 -15.10640072 	 13.55545146 
 4.45734619 	 13.61351700 	 10.54820212 	 4.45734619 	 -15.10088844 	 13.55013825 
