GMfasBEST			GMextMMM		
t	x	y	t	x	y
2.9957776050	10.5711203400	3.1079702360	2.9957776050	45.8647035000	12.9271899800
3.0193664050	10.5153862000	3.1171414410	3.0193664050	45.8619840700	12.9344222700
3.0429552050	10.2656039700	3.1550198940	3.0429552050	45.8262049800	12.9607425900
3.0665440050	10.1808768300	3.1577052770	3.0665440050	45.8050454700	12.9627889800
3.0901328050	10.0950377800	3.1651307850	3.0901328050	45.7895462500	12.9704354200
3.1137216050	9.8365180120	3.1699607720	3.1137216050	45.8339214100	13.0150889200
3.1373104050	9.6654633060	3.1929730040	3.1373104050	45.8279765800	13.0263493900
3.1608992050	9.5345122910	3.1954585030	3.1608992050	45.8057785700	13.0352320500
3.1844880050	9.3767956610	3.2102616920	3.1844880050	45.7633329600	13.0519293300
3.2080768050	9.3165425990	3.2152086760	3.2080768050	45.7489743000	13.0449000300
3.2316656050	9.2420350210	3.2175954700	3.2316656050	45.7234729500	13.0508247800
3.2552544050	9.1920846510	3.2278957600	3.2552544050	45.7148846100	13.0528805300
3.2788432050	9.1319251160	3.2325595440	3.2788432050	45.7008483700	13.0597472600
3.3024320050	9.1283453590	3.2311498310	3.3024320050	45.6934510100	13.0635822000
3.3260208050	9.1478152820	3.2246953870	3.3260208050	45.6867911400	13.0648237200
3.3496096050	9.1562937830	3.2315365940	3.3496096050	45.6860651400	13.0649182100
3.3731984050	9.1529004750	3.2345970140	3.3731984050	45.6878021800	13.0632761500
3.3967872050	9.0816604350	3.2404885710	3.3967872050	45.6740256700	13.0628232000
3.4203760050	9.0184416090	3.2314864710	3.4203760050	45.6352627400	13.0817613900
3.4439648060	8.9754143310	3.2485821640	3.4439648060	45.6982712500	13.0960088600
3.4675536060	8.9645169090	3.2531704240	3.4675536060	45.6969938000	13.1019103500
3.4911424060	8.9301477120	3.2619473800	3.4911424060	45.6908242000	13.1121813600
3.5147312060	8.9182654790	3.2642512410	3.5147312060	45.6945123800	13.1117574300
3.5383200060	8.9256860710	3.2662742030	3.5383200060	45.6953094500	13.1124734500
3.5619088060	8.9077884190	3.2751532280	3.5619088060	45.6863230400	13.1197265200
3.5854976060	8.8649366070	3.2784944180	3.5854976060	45.6617026800	13.1232835200
3.6090864060	8.9449986540	3.2776325030	3.6090864060	45.6618503700	13.1205511100
3.6326752060	8.8862874410	3.2826593740	3.6326752060	45.6422549800	13.1278481000
3.6562640060	8.8176369200	3.2946780820	3.6562640060	45.6206867300	13.1345841200
3.6798528060	8.6487607940	3.3331862460	3.6798528060	45.6010709100	13.1329583200
3.7034416060	8.5359465040	3.3340591270	3.7034416060	45.5721288700	13.1411677500
3.7270304060	8.4931736530	3.3372692750	3.7270304060	45.5609423100	13.1461835500
3.7506192060	8.4367357060	3.3429622130	3.7506192060	45.5493685300	13.1512394600
3.7742080060	8.2589560370	3.3508898750	3.7742080060	45.5281103900	13.1504329400
3.7977968060	8.2324830750	3.3544242550	3.7977968060	45.5311053400	13.1503574900
3.8213856060	8.2180595710	3.3597287950	3.8213856060	45.5175947400	13.1590565000
3.8449744060	8.2780530940	3.3670718910	3.8449744060	45.5170849800	13.1590706300
3.8685632060	8.1854325870	3.3772281510	3.8685632060	45.5521743100	13.1893904000
