cm_A			cmCALext		
2.444113264	19.55087736	6.425976055	2.444113264	0.1457432668	14.64079795
2.503725782	19.54186778	6.425838047	2.503725782	0.1520216262	14.63946329
2.563338301	19.55286416	6.428087692	2.563338301	0.1454132413	14.64082624
2.62295082	19.56461092	6.432176277	2.62295082	0.1519662313	14.63997882
2.682563338	19.56689206	6.434077217	2.682563338	0.1506235031	14.63967505
2.742175857	19.56783528	6.434310372	2.742175857	0.1508507042	14.64047537
2.801788376	19.56816228	6.434759249	2.801788376	0.1488355543	14.63976976
2.861400894	19.57158183	6.436641491	2.861400894	0.1503443441	14.63959736
2.921013413	19.57500291	6.433916254	2.921013413	0.1504410679	14.63918789
2.980625931	19.5771498	6.435631455	2.980625931	0.1498486744	14.63986847
3.04023845	19.58380091	6.451460519	3.04023845	0.1497059792	14.63926041
3.099850969	19.63500478	6.454473212	3.099850969	0.1515230856	14.63956813
3.159463487	19.65500662	6.459574281	3.159463487	0.1522886211	14.63939199
3.219076006	19.7064663	6.460069409	3.219076006	0.1509810383	14.63899962
3.278688525	19.71350286	6.46490339	3.278688525	0.1502844597	14.63886272
3.338301043	19.69565974	6.472249116	3.338301043	0.1451903141	14.63976743
3.397913562	19.69762124	6.481621175	3.397913562	0.1489083786	14.63950799
3.45752608	19.69557265	6.485836223	3.45752608	0.1494421965	14.63944573
3.517138599	19.69785665	6.486595355	3.517138599	0.1503378554	14.63949905
3.576751118	19.70147071	6.489171058	3.576751118	0.15139645	14.63879403
3.636363636	19.70558382	6.491307039	3.636363636	0.1537415753	14.63829938
3.695976155	19.71420117	6.492814459	3.695976155	0.15354143	14.5809795
3.755588674	19.7368272	6.497774997	3.755588674	0.1525780338	14.63891476
3.815201192	19.74381074	6.500728289	3.815201192	0.1541359696	14.63917585
3.874813711	19.7346152	6.500621528	3.874813711	0.1530924405	14.63953638
3.93442623	19.70599345	6.491834228	3.93442623	0.1533035733	14.64013852
3.994038748	19.68958707	6.49059303	3.994038748	0.1505013497	14.64018674
4.053651267	19.64483571	6.492768692	4.053651267	0.1528199117	14.63963693
4.113263785	19.61345877	6.493893447	4.113263785	0.1532169895	14.64026312
4.172876304	19.5924777	6.491180034	4.172876304	0.1530021081	14.64017973
4.232488823	19.5969632	6.489141876	4.232488823	0.1524433529	14.64018719
4.292101341	19.62402771	6.490433622	4.292101341	0.1546037681	14.64027772
4.35171386	19.63030131	6.486799341	4.35171386	0.1545161125	14.63993172
4.411326379	19.64625363	6.487484459	4.411326379	0.153817132	14.64009269
4.470938897	19.65136608	6.488142514	4.470938897	0.1542743666	14.63983424
4.530551416	19.66589565	6.488888169	4.530551416	0.1536425815	14.64039113
4.590163934	19.67460385	6.487313945	4.590163934	0.154542197	14.63985187
4.649776453	19.69182074	6.490128306	4.649776453	0.1541759309	14.64005283
4.709388972	19.71282454	6.48800051	4.709388972	0.155068568	14.64021037
4.76900149	19.72808452	6.488678433	4.76900149	0.1549507213	14.64009154
4.828614009	19.7320357	6.490661223	4.828614009	0.1568236475	14.64022874
4.888226528	19.7071931	6.487278391	4.888226528	0.1570211911	14.64043573
4.947839046	19.6665944	6.484964091	4.947839046	0.1555122109	14.64091688
5.007451565	19.66334394	6.480031511	5.007451565	0.1556963372	14.64066354
5.067064083	19.68500431	6.480617849	5.067064083	0.1562228576	14.64110731
5.126676602	19.73334471	6.480391586	5.126676602	0.1556326106	14.64088086
5.186289121	19.75467058	6.484919712	5.186289121	0.1578572402	14.641024
5.245901639	19.78590824	6.489057912	5.245901639	0.1559291176	14.64107887
