CALins			CALext		
t	x	y	t	x	y
2.682563338	24.04086208	6.973499117	2.682563338000	-2.252905547000	14.668032630000
2.742175857	24.04830684	6.971315499	2.742175857000	-2.310152520000	14.663644630000
2.801788376	24.04147444	6.96802174	2.801788376000	-2.315630029000	14.667710400000
2.861400894	24.05165594	6.976035704	2.861400894000	-2.328713694000	14.668374380000
2.921013413	24.05620328	6.979919092	2.921013413000	-2.330795275000	14.668917100000
2.980625931	24.0690984	6.988128174	2.980625931000	-2.340692931000	14.668329920000
3.04023845	24.06814719	6.995340064	3.040238450000	-2.333379767000	14.668675880000
3.099850969	24.07575186	7.003907025	3.099850969000	-2.329563308000	14.668611090000
3.159463487	24.07343336	6.997582172	3.159463487000	-2.329523823000	14.668964730000
3.219076006	24.06562076	6.992370029	3.219076006000	-2.341125610000	14.667701870000
3.278688525	24.06488963	6.980810592	3.278688525000	-2.353727285000	14.668871680000
3.338301043	24.04886362	6.973044338	3.338301043000	-2.424986757000	14.675581180000
3.397913562	24.04048505	6.95631589	3.397913562000	-2.480554184000	14.689332480000
3.45752608	24.04252909	6.927860874	3.457526080000	-2.499727099000	14.698267750000
3.517138599	24.04685778	6.918249329	3.517138599000	-2.501884788000	14.701459000000
3.576751118	24.0557696	6.932771227	3.576751118000	-2.487082911000	14.693109330000
3.636363636	24.06231274	6.934923391	3.636363636000	-2.491938875000	14.697479710000
3.695976155	24.06340797	6.92931454	3.695976155000	-2.491368807000	14.696250710000
3.755588674	24.06388234	6.923577212	3.755588674000	-2.495156424000	14.702956660000
3.815201192	24.06374002	6.922332459	3.815201192000	-2.488935331000	14.694851130000
3.874813711	24.06200686	6.923708219	3.874813711000	-2.491977226000	14.697888440000
3.93442623	24.05935281	6.912589697	3.934426230000	-2.491985338000	14.695165820000
3.994038748	24.05738293	6.910690734	3.994038748000	-2.488550389000	14.693592660000
4.053651267	24.05650007	6.910628877	4.053651267000	-2.488750241000	14.689445950000
4.113263785	24.06297588	6.916779464	4.113263785000	-2.481060618000	14.690869840000
4.172876304	24.07010844	6.921126126	4.172876304000	-2.483656992000	14.689717820000
4.232488823	24.071219	6.920882681	4.232488823000	-2.483114539000	14.690150560000
4.292101341	24.05066267	6.904030447	4.292101341000	-2.489836747000	14.694881320000
4.35171386	24.04476118	6.900183401	4.351713860000	-2.485276195000	14.692567020000
4.411326379	24.04602428	6.902576795	4.411326379000	-2.491154143000	14.688993510000
4.470938897	24.04770103	6.901100317	4.470938897000	-2.489071559000	14.689811200000
4.530551416	24.05385926	6.903703313	4.530551416000	-2.491142966000	14.693437030000
4.590163934	24.05266082	6.908232518	4.590163934000	-2.485567848000	14.686533250000
4.649776453	24.04819792	6.914002442	4.649776453000	-2.486084647000	14.689701790000
4.709388972	24.03980837	6.909209574	4.709388972000	-2.487652502000	14.688509410000
4.76900149	24.04198216	6.906313528	4.769001490000	-2.481574152000	14.685497240000
4.828614009	24.03554956	6.912428526	4.828614009000	-2.487010803000	14.685678300000
4.888226528	24.03291908	6.919179449	4.888226528000	-2.476489913000	14.690303420000
4.947839046	24.0346064	6.915633908	4.947839046000	-2.477983335000	14.688510090000
5.007451565	24.03183328	6.924129596	5.007451565000	-2.481019494000	14.688279020000
5.067064083	24.01847121	6.943815108	5.067064083000	-2.481203096000	14.689300580000
5.126676602	24.02081002	6.95395198	5.126676602000	-2.482197385000	14.688616010000
5.186289121	24.02352318	6.961879435	5.186289121000	-2.479613216000	14.688979020000
5.245901639	24.01391776	6.964829021	5.245901639000	-2.479347442000	14.690534980000
5.305514158	24.00559798	6.957177792	5.305514158000	-2.472159919000	14.684446170000
5.365126677	24.00998084	6.957893617	5.365126677000	-2.477003135000	14.687928880000
5.424739195	23.99398519	6.964040186	5.424739195000	-2.474801922000	14.689824280000
5.484351714	23.97136684	6.966289016	5.484351714000	-2.473782737000	14.688264860000
5.543964232	23.96227192	6.969354585	5.543964232000	-2.467811019000	14.687788210000
5.603576751	23.95752482	6.974976015	5.603576751000	-2.470576092000	14.687657440000
5.66318927	23.93476778	6.973196384	5.663189270000	-2.470778672000	14.693330940000
5.722801788	23.92100557	6.971498683	5.722801788000	-2.466025992000	14.684517010000
5.782414307	23.89514943	6.971755034	5.782414307000	-2.463601030000	14.682780740000
5.842026826	23.87137373	6.968068829	5.842026826000	-2.463746492000	14.681026880000
5.901639344	23.8622444	6.973230377	5.901639344000	-2.472568439000	14.683202140000
