SOLendBESTmatchedpost			SOLext		
t	x	y	t	x	y
2.521518219	15.01168753	7.944389434	2.521518219	26.14004451	12.72720311
2.540477003	14.93080676	7.946729186	2.540477003	26.11269243	12.72468778
2.559435787	14.89644178	7.947805862	2.559435787	26.12485382	12.71892204
2.57839457	14.89902615	7.94318846	2.57839457	26.12878584	12.71930108
2.597353354	14.87844019	7.941811567	2.597353354	26.14964091	12.71884707
2.616312137	14.86455705	7.944843421	2.616312137	26.15685601	12.71860552
2.635270921	14.83803629	7.948327963	2.635270921	26.16868086	12.71699545
2.654229705	14.77798536	7.94658103	2.654229705	26.18017137	12.71495561
2.673188488	14.73105503	7.94874237	2.673188488	26.1627422	12.7102505
2.692147272	14.72790136	7.948101653	2.692147272	26.15464306	12.71304838
2.711106055	14.71255534	7.948086906	2.711106055	26.15186296	12.71170895
2.730064839	14.71998465	7.95132567	2.730064839	26.14439354	12.7125008
2.749023623	14.73184135	7.95090789	2.749023623	26.1345043	12.71013259
2.767982406	14.73857601	7.954777547	2.767982406	26.1276868	12.70982056
2.78694119	14.60587705	7.959079434	2.78694119	26.15504858	12.69310545
2.805899973	14.57956373	7.955005121	2.805899973	26.15987419	12.68101759
2.824858757	14.49157605	7.958044432	2.824858757	26.14814439	12.67449591
2.843817541	14.40984062	7.957918343	2.843817541	26.14490262	12.67493006
2.862776324	14.32489465	7.956036864	2.862776324	26.15861379	12.6694936
2.881735108	14.27127599	7.958731359	2.881735108	26.17590151	12.66425486
2.900693891	14.26045828	7.959302051	2.900693891	26.17143675	12.66605161
2.919652675	14.21458991	7.964759942	2.919652675	26.16829322	12.67044977
2.938611459	14.18066799	7.974713065	2.938611459	26.1595904	12.6754599
2.957570242	14.13378902	7.980041532	2.957570242	26.14485561	12.67149087
2.976529026	14.12191936	7.975364473	2.976529026	26.13959573	12.67076068
2.99548781	14.11510788	7.97030769	2.99548781	26.13296231	12.66480199
3.014446593	14.1198103	7.965445554	3.014446593	26.12963088	12.66101386
3.033405377	14.09626342	7.966000791	3.033405377	26.12801174	12.65975097
3.05236416	14.07407253	7.963913286	3.05236416	26.13195271	12.65877383
3.071322944	14.04057936	7.966349555	3.071322944	26.13898132	12.66305043
3.090281728	14.016281	7.968436515	3.090281728	26.14815098	12.65989124
3.109240511	13.95775888	7.971916357	3.109240511	26.14502419	12.65636993
3.128199295	13.87159691	7.974588477	3.128199295	26.14549628	12.65781311
3.147158078	13.83762482	7.970780674	3.147158078	26.14624706	12.656664
3.166116862	13.79614169	7.965202935	3.166116862	26.1426733	12.65869312
3.185075646	13.74098502	7.969634056	3.185075646	26.14259424	12.6612339
3.204034429	13.72145012	7.996384775	3.204034429	26.14583848	12.67347147
3.222993213	13.68342991	8.021361636	3.222993213	26.16350554	12.68419108
3.241951996	13.64698322	8.030284597	3.241951996	26.16522902	12.67446303
3.26091078	13.60066383	8.034985585	3.26091078	26.16930514	12.66950583
3.279869564	13.5824557	8.031969679	3.279869564	26.16844998	12.66982408
3.298828347	13.49250461	8.04478732	3.298828347	26.15390864	12.66736797
3.317787131	13.41409424	8.063594647	3.317787131	26.16574946	12.66874256
3.336745914	13.37563367	8.075318016	3.336745914	26.17100474	12.67101504
3.355704698	13.30341725	8.08180759	3.355704698	26.17411024	12.67162218
3.374663482	13.19813451	8.087960265	3.374663482	26.1609555	12.67028751
3.393622265	13.12587407	8.097413971	3.393622265	26.15530872	12.67112652
3.412581049	13.11211016	8.098662704	3.412581049	26.15682674	12.67172795
3.431539832	13.11119275	8.098533924	3.431539832	26.16049062	12.66936409
3.450498616	13.06325089	8.10199157	3.450498616	26.15491119	12.66813708
3.4694574	12.78308335	8.103549876	3.4694574	26.15065427	12.66096257
3.488416183	12.72043631	8.102612786	3.488416183	26.14772776	12.65741459
3.507374967	12.62874284	8.106640234	3.507374967	26.14752261	12.65809098
3.52633375	12.58781859	8.103107774	3.52633375	26.14383392	12.659741
3.545292534	12.55094379	8.109732862	3.545292534	26.14396759	12.66024237
3.564251318	12.54010014	8.110543683	3.564251318	26.14583169	12.6601702
3.583210101	12.47478348	8.108347083	3.583210101	26.1449539	12.66156474
3.602168885	12.39115876	8.110308355	3.602168885	26.14086255	12.66621472
3.621127668	12.28408969	8.106173889	3.621127668	26.13973043	12.66978432
3.640086452	12.19073682	8.106515456	3.640086452	26.14066953	12.66857962
3.659045236	12.17027271	8.105041506	3.659045236	26.1413772	12.66725989
3.678004019	12.13016423	8.104462354	3.678004019	26.14192456	12.66589272
3.696962803	12.11226362	8.101200536	3.696962803	26.14011298	12.66070229
3.715921586	12.03345275	8.1021419	3.715921586	26.13901297	12.659376
3.73488037	11.97680817	8.105510029	3.73488037	26.14080238	12.65987971
3.753839154	11.83544596	8.106668755	3.753839154	26.13651702	12.65867535
3.772797937	11.74284865	8.111526343	3.772797937	26.1363442	12.6567222
3.791756721	11.71827717	8.1130692	3.791756721	26.13012768	12.6566148
3.810715504	11.71795214	8.113026465	3.810715504	26.13180699	12.65589956
3.829674288	11.69782934	8.11533502	3.829674288	26.13373072	12.65437292
3.848633072	11.5988724	8.11429342	3.848633072	26.1299631	12.65084501
3.867591855	11.54774919	8.117166055	3.867591855	26.12533734	12.6481775
3.886550639	11.50878774	8.114456353	3.886550639	26.12301739	12.64656827
3.905509423	11.27234141	8.108240724	3.905509423	26.11140517	12.64875315
3.924468206	11.23827929	8.111734558	3.924468206	26.10848152	12.6520138
3.94342699	11.16779345	8.108633112	3.94342699	26.08996264	12.6495201
3.962385773	11.09895664	8.099371317	3.962385773	26.07852017	12.64568088
3.981344557	11.01476157	8.09940559	3.981344557	26.07816604	12.64284346
4.000303341	10.94267571	8.104838159	4.000303341	26.07409928	12.64169772
4.019262124	10.90901549	8.101339435	4.019262124	26.07348524	12.6419149
4.038220908	10.81250063	8.10038151	4.038220908	26.07575876	12.6393944
4.057179691	10.72296864	8.103414334	4.057179691	26.07207558	12.64070773
4.076138475	10.64469101	8.096529588	4.076138475	26.06757578	12.64303787
4.095097259	10.60427018	8.098249309	4.095097259	26.06829747	12.63631642
4.114056042	10.59353068	8.103951251	4.114056042	26.07129769	12.62986876
4.133014826	10.5447669	8.108467316	4.133014826	26.09324432	12.61835503
4.151973609	10.48299271	8.108247792	4.151973609	26.06742491	12.6245603
4.170932393	10.46918627	8.105920961	4.170932393	26.06339986	12.63928112
4.189891177	10.44616705	8.107517115	4.189891177	26.0615281	12.64115894
4.20884996	10.4028957	8.107812328	4.20884996	26.06597344	12.64551551
4.227808744	10.30709865	8.103587214	4.227808744	26.06503018	12.65389003
4.246767527	10.25626264	8.100578195	4.246767527	26.0642448	12.65136354
4.265726311	10.26939838	8.103502799	4.265726311	26.06139325	12.64834624
4.284685095	10.2185911	8.103020798	4.284685095	26.06161142	12.64308904
4.303643878	10.10927868	8.107840264	4.303643878	26.05306074	12.64359779
4.322602662	10.01367497	8.114576398	4.322602662	26.0514376	12.63750349
4.341561445	9.969453818	8.118295392	4.341561445	26.04970253	12.63238785
4.360520229	9.80976209	8.111893273	4.360520229	26.04900354	12.64081648
4.379479013	9.77774827	8.110274939	4.379479013	26.04180512	12.64396862
4.398437796	9.705896687	8.110679534	4.398437796	26.0366591	12.64373591
4.41739658	9.644067318	8.107848041	4.41739658	26.03742321	12.63984908
4.436355363	9.424231953	8.090167317	4.436355363	26.03003752	12.64968111
4.455314147	9.358363805	8.098386834	4.455314147	26.02506086	12.6509944
4.474272931	9.26595247	8.105316677	4.474272931	26.01699122	12.64993659
4.493231714	9.182739611	8.107875248	4.493231714	26.0093433	12.65045958
4.512190498	9.113944946	8.107671846	4.512190498	26.00789258	12.65355703
4.531149281	9.002201379	8.106833497	4.531149281	25.99653292	12.660253
4.550108065	8.957573871	8.105671073	4.550108065	25.99744026	12.66059636
4.569066849	8.897600895	8.108675341	4.569066849	25.99377804	12.65787464
4.588025632	8.823592829	8.110276329	4.588025632	25.99373001	12.65494981
4.606984416	8.776771575	8.110008782	4.606984416	25.98814658	12.6552451
4.625943199	8.704732479	8.102954131	4.625943199	25.9837356	12.65427119
4.644901983	8.666258863	8.097003021	4.644901983	25.98389871	12.65518753
4.663860767	8.628329511	8.097312431	4.663860767	25.9885471	12.65911359
4.68281955	8.621774516	8.101512803	4.68281955	25.9889526	12.66029837
4.701778334	8.555944403	8.105725686	4.701778334	25.98438795	12.65612003
4.720737118	8.497006795	8.107722849	4.720737118	25.98182155	12.65529157
4.739695901	8.464042046	8.107739242	4.739695901	25.98573137	12.65959769
4.758654685	8.462842684	8.10893034	4.758654685	25.98418064	12.65884458
4.777613468	8.437657624	8.110682075	4.777613468	25.98607322	12.65713202
4.796572252	8.394125218	8.112704923	4.796572252	25.98568268	12.65098534
4.815531036	8.34703749	8.111642488	4.815531036	25.98772573	12.65539398
4.834489819	8.335951438	8.110806123	4.834489819	25.9906915	12.65607113
4.853448603	8.308854683	8.110791126	4.853448603	25.98831692	12.65509915
4.872407386	8.223954139	8.109845001	4.872407386	25.98533664	12.64980221
4.89136617	8.179193077	8.109654185	4.89136617	25.98376985	12.6490175
4.910324954	8.116102607	8.107724764	4.910324954	25.98782024	12.65216529
4.929283737	8.082504438	8.107871665	4.929283737	25.9898148	12.65254029
4.948242521	8.058463066	8.107076956	4.948242521	25.98693316	12.64711028
4.967201304	8.013530124	8.108904531	4.967201304	25.98459661	12.64171372
4.986160088	7.990853032	8.109086495	4.986160088	25.98217783	12.64048847
5.005118872	7.926561472	8.106584073	5.005118872	25.98201698	12.64539954
5.024077655	7.891087879	8.106909699	5.024077655	25.97918384	12.63998663
5.043036439	7.876575164	8.109046236	5.043036439	25.98219024	12.63642599
5.061995222	7.82411123	8.107727709	5.061995222	25.9769779	12.62544455
5.080954006	7.811090638	8.107934958	5.080954006	25.97340595	12.62356688
5.09991279	7.794750919	8.105153093	5.09991279	25.97196713	12.6240104
5.118871573	7.714898564	8.105793575	5.118871573	25.95570131	12.62923899
5.137830357	7.701768298	8.107621794	5.137830357	25.97605638	12.61174995
5.15678914	7.699910008	8.110057133	5.15678914	25.96691284	12.59517245
5.175747924	7.670912232	8.10594223	5.175747924	25.96385825	12.59484969
5.194706708	7.601750453	8.104676905	5.194706708	25.96111337	12.60191943
5.213665491	7.583667301	8.106549349	5.213665491	25.94731381	12.59966971
5.232624275	7.569711252	8.111564934	5.232624275	25.94311396	12.58443489
5.251583058	7.545092237	8.108637996	5.251583058	25.93749806	12.5887693
5.270541842	7.51273767	8.109737581	5.270541842	25.93546166	12.58923312
5.289500626	7.510075602	8.111408211	5.289500626	25.93109191	12.58378743
5.308459409	7.515851157	8.111674743	5.308459409	25.9255456	12.57757055
5.327418193	7.483969412	8.108047683	5.327418193	25.91936591	12.58142354
5.346376976	7.447260088	8.107499173	5.346376976	25.91071637	12.58752972
5.36533576	7.452437788	8.109837417	5.36533576	25.91031653	12.58582747
5.384294544	7.47265293	8.111860271	5.384294544	25.91348396	12.57814789
5.403253327	7.457768031	8.113573919	5.403253327	25.91027312	12.57597884
5.422212111	7.447086768	8.11459415	5.422212111	25.91027671	12.57668215
5.441170894	7.438500723	8.114927363	5.441170894	25.90739897	12.57775613
5.460129678	7.431087509	8.115011385	5.460129678	25.90350934	12.57210359
5.479088462	7.415125648	8.125517739	5.479088462	25.90779201	12.56592672
5.498047245	7.421839226	8.122571521	5.498047245	25.90825194	12.56746781
5.517006029	7.422105457	8.119289716	5.517006029	25.90704008	12.56784584
5.535964812	7.40737038	8.122670396	5.535964812	25.90279617	12.55858768
5.554923596	7.407003587	8.124748121	5.554923596	25.90745555	12.5594692
5.57388238	7.405655268	8.126040906	5.57388238	25.90754617	12.56077207
5.592841163	7.397750329	8.123248597	5.592841163	25.90463137	12.55894517
5.611799947	7.399586044	8.123478742	5.611799947	25.90074363	12.55352233
5.630758731	7.378854417	8.126556423	5.630758731	25.89999886	12.55033299
5.649717514	7.359335192	8.127808268	5.649717514	25.90069177	12.55473492
5.668676298	7.351207322	8.127927461	5.668676298	25.90280621	12.55903468
5.687635081	7.365592037	8.12633956	5.687635081	25.90455595	12.55649885
5.706593865	7.365622979	8.127240648	5.706593865	25.90171847	12.55239747
5.725552649	7.357063494	8.127988471	5.725552649	25.90489848	12.5561494
5.744511432	7.349144239	8.129939663	5.744511432	25.89929059	12.56205828
5.763470216	7.354085609	8.129329247	5.763470216	25.90507198	12.56582557
5.782428999	7.355883544	8.128809387	5.782428999	25.90740414	12.56338423
5.801387783	7.350494657	8.133512959	5.801387783	25.90416035	12.56254723
5.820346567	7.343206922	8.131010709	5.820346567	25.90415251	12.56824685
5.83930535	7.358658086	8.133674319	5.83930535	25.89518982	12.55589828
5.858264134	7.360906917	8.131428795	5.858264134	25.89076619	12.5539423
5.877222917	7.352810223	8.131656471	5.877222917	25.89602656	12.56727839
5.896181701	7.352769433	8.126303845	5.896181701	25.90388179	12.57483608
5.915140485	7.358893857	8.124856937	5.915140485	25.89858456	12.57123058
5.934099268	7.36114833	8.124067998	5.934099268	25.89885706	12.56969136
5.953058052	7.352349753	8.128252338	5.953058052	25.89692012	12.56583214
5.972016835	7.345899553	8.126971124	5.972016835	25.89980716	12.57407192
5.990975619	7.333543696	8.127328804	5.990975619	25.89414335	12.57476163
6.009934403	7.346399119	8.12477087	6.009934403	25.89291905	12.57354116
6.028893186	7.354666136	8.125411116	6.028893186	25.89102091	12.56438401
6.04785197	7.347671447	8.121201914	6.04785197	25.89458148	12.57268683
6.066810753	7.31655557	8.120624643	6.066810753	25.89543893	12.57792153
6.085769537	7.326559771	8.121474592	6.085769537	25.90013635	12.57662992
6.104728321	7.357717741	8.126209892	6.104728321	25.89192563	12.56589105
6.123687104	7.357788707	8.120682984	6.123687104	25.8960869	12.56692196
6.142645888	7.337858014	8.121342611	6.142645888	25.90477925	12.58054235
6.161604671	7.361230054	8.127893264	6.161604671	25.89915157	12.57432021
6.180563455	7.376345523	8.12128089	6.180563455	25.89496586	12.57025741
6.199522239	7.362897472	8.11619709	6.199522239	25.9015268	12.57764516
6.218481022	7.358878598	8.12076665	6.218481022	25.90160928	12.58021922
6.237439806	7.360652898	8.122506789	6.237439806	25.90361161	12.57723612
6.256398589	7.368370404	8.124039141	6.256398589	25.9001452	12.57066876
6.275357373	7.366150716	8.117410313	6.275357373	25.90647455	12.57935813
6.294316157	7.364103726	8.118381121	6.294316157	25.90697481	12.57834878
6.31327494	7.359257454	8.121449151	6.31327494	25.90294966	12.56999475
6.332233724	7.35556599	8.122953139	6.332233724	25.90334589	12.56777679
6.351192507	7.35823412	8.120676754	6.351192507	25.90703699	12.5712862
6.370151291	7.360529581	8.119155146	6.370151291	25.90812787	12.57451082
6.389110075	7.361182614	8.119225407	6.389110075	25.91233388	12.5728256
6.408068858	7.362814117	8.118879758	6.408068858	25.9051289	12.56589405
6.427027642	7.363562267	8.117976134	6.427027642	25.90681457	12.56450926
6.445986426	7.351399188	8.117685615	6.445986426	25.90854255	12.56405177
6.464945209	7.340911413	8.118900329	6.464945209	25.90413527	12.56173671
6.483903993	7.352464024	8.118655151	6.483903993	25.90802229	12.56751938
6.502862776	7.348317088	8.11825093	6.502862776	25.90737049	12.56988745
6.52182156	7.342204866	8.121065985	6.52182156	25.90702864	12.56518212
6.540780344	7.352743681	8.120609852	6.540780344	25.90014794	12.55630346
6.559739127	7.349034282	8.118887957	6.559739127	25.90846677	12.56267641
6.578697911	7.339804375	8.117759962	6.578697911	25.90942866	12.56462836
6.597656694	7.330249318	8.117447508	6.597656694	25.90844606	12.5616311
6.616615478	7.335606993	8.122091042	6.616615478	25.89708191	12.54448256
6.635574262	7.346479299	8.119241176	6.635574262	25.90170251	12.55250527
6.654533045	7.346546897	8.117127837	6.654533045	25.90607344	12.55781367
6.673491829	7.345666679	8.114536451	6.673491829	25.91024924	12.56528091
6.692450612	7.347567557	8.115763215	6.692450612	25.90502664	12.56112873
6.711409396	7.352710054	8.115766598	6.711409396	25.90361131	12.55914635
6.73036818	7.356965586	8.115139938	6.73036818	25.90583318	12.56133995
6.749326963	7.354972498	8.115830703	6.749326963	25.90748909	12.56233347
6.768285747	7.35717878	8.118063781	6.768285747	25.906102	12.55564172
6.78724453	7.361047408	8.119526027	6.78724453	25.90643007	12.55570729
6.806203314	7.363752325	8.117975331	6.806203314	25.90519177	12.55574646
6.825162098	7.35652269	8.112692365	6.825162098	25.90305665	12.55730132
6.844120881	7.360703144	8.115096538	6.844120881	25.90242247	12.55677923
6.863079665	7.363646164	8.116010009	6.863079665	25.90200953	12.55016378
6.882038448	7.359142901	8.113353229	6.882038448	25.9020734	12.54580692
6.900997232	7.358008583	8.111855876	6.900997232	25.92064177	12.54299004
6.919956016	7.36971178	8.109557662	6.919956016	25.92081273	12.53893365
6.938914799	7.37149276	8.111338428	6.938914799	25.92066999	12.53508277
6.957873583	7.375715905	8.113297485	6.957873583	25.92007477	12.52317046
6.976832366	7.375441595	8.111271282	6.976832366	25.92012823	12.51875176
					
					
					
					
					
