mass_B			ExtMarker		
t	x	y	t	x	y
4.02699373	137.7933946	0	4.02699373	60.4428587	0
4.045381829	137.8096939	0	4.045381829	60.44598573	0
4.063769928	137.9589534	0	4.063769928	60.48270081	0
4.082158027	137.9980343	0	4.082158027	60.45543657	0
4.100546127	137.9910279	0	4.100546127	60.43966196	0
4.118934226	138.0100719	0	4.118934226	60.43061852	0
4.137322325	138.0146438	0	4.137322325	60.42554627	0
4.155710424	137.9947289	0	4.155710424	60.40917962	0
4.174098523	137.9646336	0	4.174098523	60.40460864	0
4.192486623	137.9760749	0	4.192486623	60.40357985	0
4.210874722	137.9914954	0	4.210874722	60.40531	0
4.229262821	137.9575528	0	4.229262821	60.37660988	0
4.24765092	137.8035596	0	4.24765092	60.31634081	0
4.26603902	137.6780941	0	4.26603902	60.3128432	0
4.284427119	137.5640389	0	4.284427119	60.23841497	0
4.302815218	137.4758171	0	4.302815218	60.14675083	0
4.321203317	137.2164668	0	4.321203317	59.97411237	0
4.339591416	136.9585966	0	4.339591416	59.78191165	0
4.357979516	136.7655529	0	4.357979516	59.55790485	0
4.376367615	136.6218273	0	4.376367615	59.41000762	0
4.394755714	136.2343156	0	4.394755714	59.12520855	0
4.413143813	135.6378463	0	4.413143813	58.82791678	0
4.431531913	135.3183835	0	4.431531913	58.54001075	0
4.449920012	135.1703523	0	4.449920012	58.34930943	0
4.468308111	135.0790363	0	4.468308111	58.1999147	0
4.48669621	135.0684661	0	4.48669621	58.17732224	0
4.505084309	135.0085465	0	4.505084309	58.11395078	0
4.523472409	134.8615383	0	4.523472409	57.99147837	0
4.541860508	134.8015958	0	4.541860508	57.92442876	0
4.560248607	134.7543282	0	4.560248607	57.81632616	0
4.578636706	134.6991706	0	4.578636706	57.70138667	0
4.597024806	134.6019546	0	4.597024806	57.64799527	0
4.615412905	134.5920988	0	4.615412905	57.66524087	0
4.633801004	134.5988175	0	4.633801004	57.66218901	0
4.652189103	134.5619808	0	4.652189103	57.61796847	0
4.670577202	134.564768	0	4.670577202	57.51314415	0
4.688965302	134.5758645	0	4.688965302	57.47256458	0
4.707353401	134.5929867	0	4.707353401	57.46420626	0
4.7257415	134.6160675	0	4.7257415	57.44471436	0
4.744129599	134.627497	0	4.744129599	57.44084298	0
4.762517699	134.599933	0	4.762517699	57.41397286	0
4.780905798	134.5845667	0	4.780905798	57.39698758	0
4.799293897	134.5607387	0	4.799293897	57.30433952	0
4.817681996	134.5301663	0	4.817681996	57.15948274	0
4.836070095	134.3515044	0	4.836070095	57.02181235	0
4.854458195	134.2521468	0	4.854458195	56.96324743	0
4.872846294	134.1736283	0	4.872846294	56.81209731	0
4.891234393	134.1132525	0	4.891234393	56.70391424	0
4.909622492	134.0785442	0	4.909622492	56.64440786	0
4.928010592	134.0777174	0	4.928010592	56.56067121	0
4.946398691	134.0514266	0	4.946398691	56.48806298	0
4.96478679	134.020785	0	4.96478679	56.39886795	0
4.983174889	134.0245713	0	4.983174889	56.29937711	0
5.001562988	134.0373865	0	5.001562988	56.24199229	0
5.019951088	134.0386731	0	5.019951088	56.21443055	0
5.038339187	133.8825515	0	5.038339187	56.03458216	0
5.056727286	133.6870152	0	5.056727286	55.88511389	0
5.075115385	133.5790228	0	5.075115385	55.77267054	0
5.093503485	133.5674165	0	5.093503485	55.74866139	0
5.111891584	133.5434505	0	5.111891584	55.69324865	0
5.130279683	133.2310304	0	5.130279683	55.42385239	0
5.148667782	133.1757022	0	5.148667782	55.3399101	0
5.167055881	133.1541365	0	5.167055881	55.29485232	0
5.185443981	133.1133292	0	5.185443981	55.22729596	0
5.20383208	133.1242579	0	5.20383208	55.23017549	0
5.222220179	133.1388648	0	5.222220179	55.23991118	0
5.240608278	133.153975	0	5.240608278	55.24707526	0
5.258996378	133.1578222	0	5.258996378	55.25343962	0
5.277384477	133.1516561	0	5.277384477	55.25789431	0
5.295772576	133.147541	0	5.295772576	55.26731483	0
5.314160675	133.1373835	0	5.314160675	55.24965004	0
5.332548774	133.1218473	0	5.332548774	55.24170662	0
5.350936874	133.1130509	0	5.350936874	55.2410155	0
5.369324973	133.1115088	0	5.369324973	55.24710792	0
5.387713072	133.0470037	0	5.387713072	55.23093671	0
5.406101171	132.8369166	0	5.406101171	55.13197969	0
5.424489271	132.714563	0	5.424489271	55.01346201	0
5.44287737	132.6398875	0	5.44287737	54.98382669	0
5.461265469	132.5593924	0	5.461265469	54.95460496	0
5.479653568	132.4203167	0	5.479653568	54.85393338	0
5.498041667	132.2696183	0	5.498041667	54.76042373	0
5.516429767	132.177815	0	5.516429767	54.6818997	0
5.534817866	132.1573684	0	5.534817866	54.61131476	0
5.553205965	132.139145	0	5.553205965	54.56615907	0
5.571594064	132.108302	0	5.571594064	54.5354803	0
5.589982164	132.1121448	0	5.589982164	54.52328118	0
5.608370263	132.0744896	0	5.608370263	54.46362752	0
5.626758362	132.0147058	0	5.626758362	54.41666438	0
5.645146461	131.9024061	0	5.645146461	54.32773106	0
5.66353456	131.8109114	0	5.66353456	54.28574769	0
5.68192266	131.7073111	0	5.68192266	54.26699948	0
5.700310759	131.5912988	0	5.700310759	54.15466648	0
5.718698858	131.4702984	0	5.718698858	54.06147868	0
5.737086957	131.3688561	0	5.737086957	53.99858742	0
5.755475057	131.3422661	0	5.755475057	53.98816207	0
5.773863156	131.2660236	0	5.773863156	53.93192501	0
5.792251255	131.1845837	0	5.792251255	53.82091628	0
5.810639354	131.0901889	0	5.810639354	53.72234171	0
5.829027453	131.0738213	0	5.829027453	53.62149849	0
5.847415553	130.9397412	0	5.847415553	53.52724307	0
5.865803652	130.8633399	0	5.865803652	53.37119493	0
5.884191751	130.7184401	0	5.884191751	53.100605	0
5.90257985	130.5436899	0	5.90257985	52.95788241	0
5.92096795	130.4634883	0	5.92096795	52.88881589	0
5.939356049	130.3948691	0	5.939356049	52.79230987	0
5.957744148	130.2835929	0	5.957744148	52.73118342	0
5.976132247	130.1685941	0	5.976132247	52.52420326	0
5.994520346	130.1822142	0	5.994520346	52.45208398	0
6.012908446	130.2097928	0	6.012908446	52.4263136	0
6.031296545	130.2332068	0	6.031296545	52.41048615	0
6.049684644	130.2199099	0	6.049684644	52.35448384	0
6.068072743	130.1924618	0	6.068072743	52.23749868	0
6.086460843	130.1903296	0	6.086460843	52.15095053	0
6.104848942	130.1860849	0	6.104848942	52.08162092	0
6.123237041	130.2045084	0	6.123237041	52.06829222	0
6.14162514	130.1982857	0	6.14162514	52.06184407	0
6.160013239	130.1837547	0	6.160013239	52.08749694	0
6.178401339	130.200487	0	6.178401339	52.10040826	0
6.196789438	130.2069006	0	6.196789438	52.10355536	0
6.215177537	130.2032686	0	6.215177537	52.10836117	0
6.233565636	130.2128887	0	6.233565636	52.11808271	0
6.251953736	130.2084204	0	6.251953736	52.09995899	0
6.270341835	130.1928677	0	6.270341835	52.09185137	0
6.288729934	130.2124598	0	6.288729934	52.11789576	0
