GM fasc			Ext		
t	x	y	t	x	y
7.868852459	7.961214647	1.19444197	7.868852459	4.692968944	8.496630042
7.928464978	8.008181808	1.189026776	7.928464978	4.696270886	8.496234937
7.988077496	8.05686361	1.184046132	7.988077496	4.694418891	8.495297273
8.047690015	8.061761007	1.184036139	8.047690015	4.698244328	8.495213119
8.107302534	8.034700198	1.189767912	8.107302534	4.700553028	8.493158506
8.166915052	8.069638771	1.185989421	8.166915052	4.692267555	8.490125779
8.226527571	8.122117999	1.183156438	8.226527571	4.691919657	8.492103101
8.286140089	8.150091332	1.17958963	8.286140089	4.703510336	8.492372086
8.345752608	8.149265766	1.179560215	8.345752608	4.701257832	8.49382409
8.405365127	8.146168467	1.180083179	8.405365127	4.700026786	8.494820451
8.464977645	8.14503816	1.179123506	8.464977645	4.699596048	8.495242154
8.524590164	8.155050612	1.178400342	8.524590164	4.697515605	8.49565819
8.584202683	8.145841837	1.179721084	8.584202683	4.699310593	8.495658276
8.643815201	8.15028093	1.179944167	8.643815201	4.701473738	8.495706995
8.70342772	8.152803668	1.179752955	8.70342772	4.702909735	8.495588661
8.763040238	8.166737437	1.178077342	8.763040238	4.702031457	8.495930138
8.822652757	8.249429691	1.174209995	8.822652757	4.703062899	8.496089339
8.882265276	8.271758479	1.172649312	8.882265276	4.702032397	8.496382501
8.941877794	8.298948062	1.169550086	8.941877794	4.700740358	8.496914683
9.001490313	8.288428178	1.170616046	9.001490313	4.699667111	8.49660935
9.061102832	8.301057581	1.168302044	9.061102832	4.699674474	8.49654444
9.12071535	8.313418323	1.165783681	9.12071535	4.698733877	8.496789482
9.180327869	8.365998162	1.163973075	9.180327869	4.700442592	8.496186824
9.239940387	8.395300455	1.162151348	9.239940387	4.697138247	8.496433231
9.299552906	8.385723665	1.162642938	9.299552906	4.698346461	8.49644715
9.359165425	8.402850507	1.16097706	9.359165425	4.698218457	8.496418328
9.418777943	8.422538346	1.162075173	9.418777943	4.699832484	8.496249242
9.478390462	8.514063192	1.156745822	9.478390462	4.703598264	8.495652965
9.538002981	8.530179427	1.155683935	9.538002981	4.70858882	8.496041024
9.597615499	8.549692839	1.153716614	9.597615499	4.711204941	8.49572624
9.657228018	8.595387076	1.151025497	9.657228018	4.720088547	8.496174503
9.716840537	8.638878549	1.145629228	9.716840537	4.719061496	8.495990198
9.776453055	8.669509192	1.142023757	9.776453055	4.71384998	8.495124155
9.836065574	8.677535004	1.140520537	9.836065574	4.711245548	8.49467376
9.895678092	8.678834933	1.140171572	9.895678092	4.707168368	8.494046204
9.955290611	8.686307085	1.138797468	9.955290611	4.711595381	8.493703329
