FASC_Dist			mass_A		
t	x	y	t	x	y
2.83176728	17.22198538	0.00000000	2.83176728	50.40441253	0.00000000
2.85015538	17.05488217	0.00000000	2.85015538	50.40490131	0.00000000
2.86854348	16.87164906	0.00000000	2.86854348	50.40520112	0.00000000
2.88693158	16.71821904	0.00000000	2.88693158	50.40521315	0.00000000
2.90531968	16.56275921	0.00000000	2.90531968	50.40600772	0.00000000
2.92370778	16.45821134	0.00000000	2.92370778	50.40565031	0.00000000
2.94209588	16.29188606	0.00000000	2.94209588	50.40569136	0.00000000
2.96048398	16.11164659	0.00000000	2.96048398	50.40533148	0.00000000
2.97887207	15.94897171	0.00000000	2.97887207	50.40497780	0.00000000
2.99726017	15.78356809	0.00000000	2.99726017	50.40444290	0.00000000
3.01564827	15.59233149	0.00000000	3.01564827	50.40305303	0.00000000
3.03403637	15.53307284	0.00000000	3.03403637	50.40352153	0.00000000
3.05242447	15.40067488	0.00000000	3.05242447	50.40358972	0.00000000
3.07081257	15.22701024	0.00000000	3.07081257	50.40376852	0.00000000
3.08920067	15.08871893	0.00000000	3.08920067	50.40371168	0.00000000
3.10758877	15.01552281	0.00000000	3.10758877	50.40377597	0.00000000
3.12597687	14.80099799	0.00000000	3.12597687	50.40396773	0.00000000
3.14436497	14.62759534	0.00000000	3.14436497	50.40448999	0.00000000
3.16275307	14.48553246	0.00000000	3.16275307	50.40081005	0.00000000
3.18114117	14.31460073	0.00000000	3.18114117	50.39954332	0.00000000
3.19952927	14.22279397	0.00000000	3.19952927	50.39899307	0.00000000
3.21791736	14.08776752	0.00000000	3.21791736	50.39994526	0.00000000
3.23630546	13.93152933	0.00000000	3.23630546	50.40014967	0.00000000
3.25469356	13.78053739	0.00000000	3.25469356	50.39997528	0.00000000
3.27308166	13.63299294	0.00000000	3.27308166	50.40000828	0.00000000
3.29146976	13.55584348	0.00000000	3.29146976	50.39881256	0.00000000
3.30985786	13.41581496	0.00000000	3.30985786	50.39885066	0.00000000
3.32824596	13.28026969	0.00000000	3.32824596	50.39838733	0.00000000
3.34663406	13.13367710	0.00000000	3.34663406	50.39905984	0.00000000
3.36502216	13.04787089	0.00000000	3.36502216	50.39903520	0.00000000
3.38341026	12.97653528	0.00000000	3.38341026	50.39929514	0.00000000
3.40179836	12.94578949	0.00000000	3.40179836	50.39780923	0.00000000
3.42018646	12.85177643	0.00000000	3.42018646	50.39675555	0.00000000
3.43857456	12.76848853	0.00000000	3.43857456	50.39681116	0.00000000
3.45696265	12.64137942	0.00000000	3.45696265	50.39693897	0.00000000
3.47535075	12.57204803	0.00000000	3.47535075	50.39622803	0.00000000
3.49373885	12.44960496	0.00000000	3.49373885	50.39586084	0.00000000
3.51212695	12.29277828	0.00000000	3.51212695	50.39665303	0.00000000
3.53051505	12.14260030	0.00000000	3.53051505	50.39743741	0.00000000
3.54890315	11.98190854	0.00000000	3.54890315	50.39718751	0.00000000
3.56729125	11.92516784	0.00000000	3.56729125	50.39634506	0.00000000
3.58567935	11.79643722	0.00000000	3.58567935	50.39660925	0.00000000
3.60406745	11.64151078	0.00000000	3.60406745	50.39628178	0.00000000
3.62245555	11.51011742	0.00000000	3.62245555	50.39564742	0.00000000
3.64084365	11.43248545	0.00000000	3.64084365	50.39501002	0.00000000
3.65923175	11.26112132	0.00000000	3.65923175	50.39496167	0.00000000
3.67761984	11.07248692	0.00000000	3.67761984	50.39493993	0.00000000
3.69600794	10.89709890	0.00000000	3.69600794	50.39450334	0.00000000
3.71439604	10.77668613	0.00000000	3.71439604	50.39461521	0.00000000
3.73278414	10.62600711	0.00000000	3.73278414	50.39368651	0.00000000
3.75117224	10.57641673	0.00000000	3.75117224	50.39333746	0.00000000
