MTJ			mass_A		
t	x	y	t	x	y
2.90630385	21.33792064	0.00000000	2.90630385	48.60813695	0.00000000
2.93202335	21.22620308	0.00000000	2.93202335	48.60329306	0.00000000
2.95774286	21.15762303	0.00000000	2.95774286	48.60657591	0.00000000
2.98346236	20.99635679	0.00000000	2.98346236	48.60775997	0.00000000
3.00918186	20.88926769	0.00000000	3.00918186	48.61587602	0.00000000
3.03490137	20.73154581	0.00000000	3.03490137	48.61552487	0.00000000
3.06062087	20.60636213	0.00000000	3.06062087	48.61498834	0.00000000
3.08634037	20.27641768	0.00000000	3.08634037	48.59303996	0.00000000
3.11205988	20.08858923	0.00000000	3.11205988	48.56446568	0.00000000
3.13777938	19.95954108	0.00000000	3.13777938	48.55660418	0.00000000
3.16349888	19.76982361	0.00000000	3.16349888	48.54968899	0.00000000
3.18921838	19.42474175	0.00000000	3.18921838	48.55948096	0.00000000
3.21493789	19.37483285	0.00000000	3.21493789	48.55827485	0.00000000
3.24065739	19.25279165	0.00000000	3.24065739	48.56168683	0.00000000
3.26637689	19.02156984	0.00000000	3.26637689	48.56043377	0.00000000
3.29209640	18.91337618	0.00000000	3.29209640	48.55878111	0.00000000
3.31781590	18.73813550	0.00000000	3.31781590	48.55987541	0.00000000
3.34353540	18.57513435	0.00000000	3.34353540	48.55524202	0.00000000
3.36925491	18.27683712	0.00000000	3.36925491	48.55195140	0.00000000
3.39497441	18.15505787	0.00000000	3.39497441	48.55255217	0.00000000
3.42069391	18.11967064	0.00000000	3.42069391	48.55410045	0.00000000
3.44641342	18.14268524	0.00000000	3.44641342	48.55485404	0.00000000
3.47213292	18.12310298	0.00000000	3.47213292	48.55459421	0.00000000
3.49785242	18.10775964	0.00000000	3.49785242	48.55660062	0.00000000
3.52357193	18.04454604	0.00000000	3.52357193	48.55429907	0.00000000
3.54929143	17.98976953	0.00000000	3.54929143	48.55454022	0.00000000
3.57501093	17.83176961	0.00000000	3.57501093	48.55001259	0.00000000
3.60073043	17.78160273	0.00000000	3.60073043	48.55079193	0.00000000
3.62644994	17.52337699	0.00000000	3.62644994	48.54553531	0.00000000
