SOL end			Ext		
t	x	y	t	x	y
8.882265276	5.399936611	-0.612171629	8.882265276	5.526274544	2.286755673
8.941877794	5.40488051	-0.612591231	8.941877794	5.529091616	2.286716579
9.001490313	5.408187415	-0.612349469	9.001490313	5.529772313	2.286703411
9.061102832	5.411579317	-0.613855159	9.061102832	5.532775595	2.286669246
9.12071535	5.41081394	-0.614719575	9.12071535	5.535857355	2.287674053
9.180327869	5.436188194	-0.618038603	9.180327869	5.558508429	2.288606053
9.239940387	5.431345639	-0.619005678	9.239940387	5.546855096	2.288060362
9.299552906	5.420308228	-0.616382486	9.299552906	5.541475378	2.286890876
9.359165425	5.412781622	-0.617019024	9.359165425	5.53883077	2.287821766
9.418777943	5.414337167	-0.61794705	9.418777943	5.534358207	2.286750979
9.478390462	5.403358475	-0.626420582	9.478390462	5.533086838	2.290601238
9.538002981	5.39282104	-0.636141727	9.538002981	5.532244874	2.289867945
9.597615499	5.394122171	-0.644699848	9.597615499	5.530098249	2.288638444
9.657228018	5.39998567	-0.641179626	9.657228018	5.53147954	2.288177733
9.716840537	5.400992619	-0.626803644	9.716840537	5.529754768	2.288174153
9.776453055	5.4037476	-0.619998722	9.776453055	5.526976463	2.287376356
9.836065574	5.402451063	-0.62534241	9.836065574	5.529537521	2.286137107
9.895678092	5.409616136	-0.626897209	9.895678092	5.533738786	2.285628119
9.955290611	5.419508516	-0.625305643	9.955290611	5.532600535	2.28573588
10.01490313	5.428466019	-0.621623132	10.01490313	5.533798587	2.285790577
10.07451565	5.437168005	-0.619555552	10.07451565	5.534615466	2.286009349
10.13412817	5.439960924	-0.617893596	10.13412817	5.532758298	2.286034488
10.19374069	5.472817878	-0.618736889	10.19374069	5.535717194	2.286301498
10.2533532	5.476227105	-0.61838799	10.2533532	5.535244649	2.285946884
10.31296572	5.474561107	-0.620538224	10.31296572	5.531933266	2.286480799
10.37257824	5.491093811	-0.619379521	10.37257824	5.532924402	2.286607966
10.43219076	5.492931408	-0.616697572	10.43219076	5.532936948	2.286574162
10.49180328	5.490331892	-0.614985408	10.49180328	5.530780999	2.287075747
10.5514158	5.485748022	-0.616758192	10.5514158	5.529889842	2.286429537
10.61102832	5.491331831	-0.616333238	10.61102832	5.529013098	2.286345015
10.67064083	5.496286594	-0.617014642	10.67064083	5.532166461	2.286795515
10.73025335	5.495876828	-0.616691478	10.73025335	5.532540813	2.28703018
10.78986587	5.5083988	-0.617379786	10.78986587	5.533949113	2.287163426
10.84947839	5.509076458	-0.617551369	10.84947839	5.533684176	2.287327813
10.90909091	5.530773839	-0.617066637	10.90909091	5.537965926	2.286960513
10.96870343	5.555586804	-0.61663672	10.96870343	5.538953143	2.287258207
11.02831595	5.561577933	-0.616120309	11.02831595	5.536979623	2.28696007
11.08792846	5.568897399	-0.616061498	11.08792846	5.537795923	2.286687443
11.14754098	5.576915095	-0.61804193	11.14754098	5.536808642	2.287196194
11.2071535	5.574094309	-0.618190478	11.2071535	5.538352044	2.287202537
11.26676602	5.593853133	-0.615641673	11.26676602	5.538970558	2.287410968
11.32637854	5.618108561	-0.616916238	11.32637854	5.539343234	2.28764343
11.38599106	5.624980191	-0.616535131	11.38599106	5.539122994	2.287252672
11.44560358	5.623654488	-0.615797084	11.44560358	5.53699231	2.287182398
11.5052161	5.631340889	-0.615202167	11.5052161	5.535199559	2.287168394
11.56482861	5.64104903	-0.616226714	11.56482861	5.537937928	2.287185032
11.62444113	5.635296083	-0.616163864	11.62444113	5.534789774	2.287137829
11.68405365	5.63203698	-0.615912814	11.68405365	5.534759638	2.28670987
11.74366617	5.626191353	-0.615201933	11.74366617	5.52909157	2.286806225
11.80327869	5.622251458	-0.614906574	11.80327869	5.529552691	2.286355298
11.86289121	5.624525266	-0.616115751	11.86289121	5.529286817	2.286989078
11.92250373	5.627760577	-0.61581834	11.92250373	5.530317826	2.286541575
11.98211624	5.623395276	-0.61556622	11.98211624	5.526904853	2.286620388
12.04172876	5.613159566	-0.615922107	12.04172876	5.526308264	2.286521084
12.10134128	5.610791531	-0.616310093	12.10134128	5.526818157	2.286796767
12.1609538	5.619448731	-0.618159221	12.1609538	5.526349355	2.287520845
12.22056632	5.627303638	-0.620640187	12.22056632	5.526977458	2.288072589
12.28017884	5.630025505	-0.620666471	12.28017884	5.52404788	2.2877966
12.33979136	5.633377132	-0.618931901	12.33979136	5.524926388	2.288740867
12.39940387	5.633972079	-0.61726835	12.39940387	5.527002428	2.287070881
12.45901639	5.619839573	-0.615992146	12.45901639	5.52644387	2.287200668
12.51862891	5.622928522	-0.615618889	12.51862891	5.529646361	2.286788103
12.57824143	5.612637486	-0.615279719	12.57824143	5.524052639	2.288592772
12.63785395	5.614859275	-0.614121298	12.63785395	5.527828968	2.288050482
12.69746647	5.610598801	-0.613967316	12.69746647	5.52475975	2.288592139
12.75707899	5.60738597	-0.614965131	12.75707899	5.523327236	2.288686811
12.81669151	5.600547605	-0.614160198	12.81669151	5.524922628	2.288165872
12.87630402	5.601524355	-0.613492248	12.87630402	5.519749943	2.28841109
12.93591654	5.604428746	-0.61479128	12.93591654	5.520510613	2.288160806
12.99552906	5.603455214	-0.614078921	12.99552906	5.51770247	2.287732376
13.05514158	5.614860002	-0.615183322	13.05514158	5.524224878	2.286826144
13.1147541	5.617618798	-0.61538291	13.1147541	5.521528557	2.287145235
13.17436662	5.618391	-0.615872738	13.17436662	5.519386468	2.286846591
13.23397914	5.619458751	-0.615316377	13.23397914	5.524778782	2.286476816
13.29359165	5.613641085	-0.613379555	13.29359165	5.525402915	2.286009964
13.35320417	5.605516394	-0.612054225	13.35320417	5.521384185	2.286501177
13.41281669	5.60940411	-0.612419167	13.41281669	5.520911423	2.286129377
13.47242921	5.606931579	-0.611658022	13.47242921	5.516204301	2.286771783
13.53204173	5.607029964	-0.613183557	13.53204173	5.5124056	2.287311239
13.59165425	5.605880767	-0.613402483	13.59165425	5.515477714	2.286678818
13.65126677	5.601299001	-0.61264053	13.65126677	5.512830489	2.287551741
13.71087928	5.600652683	-0.612903157	13.71087928	5.516080569	2.287810135
13.7704918	5.601863489	-0.612286909	13.7704918	5.515281838	2.28768286
13.83010432	5.594856614	-0.612488907	13.83010432	5.518129848	2.288132711
13.88971684	5.588255771	-0.612652431	13.88971684	5.516081185	2.288221237
13.94932936	5.591690587	-0.612424184	13.94932936	5.519660555	2.289072395
14.00894188	5.595270914	-0.613476367	14.00894188	5.520083199	2.288923858
14.0685544	5.600301534	-0.613822135	14.0685544	5.522658977	2.288126373
14.12816692	5.599725403	-0.613547955	14.12816692	5.515862891	2.28783949
14.18777943	5.599296169	-0.613626026	14.18777943	5.521819725	2.287950169
14.24739195	5.605511038	-0.614067953	14.24739195	5.520749134	2.288210499
14.30700447	5.609975082	-0.613978761	14.30700447	5.522051093	2.287558761
14.36661699	5.598314011	-0.612893769	14.36661699	5.51903536	2.28793205
14.42622951	5.600254509	-0.613320781	14.42622951	5.519552374	2.287579041
14.48584203	5.59054218	-0.617018491	14.48584203	5.521422319	2.287334079
14.54545455	5.564615249	-0.616844677	14.54545455	5.5092154	2.286941899
14.60506706	5.541991468	-0.616828953	14.60506706	5.51063696	2.286322082
14.66467958	5.542345241	-0.618501094	14.66467958	5.509786629	2.284700689
14.7242921	5.530792677	-0.618242024	14.7242921	5.51230108	2.284056591
14.78390462	5.519987131	-0.618883508	14.78390462	5.508625767	2.284878002
14.84351714	5.526094096	-0.615637848	14.84351714	5.510420903	2.285016879
14.90312966	5.527912397	-0.614661838	14.90312966	5.507431708	2.285901632
14.96274218	5.523765713	-0.61316347	14.96274218	5.502159833	2.286543644
15.02235469	5.522591421	-0.612895339	15.02235469	5.503130233	2.286549074
15.08196721	5.524057346	-0.611315821	15.08196721	5.502699941	2.28622989
15.14157973	5.519320597	-0.60980904	15.14157973	5.503286296	2.286188649
15.20119225	5.517635895	-0.612963851	15.20119225	5.504692975	2.286128635
15.26080477	5.524427499	-0.613005685	15.26080477	5.506979969	2.286194515
15.32041729	5.529396107	-0.613672397	15.32041729	5.509388657	2.287108908
15.38002981	5.518534246	-0.613414049	15.38002981	5.504027815	2.286983203
15.43964232	5.518059594	-0.613297224	15.43964232	5.51409907	2.287168073
15.49925484	5.51793116	-0.615759141	15.49925484	5.512163261	2.287147345
15.55886736	5.520240398	-0.615311359	15.55886736	5.512261007	2.287312612
15.61847988	5.514012715	-0.613065324	15.61847988	5.472777525	2.287513167
15.6780924	5.531748521	-0.613900436	15.6780924	5.463065091	2.288218267
15.73770492	5.53219724	-0.613939852	15.73770492	5.457207957	2.288188886
15.79731744	5.518883563	-0.615875244	15.79731744	5.442938671	2.288323222
15.85692996	5.497356608	-0.619047089	15.85692996	5.433432767	2.288725299
15.91654247	5.459792009	-0.618143016	15.91654247	5.429533349	2.288814081
15.97615499	5.456514927	-0.617915153	15.97615499	5.419345616	2.288213919
16.03576751	5.468247317	-0.616958136	16.03576751	5.405618392	2.28828537
16.09538003	5.470568657	-0.617153334	16.09538003	5.398443342	2.288482967
16.15499255	5.470479468	-0.616988641	16.15499255	5.392999212	2.288432895
16.21460507	5.462907503	-0.615920258	16.21460507	5.386484709	2.289016978
16.27421759	5.463136539	-0.614281399	16.27421759	5.382791995	2.28897989
16.3338301	5.457172654	-0.614005128	16.3338301	5.377032194	2.288715163
16.39344262	5.450929847	-0.61484943	16.39344262	5.366653917	2.288313398
16.45305514	5.45240533	-0.614946116	16.45305514	5.369095124	2.287954215
16.51266766	5.459290668	-0.615743315	16.51266766	5.371004227	2.287516095
16.57228018	5.455725286	-0.61830005	16.57228018	5.377046482	2.287265241
16.6318927	5.459281384	-0.617290733	16.6318927	5.375282659	2.287600808
16.69150522	5.452018666	-0.617081381	16.69150522	5.373524986	2.28651323
16.75111773	5.456487352	-0.617730441	16.75111773	5.379670118	2.286662365
16.81073025	5.454878301	-0.616791866	16.81073025	5.376125012	2.285992662
16.87034277	5.451117835	-0.61516352	16.87034277	5.372242913	2.285435681
16.92995529	5.451020864	-0.614668898	16.92995529	5.37375915	2.286710105
16.98956781	5.453230679	-0.614198741	16.98956781	5.376984789	2.286338324
17.04918033	5.4479363	-0.613521784	17.04918033	5.373082577	2.287439466
17.10879285	5.453103628	-0.613097744	17.10879285	5.375769344	2.287391447
17.16840537	5.463946578	-0.614231666	17.16840537	5.376211627	2.287563214
17.22801788	5.463912762	-0.614375198	17.22801788	5.370712919	2.28769383
17.2876304	5.465217127	-0.614446818	17.2876304	5.37735595	2.287752657
17.34724292	5.463352563	-0.614134692	17.34724292	5.378967379	2.287618067
17.40685544	5.464189534	-0.614835623	17.40685544	5.379482619	2.287250392
17.46646796	5.467686457	-0.61569982	17.46646796	5.379022028	2.287436178
17.52608048	5.469297386	-0.616310138	17.52608048	5.381895884	2.287371957
17.585693	5.468597577	-0.616112748	17.585693	5.383635789	2.287490692
17.64530551	5.466579437	-0.617657297	17.64530551	5.384744928	2.287890217
17.70491803	5.465538994	-0.616986808	17.70491803	5.385273787	2.287484215
17.76453055	5.460318097	-0.617873384	17.76453055	5.378263376	2.287777337
17.82414307	5.459192089	-0.616203141	17.82414307	5.376915664	2.287624814
17.88375559	5.461910836	-0.615298713	17.88375559	5.379935275	2.287799054
17.94336811	5.463562462	-0.614773926	17.94336811	5.377887632	2.287131398
18.00298063	5.459153157	-0.615883717	18.00298063	5.378242394	2.287776793
18.06259314	5.461081108	-0.615742677	18.06259314	5.379647359	2.28702525
18.12220566	5.464910069	-0.616302344	18.12220566	5.380538214	2.287193157
18.18181818	5.472557451	-0.614714988	18.18181818	5.384390014	2.28666236
18.2414307	5.477912362	-0.614595691	18.2414307	5.38618654	2.286951022
18.30104322	5.481489141	-0.615116557	18.30104322	5.388286124	2.286935905
18.36065574	5.482080873	-0.614791624	18.36065574	5.390490617	2.287377299
18.42026826	5.480487518	-0.615026435	18.42026826	5.389320799	2.287194783
18.47988077	5.478971096	-0.614498591	18.47988077	5.391428741	2.286495012
18.53949329	5.478454591	-0.614463668	18.53949329	5.39022538	2.286764827
18.59910581	5.477672325	-0.613256437	18.59910581	5.390894166	2.287035288
18.65871833	5.476463603	-0.613573744	18.65871833	5.386447384	2.287207262
18.71833085	5.472506275	-0.613326309	18.71833085	5.384665461	2.287241214
18.77794337	5.470945914	-0.613467819	18.77794337	5.382913369	2.286896539
18.83755589	5.469482587	-0.613545495	18.83755589	5.385707566	2.287197128
18.89716841	5.46964148	-0.613238545	18.89716841	5.388604308	2.28631165
18.95678092	5.474309413	-0.613888952	18.95678092	5.390391719	2.286525132
19.01639344	5.482610053	-0.612859323	19.01639344	5.394170044	2.286166491
19.07600596	5.478725751	-0.613746703	19.07600596	5.393192018	2.286298743
19.13561848	5.477908816	-0.614761716	19.13561848	5.390886272	2.286429604
19.195231	5.47461299	-0.61525843	19.195231	5.389132259	2.285590108
19.25484352	5.476080216	-0.614724969	19.25484352	5.38753181	2.285320311
19.31445604	5.484429124	-0.614641481	19.31445604	5.389165599	2.28611895
19.37406855	5.485143928	-0.61460179	19.37406855	5.388426177	2.286763794
19.43368107	5.483045325	-0.613980142	19.43368107	5.391172072	2.286737644
19.49329359	5.480321828	-0.612864581	19.49329359	5.388859476	2.286806451
19.55290611	5.477705936	-0.612436693	19.55290611	5.389021297	2.286787888
19.61251863	5.475604438	-0.609493909	19.61251863	5.387236537	2.286755957
19.67213115	5.467695234	-0.606828145	19.67213115	5.380509051	2.284695718
19.73174367	5.484169491	-0.608671119	19.73174367	5.38622274	2.286273197
19.79135618	5.482754603	-0.611235251	19.79135618	5.387137619	2.287304029
19.8509687	5.478014638	-0.612310755	19.8509687	5.382143694	2.286346553
19.91058122	5.478261104	-0.610628028	19.91058122	5.385243435	2.286957232
19.97019374	5.475790973	-0.611176635	19.97019374	5.385630612	2.28635985
20.02980626	5.473591082	-0.612313721	20.02980626	5.388642569	2.28708291
20.08941878	5.471848856	-0.611533586	20.08941878	5.388115372	2.2868786
20.1490313	5.474953863	-0.610916868	20.1490313	5.387788193	2.287078817
20.20864382	5.465428198	-0.611257627	20.20864382	5.388373723	2.286707153
20.26825633	5.465541703	-0.610630806	20.26825633	5.386920056	2.286963155
20.32786885	5.458998086	-0.61082753	20.32786885	5.387177021	2.286901566
20.38748137	5.443086355	-0.609460227	20.38748137	5.385043446	2.28660215
20.44709389	5.444021461	-0.610934712	20.44709389	5.385344086	2.286170283
20.50670641	5.43722806	-0.611909533	20.50670641	5.386262185	2.285106431
20.56631893	5.428573461	-0.610804653	20.56631893	5.386967919	2.285742515
20.62593145	5.420589431	-0.610745333	20.62593145	5.386473239	2.286695364
20.68554396	5.397047313	-0.611818983	20.68554396	5.384328685	2.286139064
20.74515648	5.396213344	-0.611525054	20.74515648	5.388021093	2.2863343
20.804769	5.401163762	-0.61123688	20.804769	5.389343463	2.286587487
20.86438152	5.407246552	-0.610359871	20.86438152	5.39408057	2.286878783
20.92399404	5.401901871	-0.609687758	20.92399404	5.391700838	2.286437781
20.98360656	5.393071653	-0.610673715	20.98360656	5.387379908	2.286446251
21.04321908	5.380159801	-0.609984321	21.04321908	5.384264334	2.286172063
21.10283159	5.377447771	-0.608368507	21.10283159	5.390294387	2.286100166
21.16244411	5.366559802	-0.60723719	21.16244411	5.390449185	2.285375943
21.22205663	5.386660811	-0.609267394	21.22205663	5.390616245	2.286100181
21.28166915	5.395630354	-0.60989045	21.28166915	5.393292756	2.286183879
21.34128167	5.396051374	-0.610401918	21.34128167	5.392392151	2.286431866
21.40089419	5.3856387	-0.610772686	21.40089419	5.389255008	2.2864463
21.46050671	5.3766705	-0.611204046	21.46050671	5.388591586	2.285981911
21.52011923	5.377765411	-0.61194041	21.52011923	5.389133289	2.285912822
21.57973174	5.387604498	-0.612658939	21.57973174	5.388327401	2.285772597
21.63934426	5.384603807	-0.611771391	21.63934426	5.387791665	2.286945361
21.69895678	5.391536866	-0.610132568	21.69895678	5.388494519	2.286800854
21.7585693	5.399375946	-0.609646759	21.7585693	5.392660712	2.287330175
21.81818182	5.385929715	-0.611674088	21.81818182	5.389469379	2.286472034
21.87779434	5.379994226	-0.612746117	21.87779434	5.389321149	2.286103931
21.93740686	5.360231052	-0.616246596	21.93740686	5.387006953	2.285426544
21.99701937	5.341276214	-0.613812406	21.99701937	5.388353805	2.28561206
22.05663189	5.325979865	-0.613415709	22.05663189	5.386553063	2.286371097
22.11624441	5.331147005	-0.61191764	22.11624441	5.389412728	2.286808017
22.17585693	5.327737665	-0.610699314	22.17585693	5.387519354	2.286961753
22.23546945	5.319152506	-0.610578484	22.23546945	5.386393475	2.287007554
22.29508197	5.328760061	-0.610137115	22.29508197	5.390815792	2.286887061
22.35469449	5.332839374	-0.610833713	22.35469449	5.394125525	2.286247741
22.414307	5.316275081	-0.611798852	22.414307	5.391722584	2.286022166
