"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"		
0.0307	48.4468	0.274452	-0.140681	0.00406901	-0.943718	0.173752	3.83876	0.0598235	-1.07468	-12.665	-11.7493	-13.1224	-12.512	-0.0333056	-63.4779		
0.0313	33.8274	-0.0307164	-0.140681	0.00406901	-9.48008	-0.131421	4.76798	0.0598235	-1.08081	-12.97	-12.0545	-12.9701	-12.665	-0.0333056	-63.6294		
0.032	24.6503	-0.0307164	1.07855	0.00406901	-20.1612	-0.131421	4.14342	-0.245368	-1.08081	-12.8175	-12.0545	-12.8173	-12.3595	-0.0335628	-63.9323		
0.0327	24.3835	-0.0307164	1.99298	0.00406901	-25.6734	0.173752	3.5341	0.0598235	-1.08081	-12.665	-11.4441	-12.665	-12.0545	-0.0351059	-64.2352		
0.0333	30.466	-0.0307164	1.99298	-0.301107	-24.1292	-0.131421	2.92477	0.0598235	-1.08081	-12.665	-11.7493	-12.665	-12.0545	-0.0349773	-64.2352		
0.034	40.2301	-0.0307164	2.9074	-0.301107	-18.9602	-0.131421	2.01078	0.0598235	-1.07468	-12.665	-12.2071	-13.2752	-12.512	-0.0338842	-63.4779		
0.0347	42.3643	-0.0307164	3.51702	0.00406901	-14.07	-0.131421	2.92477	0.0598235	-1.07468	-12.512	-11.7493	-13.4275	-12.97	-0.0349773	-63.175		
0.0353	28.9187	-0.335904	3.21221	0.00406901	-10.1021	-0.131421	4.44809	0.0598235	-1.07468	-12.512	-11.7493	-13.1224	-12.8175	-0.0357488	-63.4779		
0.036	7.25635	-0.335904	3.82183	-0.301107	-6.73471	-0.131421	3.22943	-0.245368	-1.08081	-12.512	-12.2071	-13.1224	-12.8175	-0.0354274	-63.4779		
0.0367	-14.9929	-0.335904	4.43145	-0.301107	-5.2119	-0.131421	1.40145	0.0598235	-1.08081	-12.665	-11.9019	-13.2752	-12.97	-0.0357488	-63.6294		
0.0373	-30.5727	-0.335904	5.04106	0.00406901	-6.43444	-0.131421	2.92477	0.0598235	-1.06854	-12.665	-11.9019	-13.4275	-13.1225	-0.036006	-63.6294		
0.038	-40.9237	-0.0307164	5.65068	0.00406901	-2.46654	-0.131421	5.68197	-0.245368	-1.07468	-12.3595	-11.9019	-13.1224	-12.97	-0.036006	-63.3265		
0.0387	-50.421	-0.0307164	3.51702	0.00406901	9.13691	0.173752	6.90063	0.0598235	-1.07468	-12.3595	-11.7493	-12.9701	-12.8175	-0.0363275	-63.3265		
0.0393	-60.772	-0.0307164	1.68817	0.00406901	6.69182	0.173752	7.81462	0.0598235	-1.07468	-12.8175	-11.5967	-13.2752	-12.97	-0.0369705	-63.4779		
0.04	-71.4431	-0.0307164	-1.05511	0.00406901	-12.8474	-0.131421	8.11928	0.0598235	-1.07468	-13.2751	-11.7493	-13.4275	-12.97	-0.0369705	-63.4779		
0.0407	-78.486	0.274452	-6.2603	0.309245	-22.0058	0.173752	7.20529	0.0598235	-1.08081	-13.1225	-12.2071	-13.2752	-12.97	-0.0369705	-63.6294		
0.0413	-80.9404	-0.0307164	-8.08915	0.00406901	-18.6384	0.173752	5.07265	-0.245368	-1.07468	-12.97	-12.2071	-12.9701	-12.97	-0.0367776	-63.6294		
0.042	-81.8474	-0.0307164	-4.43145	0.00406901	-18.0379	-0.131421	3.83876	0.0598235	-1.07468	-13.1225	-12.3596	-13.2752	-13.2751	-0.0365204	-63.0236		
0.0427	-83.6615	-0.0307164	-1.05511	0.00406901	-16.1933	-0.131421	4.76798	0.0598235	-1.08081	-13.4276	-12.8174	-14.1905	-13.5805	-0.0369705	-62.2663		
0.0433	-61.679	-0.0307164	-1.68817	0.00406901	-7.65698	0.173752	3.5341	0.0598235	-1.07468	-13.1225	-12.3596	-13.5803	-13.1225	-0.0374206	-62.7207		
0.044	-15.6332	-0.0307164	-2.6026	0.00406901	0.5791	-0.131421	-0.426529	0.0598235	-1.07468	-12.97	-12.0545	-13.2752	-13.1225	-0.037742	-63.7808		
0.0447	8.48353	-0.0307164	-0.140681	0.00406901	0.5791	-0.131421	-1.94985	-0.245368	-1.07468	-13.1225	-12.2071	-13.7331	-13.5805	-0.0386422	-64.2352		
0.0453	-0.640267	-0.335904	1.68817	0.00406901	4.24673	-0.436594	-1.94985	-0.245368	-1.07468	-12.97	-11.7493	-13.2752	-12.665	-0.0387708	-64.0837		
0.046	-20.8087	-0.335904	-0.445489	-0.301107	17.6733	-0.131421	-1.03586	-0.245368	-1.07468	-12.8175	-12.0545	-13.1224	-12.512	-0.0383207	-63.6294		
0.0467	-38.2026	-0.0307164	-5.34587	0.00406901	23.164	-0.131421	-0.121865	0.0598235	-1.07468	-12.512	-11.7493	-13.2752	-12.97	-0.0384493	-63.3265		
0.0473	-31.7999	0.274452	-7.17472	0.309245	19.8181	0.173752	-3.77783	0.364995	-1.07468	-12.512	-10.8338	-12.9701	-13.2751	-0.0390923	-63.3265		
0.048	7.89662	-0.0307164	-3.51702	0.00406901	17.6733	-0.131421	-8.97234	0.0598235	-1.07468	-12.665	-11.5967	-12.9701	-13.4276	-0.0396709	-63.9323		
0.0487	39.9099	-0.0307164	0.164128	0.00406901	17.0513	0.173752	-9.58166	0.0598235	-1.07468	-12.512	-12.0545	-13.2752	-12.8175	-0.0394137	-63.9323		
0.0493	28.9187	0.274452	-0.750298	0.309245	14.6276	0.173752	-7.75368	0.0598235	-1.07468	-12.512	-11.7493	-13.1224	-12.665	-0.0389637	-63.3265		
0.05	16.4335	0.274452	-1.68817	0.00406901	10.96	0.173752	-8.05835	0.0598235	-1.07468	-12.97	-11.7493	-13.1224	-13.1225	-0.0392209	-63.3265		
