Bump_2			mass_A		
t	x	y	t	x	y
4.053651267	36.61315303	-0.961442559	4.053651267	6.491272179	3.066775601
4.113263785	36.62869733	-0.959437521	4.113263785	6.491412999	3.066457052
4.172876304	36.63070586	-0.959898951	4.172876304	6.49144218	3.066172961
4.232488823	36.63631734	-0.958664439	4.232488823	6.48845532	3.066583783
4.292101341	36.62894635	-0.95821195	4.292101341	6.487261716	3.066618779
4.35171386	36.61347551	-0.958247163	4.35171386	6.48512273	3.067147493
4.411326379	36.57429942	-0.965547268	4.411326379	6.483266387	3.06721011
4.470938897	36.48014558	-0.978216811	4.470938897	6.48087736	3.066890116
4.530551416	36.41055679	-0.977323186	4.530551416	6.482471708	3.067064303
4.590163934	36.40836488	-0.976727054	4.590163934	6.48409073	3.067423242
4.649776453	36.43567098	-0.98374403	4.649776453	6.464076742	3.066583886
4.709388972	36.47483963	-0.98548246	4.709388972	6.455505724	3.06717138
4.76900149	36.48226706	-0.977113342	4.76900149	6.45701859	3.06722789
4.828614009	36.48022335	-0.971165653	4.828614009	6.472307019	3.067913272
4.888226528	36.47284785	-0.966861548	4.888226528	6.476805912	3.067181204
4.947839046	36.47903711	-0.96922474	4.947839046	6.476667569	3.066506531
5.007451565	36.47805746	-0.972125737	5.007451565	6.4669575	3.066985863
5.067064083	36.46878102	-0.971450669	5.067064083	6.471561626	3.065053598
5.126676602	36.47497789	-0.973017629	5.126676602	6.471440909	3.065568431
5.186289121	36.47315116	-0.972321547	5.186289121	6.473124706	3.06636904
5.245901639	36.46821968	-0.96738232	5.245901639	6.46673381	3.067112235
5.305514158	36.4665683	-0.964895379	5.305514158	6.463735385	3.066861259
5.365126677	36.45960613	-0.963932425	5.365126677	6.460566009	3.06458453
5.424739195	36.45705601	-0.965030525	5.424739195	6.474890023	3.064935549
5.484351714	36.44735169	-0.968124437	5.484351714	6.450996312	3.063835898
5.543964232	36.43884042	-0.969221034	5.543964232	6.465280912	3.064274067
5.603576751	36.44997237	-0.967841019	5.603576751	6.486107128	3.066117553
5.66318927	36.45023634	-0.963215109	5.66318927	6.488031037	3.06804721
5.722801788	36.43733501	-0.961137292	5.722801788	6.466035522	3.065459078
5.782414307	36.40975301	-0.963348101	5.782414307	6.469405927	3.06561211
5.842026826	36.35886958	-0.965540824	5.842026826	6.469770338	3.066136233
