Calc			ExtMArker		
t	x	y	t	x	y
1.907600596	98.09764993	-2.805480149	1.907600596	42.7745001	17.08591767
1.967213115	98.13275428	-2.834477912	1.967213115	42.77715328	17.0848905
2.026825633	98.17813864	-2.880981136	2.026825633	42.76362187	17.0846483
2.086438152	98.20739776	-2.88746631	2.086438152	42.76620854	17.08545136
2.146050671	98.2066922	-2.879244165	2.146050671	42.75507916	17.08568176
2.205663189	98.09593782	-2.9355624	2.205663189	42.75965896	17.08595893
2.265275708	98.15022665	-3.020397574	2.265275708	42.76147867	17.08422558
2.324888227	98.22868544	-3.04209028	2.324888227	42.76919521	17.08485883
2.384500745	98.26784515	-3.039931454	2.384500745	42.77979922	17.08422579
2.444113264	98.37493183	-3.060822884	2.444113264	42.78707152	17.08356596
2.503725782	98.50438217	-3.067343825	2.503725782	42.78582953	17.08430153
2.563338301	98.63760193	-3.091249369	2.563338301	42.80120851	17.08421728
2.62295082	98.53025027	-3.189495798	2.62295082	42.79388886	17.08329202
2.682563338	98.57119755	-3.248759802	2.682563338	42.78888208	17.08335697
2.742175857	98.60564332	-3.259889926	2.742175857	42.78577029	17.08476773
2.801788376	98.65925374	-3.278856043	2.801788376	42.78980762	17.08474597
2.861400894	98.69560675	-3.304000491	2.861400894	42.80231045	17.08430479
2.921013413	98.70802698	-3.312703514	2.921013413	42.80287377	17.08490093
2.980625931	98.65530391	-3.304734519	2.980625931	42.79229422	17.08381309
3.04023845	98.63236806	-3.305181873	3.04023845	42.7953903	17.08276549
3.099850969	98.62041477	-3.317387	3.099850969	42.79485263	17.08119254
3.159463487	98.44560419	-3.297671171	3.159463487	42.78174617	17.08032016
3.219076006	98.29790031	-3.283298186	3.219076006	42.78188438	17.08106503
3.278688525	98.27513618	-3.273728301	3.278688525	42.77420818	17.08237521
3.338301043	98.26781426	-3.268516862	3.338301043	42.77455299	17.08251873
3.397913562	98.29033255	-3.2683177	3.397913562	42.77198002	17.08299986
3.45752608	98.33239331	-3.272966653	3.45752608	42.78183657	17.08392373
3.517138599	98.38435661	-3.282587724	3.517138599	42.77775598	17.08434552
3.576751118	98.41690954	-3.29073997	3.576751118	42.77519064	17.08421166
3.636363636	98.453551	-3.299460888	3.636363636	42.77322485	17.08488539
3.695976155	98.45080786	-3.298035452	3.695976155	42.77490417	17.08457972
3.755588674	98.44831719	-3.280249635	3.755588674	42.77232271	17.0849209
3.815201192	98.51843266	-3.279423896	3.815201192	42.77142055	17.08502367
3.874813711	98.62334308	-3.292985963	3.874813711	42.77551121	17.08482957
3.93442623	98.66746052	-3.296551072	3.93442623	42.78049582	17.08450906
3.994038748	98.68652247	-3.314951596	3.994038748	42.78250246	17.08434703
4.053651267	98.6986779	-3.30765734	4.053651267	42.77378532	17.08454686
4.113263785	98.59818457	-3.2735357	4.113263785	42.77538732	17.08443163
4.172876304	98.41006849	-3.272851592	4.172876304	42.77220617	17.08346089
4.232488823	98.25737036	-3.263338524	4.232488823	42.76440502	17.083107
4.292101341	98.18654514	-3.260521743	4.292101341	42.76585195	17.08384136
4.35171386	98.14328585	-3.23822467	4.35171386	42.76086111	17.08510918
4.411326379	98.13598078	-3.221085906	4.411326379	42.75785117	17.08523644
4.470938897	98.11826805	-3.214974	4.470938897	42.76052239	17.08629495
4.530551416	98.12615005	-3.224417077	4.530551416	42.75200916	17.08519555
4.590163934	98.11336357	-3.238082462	4.590163934	42.76644137	17.08568233
4.649776453	98.09714207	-3.2265933	4.649776453	42.76161819	17.08586759
4.709388972	98.07455145	-3.224459111	4.709388972	42.75611646	17.08555443
4.76900149	98.07285972	-3.235263266	4.76900149	42.74876886	17.08522521
4.828614009	98.0838836	-3.222283365	4.828614009	42.75124387	17.08550581
4.888226528	98.08152601	-3.227324496	4.888226528	42.74989349	17.08604973
4.947839046	98.08218171	-3.257513622	4.947839046	42.75221028	17.08580239
5.007451565	98.08808767	-3.257993037	5.007451565	42.75879088	17.0856831
5.067064083	98.10182824	-3.264519895	5.067064083	42.76272963	17.08490784
5.126676602	98.07381579	-3.263125849	5.126676602	42.75161401	17.08530754
5.186289121	98.05427539	-3.249999917	5.186289121	42.74494458	17.08474583
