mass_B			mass_A		
t	x	y	t	x	y
5.179593961	6.810414427	0	5.179593961	41.16545834	0
5.205622072	6.692489202	0	5.205622072	41.16619088	0
5.231650182	6.704215501	0	5.231650182	41.1670165	0
5.257678293	6.695226447	0	5.257678293	41.16992686	0
5.283706403	6.628366821	0	5.283706403	41.16868903	0
5.309734513	6.62517459	0	5.309734513	41.16972781	0
5.335762624	6.629462168	0	5.335762624	41.17012843	0
5.361790734	6.652188239	0	5.361790734	41.16967764	0
5.387818844	6.628806928	0	5.387818844	41.17075973	0
5.413846955	6.608117704	0	5.413846955	41.17006848	0
5.439875065	6.571951926	0	5.439875065	41.17018776	0
5.465903175	6.548414517	0	5.465903175	41.16994241	0
5.491931286	6.499333663	0	5.491931286	41.17077128	0
5.517959396	6.490816597	0	5.517959396	41.16912243	0
5.543987507	6.483251749	0	5.543987507	41.17039411	0
5.570015617	6.490849377	0	5.570015617	41.17136325	0
5.596043727	6.499250213	0	5.596043727	41.17095898	0
5.622071838	6.494897808	0	5.622071838	41.17077554	0
5.648099948	6.481140511	0	5.648099948	41.17124922	0
5.674128058	6.468860087	0	5.674128058	41.17034442	0
5.700156169	6.476627533	0	5.700156169	41.17033835	0
5.726184279	6.450130931	0	5.726184279	41.16895129	0
5.752212389	6.41569505	0	5.752212389	41.16974003	0
5.7782405	6.373547291	0	5.7782405	41.16720124	0
5.80426861	6.28251247	0	5.80426861	41.16451902	0
5.83029672	6.274866947	0	5.83029672	41.16659449	0
5.856324831	6.316503039	0	5.856324831	41.17020618	0
5.882352941	6.299804906	0	5.882352941	41.16828516	0
5.908381052	6.265805448	0	5.908381052	41.16806497	0
5.934409162	6.260060491	0	5.934409162	41.16861651	0
5.960437272	6.221525619	0	5.960437272	41.16556041	0
5.986465383	6.193532402	0	5.986465383	41.16759721	0
6.012493493	6.187787603	0	6.012493493	41.16870864	0
6.038521603	6.211056975	0	6.038521603	41.1707232	0
6.064549714	6.199893536	0	6.064549714	41.17049337	0
6.090577824	6.190394996	0	6.090577824	41.16961185	0
6.116605934	6.190949996	0	6.116605934	41.17152423	0
6.142634045	6.202745011	0	6.142634045	41.17257691	0
6.168662155	6.202580773	0	6.168662155	41.1735483	0
6.194690265	6.19436763	0	6.194690265	41.17351248	0
6.220718376	6.184252862	0	6.220718376	41.17323374	0
6.246746486	6.194967093	0	6.246746486	41.17244956	0
6.272774597	6.202549361	0	6.272774597	41.17173184	0
6.298802707	6.221121256	0	6.298802707	41.17385996	0
6.324830817	6.223237873	0	6.324830817	41.17281935	0
6.350858928	6.214516643	0	6.350858928	41.1733597	0
6.376887038	6.208853111	0	6.376887038	41.17329933	0
6.402915148	6.20754675	0	6.402915148	41.17322343	0
6.428943259	6.208088681	0	6.428943259	41.1721824	0
6.454971369	6.22051177	0	6.454971369	41.17294839	0
6.480999479	6.217909181	0	6.480999479	41.17212546	0
6.50702759	6.203778636	0	6.50702759	41.17203889	0
6.5330557	6.210218277	0	6.5330557	41.17132845	0
6.559083811	6.297614047	0	6.559083811	41.1753788	0
6.585111921	6.313935925	0	6.585111921	41.17819793	0
6.611140031	6.367498518	0	6.611140031	41.17739576	0
6.637168142	6.390896935	0	6.637168142	41.17517122	0
6.663196252	6.615972638	0	6.663196252	41.18008192	0
6.689224362	6.914079968	0	6.689224362	41.18353309	0
6.715252473	7.007883897	0	6.715252473	41.18269347	0
6.741280583	7.212837979	0	6.741280583	41.17694684	0
6.767308693	7.515606118	0	6.767308693	41.1826414	0
6.793336804	8.081106648	0	6.793336804	41.17338667	0
6.819364914	8.303151197	0	6.819364914	41.16663396	0
6.845393024	8.488326446	0	6.845393024	41.15980784	0
6.871421135	8.908574125	0	6.871421135	41.15975031	0
6.897449245	9.289031937	0	6.897449245	41.16332181	0
6.923477356	10.04344243	0	6.923477356	41.1821846	0
6.949505466	10.15629059	0	6.949505466	41.18163514	0
