GMfasSUPMMM3			GMfasEXTMMM		
t	x	y	t	x	y
4.807692308	13.71584988	20.24938181	4.80769230800	22.21381121000	26.05546417000
4.862953139	13.67509158	20.24376244	4.86295313900	22.20906502000	26.05461083000
4.91821397	13.65721176	20.2449293	4.91821397000	22.21306452000	26.05605759000
4.973474801	13.66882948	20.25098882	4.97347480100	22.21361429000	26.05501629000
5.028735632	13.66112326	20.25297501	5.02873563200	22.21776014000	26.05512203000
5.083996463	13.65678009	20.24672265	5.08399646300	22.21359132000	26.05490775000
5.139257294	13.64378595	20.24546372	5.13925729400	22.21239587000	26.05589510000
5.194518126	13.63974186	20.24863675	5.19451812600	22.21437439000	26.05610917000
5.249778957	13.63495052	20.2497652	5.24977895700	22.20961093000	26.05633302000
5.305039788	13.64568857	20.25064131	5.30503978800	22.20809460000	26.05745606000
5.360300619	13.6355524	20.25135356	5.36030061900	22.20745519000	26.05677750000
5.41556145	13.64958179	20.25485033	5.41556145000	22.20916584000	26.05722714000
5.470822281	13.65725524	20.25613039	5.47082228100	22.20724372000	26.05756280000
5.526083112	13.65032046	20.2581306	5.52608311200	22.21088730000	26.05775043000
5.581343943	13.67627287	20.26069706	5.58134394300	22.21182168000	26.05748306000
5.636604775	13.64978396	20.25827053	5.63660477500	22.21044106000	26.05817644000
5.691865606	13.62909205	20.25694451	5.69186560600	22.20944369000	26.05771794000
5.747126437	13.63921446	20.25774101	5.74712643700	22.21394703000	26.05812791000
5.802387268	13.65919652	20.26538854	5.80238726800	22.21056961000	26.05869913000
5.857648099	13.67423498	20.2694537	5.85764809900	22.21047184000	26.05850360000
5.91290893	13.70348108	20.27036207	5.91290893000	22.21272625000	26.05929564000
5.968169761	13.69537	20.26832014	5.96816976100	22.20944877000	26.05936596000
6.023430592	13.77965219	20.26689978	6.02343059200	22.20952163000	26.05926555000
6.078691424	13.79367144	20.26372578	6.07869142400	22.21416483000	26.05987825000
6.133952255	13.80434014	20.26052969	6.13395225500	22.21217020000	26.06078940000
6.189213086	13.87926261	20.2667078	6.18921308600	22.21215078000	26.06065500000
6.244473917	13.87570935	20.26315338	6.24447391700	22.21284100000	26.06049727000
6.299734748	13.86982035	20.26306261	6.29973474800	22.21082360000	26.06190649000
6.354995579	13.8611357	20.2622994	6.35499557900	22.21251573000	26.06100688000
6.41025641	13.86755773	20.26129002	6.41025641000	22.21429915000	26.06159025000
6.465517241	13.8455465	20.25539327	6.46551724100	22.21513053000	26.06210300000
6.520778073	13.83185471	20.25785393	6.52077807300	22.21053228000	26.06232817000
6.576038904	13.82593016	20.25786163	6.57603890400	22.21231675000	26.06400197000
6.631299735	13.80608242	20.25455261	6.63129973500	22.21029413000	26.06278901000
6.686560566	13.78049537	20.25438023	6.68656056600	22.21461039000	26.06409022000
6.741821397	13.75266642	20.25417597	6.74182139700	22.21099727000	26.06298450000
6.797082228	13.73407886	20.25284646	6.79708222800	22.21121373000	26.06393128000
6.852343059	13.71155803	20.25212915	6.85234305900	22.21180489000	26.06227851000
6.90760389	13.6972916	20.2526127	6.90760389000	22.20995303000	26.06314033000
6.962864721	13.74537588	20.25499862	6.96286472100	22.21417145000	26.06261847000
7.018125553	13.74502821	20.25298004	7.01812555300	22.21317724000	26.06248765000
7.073386384	13.73084061	20.25417684	7.07338638400	22.21797618000	26.06234973000
7.128647215	13.65292397	20.26062638	7.12864721500	22.21706088000	26.06217606000
7.183908046	13.60279299	20.25731072	7.18390804600	22.21103762000	26.06228706000
7.239168877	13.61954801	20.25960828	7.23916887700	22.20318999000	26.06123368000
7.294429708	13.61336761	20.26262285	7.29442970800	22.20080894000	26.06166488000
7.349690539	13.6407851	20.26469813	7.34969053900	22.20791402000	26.06140976000
7.40495137	13.64803216	20.26608894	7.40495137000	22.20705492000	26.06088979000
7.460212202	13.64271522	20.26558911	7.46021220200	22.20512958000	26.06186826000
7.515473033	13.63455578	20.26713017	7.51547303300	22.20833104000	26.06284351000
7.570733864	13.63879247	20.26861304	7.57073386400	22.20832854000	26.06242030000
7.625994695	13.64018518	20.26560294	7.62599469500	22.20300851000	26.06246470000
7.681255526	13.64227873	20.26559316	7.68125552600	22.20003736000	26.06167660000
7.736516357	13.67435908	20.27102648	7.73651635700	22.20494144000	26.06296345000
7.791777188	13.66291133	20.2709574	7.79177718800	22.20454113000	26.06236422000
7.847038019	13.65858863	20.26735004	7.84703801900	22.20559770000	26.06303838000
7.902298851	13.65289289	20.2640047	7.90229885100	22.19952262000	26.06317668000
7.957559682	13.64581241	20.27009854	7.95755968200	22.20255343000	26.06253851000
8.012820513	13.62119768	20.26261549	8.01282051300	22.19701639000	26.06266183000
8.068081344	13.63639917	20.27294818	8.06808134400	22.19208589000	26.06253642000
8.123342175	13.64223427	20.27476012	8.12334217500	22.19373575000	26.06247320000
8.178603006	13.67281097	20.27739619	8.17860300600	22.19345544000	26.06272911000
8.233863837	13.65068381	20.27453083	8.23386383700	22.19565888000	26.06276038000
8.289124668	13.64864478	20.27254048	8.28912466800	22.19566142000	26.06255902000
8.3443855	13.65394474	20.2774714	8.34438550000	22.18756363000	26.06286045000
8.399646331	13.67822346	20.28060118	8.39964633100	22.18923734000	26.06216513000
8.454907162	13.69004138	20.27864587	8.45490716200	22.19047059000	26.06112614000
8.510167993	13.72405061	20.27603036	8.51016799300	22.18864680000	26.06071222000
8.565428824	13.84026549	20.27467984	8.56542882400	22.19742039000	26.06074829000
8.620689655	13.91423889	20.27545762	8.62068965500	22.19123248000	26.06214144000
8.675950486	13.90826219	20.26706338	8.67595048600	22.18177412000	26.06155607000
8.731211317	13.95649505	20.26725537	8.73121131700	22.18645863000	26.06221695000
8.786472149	13.96003225	20.26314166	8.78647214900	22.18116679000	26.06181212000
8.84173298	13.96112598	20.26220918	8.84173298000	22.17398180000	26.06176808000
8.896993811	13.99402878	20.26074612	8.89699381100	22.18551396000	26.06159062000
8.952254642	14.01758123	20.25845726	8.95225464200	22.17851599000	26.06142771000
9.007515473	14.02468186	20.25710057	9.00751547300	22.17911683000	26.06172200000
9.062776304	14.02041457	20.2563104	9.06277630400	22.18859715000	26.06209398000
9.118037135	14.01338085	20.25900305	9.11803713500	22.17948777000	26.06119899000
