mass_C			mass_A		
t	x	y	t	x	y
2.524328675	40.28356225	0	2.524328675	19.64727036	0
2.542620912	40.28463365	0	2.542620912	19.64876753	0
2.560913148	40.28645482	0	2.560913148	19.65187269	0
2.579205385	40.28631492	0	2.579205385	19.65045923	0
2.597497622	40.28752994	0	2.597497622	19.65115873	0
2.615789859	40.28594568	0	2.615789859	19.6492931	0
2.634082096	40.28126851	0	2.634082096	19.6463991	0
2.652374332	40.27631694	0	2.652374332	19.64365166	0
2.670666569	40.27164209	0	2.670666569	19.6412683	0
2.688958806	40.2633772	0	2.688958806	19.64217838	0
2.707251043	40.27464183	0	2.707251043	19.64538406	0
2.725543279	40.28238203	0	2.725543279	19.64933627	0
2.743835516	40.2896101	0	2.743835516	19.65274965	0
2.762127753	40.29641175	0	2.762127753	19.65803646	0
2.78041999	40.2959152	0	2.78041999	19.65603619	0
2.798712227	40.29421097	0	2.798712227	19.6548576	0
2.817004463	40.29347016	0	2.817004463	19.65455834	0
2.8352967	40.29969269	0	2.8352967	19.65716191	0
2.853588937	40.317978	0	2.853588937	19.66784601	0
2.871881174	40.34928791	0	2.871881174	19.66777139	0
2.89017341	40.42984041	0	2.89017341	19.68260538	0
2.908465647	40.44562999	0	2.908465647	19.67148989	0
2.926757884	40.42748041	0	2.926757884	19.65689513	0
2.945050121	40.42399507	0	2.945050121	19.65159184	0
2.963342358	40.42298592	0	2.963342358	19.64589267	0
2.981634594	40.4293264	0	2.981634594	19.65153299	0
2.999926831	40.43518958	0	2.999926831	19.6525825	0
3.018219068	40.43499472	0	3.018219068	19.65460304	0
3.036511305	40.43523682	0	3.036511305	19.65050983	0
3.054803541	40.43253291	0	3.054803541	19.65009716	0
3.073095778	40.43089704	0	3.073095778	19.64816517	0
3.091388015	40.43255231	0	3.091388015	19.64867988	0
3.109680252	40.43422704	0	3.109680252	19.65173978	0
3.127972488	40.43901331	0	3.127972488	19.65424423	0
3.146264725	40.44384737	0	3.146264725	19.65523134	0
3.164556962	40.44213743	0	3.164556962	19.65495425	0
