mass_B			mass_A		
t	x	y	t	x	y
3.4297531	34.9462342	0.0000000	3.4297531	13.0768637	0.0000000
3.4549719	34.9226846	0.0000000	3.4549719	13.0752447	0.0000000
3.4801907	34.8655766	0.0000000	3.4801907	13.0783158	0.0000000
3.5054094	34.8217000	0.0000000	3.5054094	13.0822184	0.0000000
3.5306282	34.8278932	0.0000000	3.5306282	13.0773060	0.0000000
3.5558470	34.8149671	0.0000000	3.5558470	13.0850267	0.0000000
3.5810657	34.8122499	0.0000000	3.5810657	13.0915366	0.0000000
3.6062845	34.8107464	0.0000000	3.6062845	13.0929155	0.0000000
3.6315033	34.8062447	0.0000000	3.6315033	13.0951322	0.0000000
3.6567221	34.7853125	0.0000000	3.6567221	13.0908172	0.0000000
3.6819408	34.7883032	0.0000000	3.6819408	13.0936248	0.0000000
3.7071596	34.7797390	0.0000000	3.7071596	13.0935083	0.0000000
3.7323784	34.6755784	0.0000000	3.7323784	13.0786817	0.0000000
3.7575972	34.6590258	0.0000000	3.7575972	13.0828908	0.0000000
3.7828159	34.6615239	0.0000000	3.7828159	13.0697258	0.0000000
3.8080347	34.5491965	0.0000000	3.8080347	13.0389689	0.0000000
3.8332535	34.5164934	0.0000000	3.8332535	13.0121099	0.0000000
3.8584722	34.4287093	0.0000000	3.8584722	12.9963041	0.0000000
3.8836910	34.3111630	0.0000000	3.8836910	12.9762898	0.0000000
3.9089098	34.2769345	0.0000000	3.9089098	12.9691784	0.0000000
3.9341286	34.2369669	0.0000000	3.9341286	12.9505992	0.0000000
3.9593473	34.1793964	0.0000000	3.9593473	12.9443985	0.0000000
3.9845661	34.1339681	0.0000000	3.9845661	12.9449947	0.0000000
4.0097849	34.0766626	0.0000000	4.0097849	12.9355694	0.0000000
4.0350037	33.9831786	0.0000000	4.0350037	12.9142562	0.0000000
4.0602224	33.9625841	0.0000000	4.0602224	12.8955222	0.0000000
4.0854412	33.9270016	0.0000000	4.0854412	12.8818953	0.0000000
4.1106600	33.8567946	0.0000000	4.1106600	12.8609687	0.0000000
4.1358787	33.8511032	0.0000000	4.1358787	12.8635846	0.0000000
4.1610975	33.8196722	0.0000000	4.1610975	12.8589809	0.0000000
4.1863163	33.7890115	0.0000000	4.1863163	12.8600282	0.0000000
4.2115351	33.7768711	0.0000000	4.2115351	12.8591160	0.0000000
4.2367538	33.7740869	0.0000000	4.2367538	12.8649321	0.0000000
4.2619726	33.7838105	0.0000000	4.2619726	12.8645614	0.0000000
4.2871914	33.7345167	0.0000000	4.2871914	12.8528302	0.0000000
4.3124102	33.6716635	0.0000000	4.3124102	12.8451146	0.0000000
4.3376289	33.6208476	0.0000000	4.3376289	12.8444644	0.0000000
4.3628477	33.5780770	0.0000000	4.3628477	12.8467742	0.0000000
4.3880665	33.5683631	0.0000000	4.3880665	12.8503978	0.0000000
4.4132853	33.5541670	0.0000000	4.4132853	12.8542223	0.0000000
4.4385040	33.5181877	0.0000000	4.4385040	12.8543308	0.0000000
4.4637228	33.4884620	0.0000000	4.4637228	12.8569807	0.0000000
4.4889416	33.4493257	0.0000000	4.4889416	12.8719708	0.0000000
4.5141603	33.4360570	0.0000000	4.5141603	12.8728191	0.0000000
4.5393791	33.3894751	0.0000000	4.5393791	12.8716737	0.0000000
4.5645979	33.3466155	0.0000000	4.5645979	12.8711358	0.0000000
4.5898167	33.2875818	0.0000000	4.5898167	12.8624728	0.0000000
4.6150354	33.1975500	0.0000000	4.6150354	12.8623184	0.0000000
4.6402542	33.1745772	0.0000000	4.6402542	12.8651282	0.0000000
4.6654730	33.1150469	0.0000000	4.6654730	12.8642216	0.0000000
4.6906918	33.0899427	0.0000000	4.6906918	12.8674409	0.0000000
4.7159105	33.0719406	0.0000000	4.7159105	12.8701664	0.0000000
4.7411293	33.0653617	0.0000000	4.7411293	12.8705064	0.0000000
4.7663481	33.0616804	0.0000000	4.7663481	12.8724321	0.0000000
4.7915668	33.0606757	0.0000000	4.7915668	12.8768149	0.0000000
4.8167856	33.0646048	0.0000000	4.8167856	12.8756039	0.0000000
4.8420044	33.0664602	0.0000000	4.8420044	12.8836560	0.0000000
4.8672232	33.0639858	0.0000000	4.8672232	12.8804504	0.0000000
4.8924419	33.0554745	0.0000000	4.8924419	12.8754483	0.0000000
4.9176607	33.0503389	0.0000000	4.9176607	12.8726574	0.0000000
4.9428795	33.0513337	0.0000000	4.9428795	12.8721669	0.0000000
4.9680983	33.0542894	0.0000000	4.9680983	12.8714511	0.0000000
4.9933170	33.0611103	0.0000000	4.9933170	12.8744138	0.0000000
5.0185358	33.0644126	0.0000000	5.0185358	12.8743631	0.0000000
5.0437546	33.0656207	0.0000000	5.0437546	12.8722701	0.0000000
5.0689733	33.0687648	0.0000000	5.0689733	12.8737540	0.0000000
5.0941921	33.0729321	0.0000000	5.0941921	12.8747844	0.0000000
5.1194109	33.0782736	0.0000000	5.1194109	12.8781049	0.0000000
5.1446297	33.0800034	0.0000000	5.1446297	12.8792503	0.0000000
5.1698484	33.0814770	0.0000000	5.1698484	12.8817163	0.0000000
5.1950672	33.0830342	0.0000000	5.1950672	12.8826332	0.0000000
5.2202860	33.0832890	0.0000000	5.2202860	12.8821908	0.0000000
5.2455048	33.0888475	0.0000000	5.2455048	12.8833192	0.0000000
5.2707235	33.0837163	0.0000000	5.2707235	12.8828624	0.0000000
5.2959423	33.0819736	0.0000000	5.2959423	12.8768213	0.0000000
5.3211611	33.0955181	0.0000000	5.3211611	12.8790172	0.0000000
5.3463798	33.0926611	0.0000000	5.3463798	12.8779966	0.0000000
5.3715986	33.1063544	0.0000000	5.3715986	12.8776956	0.0000000
5.3968174	33.1010526	0.0000000	5.3968174	12.8816323	0.0000000
5.4220362	33.0937554	0.0000000	5.4220362	12.8776541	0.0000000
5.4472549	33.0972011	0.0000000	5.4472549	12.8775173	0.0000000
5.4724737	33.0942280	0.0000000	5.4724737	12.8791835	0.0000000
5.4976925	33.0897730	0.0000000	5.4976925	12.8811123	0.0000000
5.5229113	33.0800906	0.0000000	5.5229113	12.8789782	0.0000000
5.5481300	33.0744969	0.0000000	5.5481300	12.8763580	0.0000000
5.5733488	33.0784967	0.0000000	5.5733488	12.8805380	0.0000000
5.5985676	33.0842809	0.0000000	5.5985676	12.8805551	0.0000000
