mass_C			extMMM		
t	x	y	t	x	y
2.3654939860	11.2831892100	-0.4667744279	2.3654939860	36.6840246200	5.1547316570
2.3906588150	11.2069357600	-0.4641814730	2.3906588150	36.6807672600	5.1545718590
2.4158236450	11.1919337900	-0.4648449146	2.4158236450	36.6846421400	5.1545321510
2.4409884750	11.1553426800	-0.4701747844	2.4409884750	36.6797011100	5.1543546650
2.4661533040	11.1037382400	-0.4723277759	2.4661533040	36.6763643400	5.1541915330
2.4913181340	10.9998981000	-0.4662121743	2.4913181340	36.6768269900	5.1546710110
2.5164829630	10.9874817900	-0.4671353011	2.5164829630	36.6787505600	5.1542347710
2.5416477930	10.9567688500	-0.4718124995	2.5416477930	36.6772334000	5.1542351650
2.5668126230	10.9020094200	-0.4662693710	2.5668126230	36.6715703000	5.1541109710
2.5919774520	10.8590479000	-0.4708067047	2.5919774520	36.6750423700	5.1540546650
2.6171422820	10.7980691300	-0.4718416829	2.6171422820	36.6791356500	5.1538380730
2.6423071120	10.7576446000	-0.4677908921	2.6423071120	36.6785573400	5.1537167650
2.6674719410	10.6633615700	-0.4618266777	2.6674719410	36.6783366900	5.1536111950
2.6926367710	10.6462420200	-0.4712697578	2.6926367710	36.6767985900	5.1536079440
2.7178016000	10.6123186200	-0.4687244945	2.7178016000	36.6779187000	5.1533665620
2.7429664300	10.5855912600	-0.4681481659	2.7429664300	36.6786194800	5.1533993640
2.7681312600	10.4945401800	-0.4723536360	2.7681312600	36.6747958200	5.1534012970
2.7932960890	10.4714439700	-0.4721370661	2.7932960890	36.6766058300	5.1534287600
2.8184609190	10.4497708700	-0.4698486996	2.8184609190	36.6755393200	5.1523306680
2.8436257490	10.3733641600	-0.4722284086	2.8436257490	36.6732160200	5.1525072210
2.8687905780	10.3580439100	-0.4771947103	2.8687905780	36.6742344300	5.1525192880
2.8939554080	10.2797005400	-0.4759994433	2.8939554080	36.6691887400	5.1528450150
2.9191202380	10.2373965000	-0.4751926386	2.9191202380	36.6664240000	5.1527654220
2.9442850670	10.1943503400	-0.4783735500	2.9442850670	36.6622429400	5.1528614660
2.9694498970	10.1628977200	-0.4770322435	2.9694498970	36.6591672300	5.1526707880
2.9946147260	10.1520305800	-0.4762608925	2.9946147260	36.6580339200	5.1525569750
3.0197795560	10.1163788400	-0.4783374267	3.0197795560	36.6540577800	5.1529909720
3.0449443860	10.0351100800	-0.4802175754	3.0449443860	36.6505499200	5.1517169150
3.0701092150	10.0097262100	-0.4798371057	3.0701092150	36.6524146200	5.1519541080
3.0952740450	9.9883149200	-0.4797372890	3.0952740450	36.6490521600	5.1516821610
3.1204388750	9.9706136670	-0.4811499540	3.1204388750	36.6497401800	5.1511042880
3.1456037040	9.9250303530	-0.4788987829	3.1456037040	36.6483459900	5.1511052380
3.1707685340	9.8775545950	-0.4770851433	3.1707685340	36.6425896600	5.1503335750
3.1959333640	9.8530868670	-0.4760821452	3.1959333640	36.6396310200	5.1500881620
3.2210981930	9.8333397670	-0.4775087059	3.2210981930	36.6400218500	5.1501686240
3.2462630230	9.7572628920	-0.4764570351	3.2462630230	36.6298018000	5.1484979840
3.2714278520	9.6639692630	-0.4746156321	3.2714278520	36.6140728700	5.1482782460
3.2965926820	9.6191731960	-0.4733305224	3.2965926820	36.6060206900	5.1478184310
3.3217575120	9.5825766480	-0.4745426248	3.3217575120	36.5945436900	5.1486738000
3.3469223410	9.5565666310	-0.4744162819	3.3469223410	36.5916167700	5.1487913390
3.3720871710	9.5365886080	-0.4739807021	3.3720871710	36.5908062100	5.1495499480
3.3972520010	9.5135074390	-0.4759705664	3.3972520010	36.5931957300	5.1495341070
3.4224168300	9.4756965650	-0.4761749925	3.4224168300	36.5905807900	5.1496635850
3.4475816600	9.4383406130	-0.4769974958	3.4475816600	36.5966925700	5.1491641550
3.4727464900	9.3913476370	-0.4779258974	3.4727464900	36.5925018400	5.1499461280
3.4979113190	9.3661086700	-0.4796466474	3.4979113190	36.5890025200	5.1502490380
3.5230761490	9.3006944560	-0.4801450029	3.5230761490	36.5845986000	5.1505755650
3.5482409780	9.2712662400	-0.4797329040	3.5482409780	36.5844394200	5.1507100560
3.5734058080	9.2240363250	-0.4796280617	3.5734058080	36.5803741200	5.1516122350
3.5985706380	9.1072019860	-0.4784716541	3.5985706380	36.5827057600	5.1528890350
