Trial 3			Trial 3	Marker	
t	x	y	t	x	y
5.208	29.478	0.000	5.208	16.032	0.000
5.231	29.456	0.000	5.231	16.031	0.000
5.254	29.430	0.000	5.254	16.034	0.000
5.277	29.442	0.000	5.277	16.034	0.000
5.301	29.450	0.000	5.301	16.031	0.000
5.324	29.460	0.000	5.324	16.032	0.000
5.347	29.459	0.000	5.347	16.030	0.000
5.370	29.462	0.000	5.370	16.030	0.000
5.393	29.468	0.000	5.393	16.030	0.000
5.416	29.467	0.000	5.416	16.030	0.000
5.439	29.463	0.000	5.439	16.029	0.000
5.462	29.459	0.000	5.462	16.028	0.000
5.485	29.460	0.000	5.485	16.029	0.000
5.508	29.454	0.000	5.508	16.029	0.000
5.531	29.449	0.000	5.531	16.028	0.000
5.554	29.434	0.000	5.554	16.028	0.000
5.577	29.399	0.000	5.577	16.027	0.000
5.600	29.368	0.000	5.600	16.028	0.000
5.623	29.374	0.000	5.623	16.028	0.000
5.646	29.359	0.000	5.646	16.027	0.000
5.669	29.356	0.000	5.669	16.029	0.000
5.692	29.367	0.000	5.692	16.028	0.000
5.715	29.384	0.000	5.715	16.028	0.000
5.738	29.393	0.000	5.738	16.030	0.000
5.761	29.399	0.000	5.761	16.031	0.000
5.784	29.392	0.000	5.784	16.030	0.000
5.808	29.386	0.000	5.808	16.029	0.000
5.831	29.374	0.000	5.831	16.028	0.000
5.854	29.374	0.000	5.854	16.029	0.000
5.877	29.375	0.000	5.877	16.029	0.000
5.900	29.372	0.000	5.900	16.028	0.000
5.923	29.375	0.000	5.923	16.028	0.000
5.946	29.390	0.000	5.946	16.031	0.000
5.969	29.394	0.000	5.969	16.030	0.000
5.992	29.392	0.000	5.992	16.030	0.000
6.015	29.393	0.000	6.015	16.030	0.000
6.038	29.392	0.000	6.038	16.028	0.000
6.061	29.395	0.000	6.061	16.030	0.000
6.084	29.387	0.000	6.084	16.029	0.000
6.107	29.383	0.000	6.107	16.029	0.000
6.130	29.376	0.000	6.130	16.028	0.000
6.153	29.371	0.000	6.153	16.028	0.000
6.176	29.360	0.000	6.176	16.029	0.000
6.199	29.368	0.000	6.199	16.028	0.000
6.222	29.375	0.000	6.222	16.028	0.000
6.245	29.378	0.000	6.245	16.028	0.000
6.268	29.376	0.000	6.268	16.028	0.000
6.291	29.374	0.000	6.291	16.028	0.000
6.315	29.368	0.000	6.315	16.028	0.000
6.338	29.375	0.000	6.338	16.028	0.000
6.361	29.331	0.000	6.361	16.029	0.000
6.384	29.298	0.000	6.384	16.028	0.000
6.407	29.293	0.000	6.407	16.028	0.000
6.430	29.295	0.000	6.430	16.028	0.000
6.453	29.264	0.000	6.453	16.028	0.000
6.476	29.264	0.000	6.476	16.027	0.000
6.499	29.275	0.000	6.499	16.027	0.000
6.522	29.293	0.000	6.522	16.026	0.000
6.545	29.293	0.000	6.545	16.027	0.000
6.568	29.285	0.000	6.568	16.026	0.000
6.591	29.285	0.000	6.591	16.026	0.000
6.614	29.299	0.000	6.614	16.027	0.000
6.637	29.300	0.000	6.637	16.026	0.000
6.660	29.300	0.000	6.660	16.025	0.000
6.683	29.303	0.000	6.683	16.026	0.000
6.706	29.309	0.000	6.706	16.024	0.000
6.729	29.309	0.000	6.729	16.025	0.000
6.752	29.309	0.000	6.752	16.023	0.000
6.775	29.309	0.000	6.775	16.024	0.000
6.798	29.307	0.000	6.798	16.024	0.000
6.822	29.306	0.000	6.822	16.023	0.000
6.845	29.308	0.000	6.845	16.023	0.000
6.868	29.306	0.000	6.868	16.022	0.000
6.891	29.306	0.000	6.891	16.023	0.000
6.914	29.309	0.000	6.914	16.025	0.000
6.937	29.316	0.000	6.937	16.023	0.000
6.960	29.315	0.000	6.960	16.019	0.000
6.983	29.317	0.000	6.983	16.021	0.000
