mass_B			ExtMarker		
t	x	y	t	x	y
5.922306738	10.99532074	0	5.922306738	42.09212712	0
5.940813947	10.99416903	0	5.940813947	42.09116102	0
5.959321156	10.9831862	0	5.959321156	42.09192221	0
5.977828364	10.98514943	0	5.977828364	42.09156051	0
5.996335573	10.98299391	0	5.996335573	42.09000898	0
6.014842781	10.98584626	0	6.014842781	42.0916078	0
6.03334999	10.97755552	0	6.03334999	42.0905728	0
6.051857198	10.96367708	0	6.051857198	42.08950525	0
6.070364407	10.93195934	0	6.070364407	42.08904429	0
6.088871615	10.92821113	0	6.088871615	42.09015713	0
6.107378824	10.9174928	0	6.107378824	42.08869405	0
6.125886033	10.91406776	0	6.125886033	42.08886996	0
6.144393241	10.90659513	0	6.144393241	42.08857165	0
6.16290045	10.91162388	0	6.16290045	42.08958106	0
6.181407658	10.91522229	0	6.181407658	42.08953147	0
6.199914867	10.9201092	0	6.199914867	42.09020175	0
6.218422075	10.92211786	0	6.218422075	42.09007063	0
6.236929284	10.92655426	0	6.236929284	42.09131114	0
6.255436493	10.92760201	0	6.255436493	42.0914709	0
6.273943701	10.9301367	0	6.273943701	42.09254212	0
6.29245091	10.93292473	0	6.29245091	42.09183805	0
6.310958118	10.93269038	0	6.310958118	42.09317562	0
6.329465327	10.94054935	0	6.329465327	42.09345753	0
6.347972535	10.94071204	0	6.347972535	42.09407507	0
6.366479744	10.94582188	0	6.366479744	42.09262834	0
6.384986952	10.94421279	0	6.384986952	42.09274835	0
6.403494161	10.9460136	0	6.403494161	42.09216499	0
6.42200137	10.96859294	0	6.42200137	42.09363231	0
6.440508578	10.97191888	0	6.440508578	42.09354026	0
6.459015787	11.00827957	0	6.459015787	42.09358281	0
6.477522995	11.01355082	0	6.477522995	42.09296273	0
6.496030204	11.01286083	0	6.496030204	42.09250839	0
6.514537412	11.01615337	0	6.514537412	42.09280735	0
6.533044621	11.01655573	0	6.533044621	42.09230427	0
6.551551829	11.02588537	0	6.551551829	42.09265374	0
6.570059038	11.03667312	0	6.570059038	42.09302029	0
6.588566247	11.0346643	0	6.588566247	42.09336318	0
6.607073455	11.03370445	0	6.607073455	42.09280578	0
6.625580664	11.02492764	0	6.625580664	42.09284684	0
6.644087872	11.01903147	0	6.644087872	42.09233234	0
6.662595081	11.01655335	0	6.662595081	42.0918445	0
6.681102289	11.01834237	0	6.681102289	42.09281756	0
6.699609498	11.02319074	0	6.699609498	42.09278229	0
6.718116706	11.0360669	0	6.718116706	42.09313666	0
6.736623915	11.0379209	0	6.736623915	42.09241164	0
6.755131124	11.03550131	0	6.755131124	42.09237607	0
6.773638332	11.04126953	0	6.773638332	42.09329286	0
6.792145541	11.09037403	0	6.792145541	42.09370342	0
6.810652749	11.1081373	0	6.810652749	42.09224917	0
6.829159958	11.10086401	0	6.829159958	42.09319712	0
6.847667166	11.10283359	0	6.847667166	42.0928955	0
6.866174375	11.10461331	0	6.866174375	42.09293576	0
6.884681583	11.12076181	0	6.884681583	42.09263127	0
6.903188792	11.17404411	0	6.903188792	42.09338672	0
6.921696001	11.18054273	0	6.921696001	42.09374761	0
6.940203209	11.18374184	0	6.940203209	42.094332	0
6.958710418	11.20571082	0	6.958710418	42.09257276	0
6.977217626	11.22434802	0	6.977217626	42.09264356	0
